Accession,Entry,Name,ex1_114.113,ex1_117.116,ex2_114.113,ex2_117.116,ex1_115.113,ex1_118.116,ex2_115.113,ex2_118.116
PLEC_HUMAN,Q15149,Plectin,0.982,0.982,0.281,1.117,0.637,0.54,0.429,0.982
CO6A3_HUMAN,P12111,"Collagen alpha-3(VI) chain",8.79,1.343,0.879,0.501,9.727,4.875,4.169,1.6
VIME_HUMAN,P08670,Vimentin,0.466,2.559,0.575,0.515,0.445,0.515,0.061,0.283
CO4B_HUMAN,P0C0L5,"Complement C4-B",0.802,16.293,9.376,0.895,3.436,8.241,3.404,3.467
K1C18_HUMAN,P05783,"Keratin, type I cytoskeletal 18",3.311,0.692,0.154,0.453,0.78,0.174,0.643,0.328
GRP78_HUMAN,P11021,"78 kDa glucose-regulated protein",0.794,0.904,0.103,0.643,0.787,1.107,0.256,1.556
RRBP1_HUMAN,Q9P2E9,"Ribosome-binding protein 1",0.265,0.637,0.543,0.602,0.096,0.174,0.099,0.353
FIBA_HUMAN,P02671,"Fibrinogen alpha chain",0.673,1.888,1,0.126,0.313,0.92,0.283,0.429
ACTN4_HUMAN,O43707,Alpha-actinin-4,1.225,0.752,0.92,3.373,1.6,1.159,6.368,1.393
CEL_HUMAN,P19835,"Bile salt-activated lipase",0.181,0.115,0.131,0.196,0.047,0.056,0.063,0.054
MYH10_HUMAN,P35580,Myosin-10,1.837,2.78,1.629,1.107,5.495,2.729,1.5,0.871
POSTN_HUMAN,Q15063,Periostin,2.512,0.766,0.718,2.938,17.219,3.048,6.368,9.12
TBB5_HUMAN,P07437,"Tubulin beta chain",0.062,0.879,0.118,0.545,3.342,0.759,0.131,0.296
GELS_HUMAN,P06396,Gelsolin,0.429,1.306,2.466,0.809,7.447,1.542,5.916,6.982
EF1A1_HUMAN,P68104,"Elongation factor 1-alpha 1",0.429,1.067,0.256,2.559,0.258,0.479,0.322,0.497
K1C19_HUMAN,P08727,"Keratin, type I cytoskeletal 19",0.973,7.87,0.685,2.729,5.916,8.318,12.474,8.472
MVP_HUMAN,Q14764,"Major vault protein",0.35,1.271,2.884,1.096,3.767,1.318,7.586,2.606
KPYM_HUMAN,P14618,"Pyruvate kinase isozymes M1/M2",0.433,0.78,0.787,3.221,8.091,1.959,6.668,6.982
SND1_HUMAN,Q7KZF4,"Staphylococcal nuclease domain-containing protein 1",0.107,0.417,0.955,1.107,0.286,0.244,0.394,0.163
HBA_HUMAN,P69905,"Hemoglobin subunit alpha",0.048,0.912,0.157,0.163,0.347,0.132,0.34,0.163
AMYP_HUMAN,P04746,"Pancreatic alpha-amylase",0.055,1.343,0.116,2.399,0.012,0.09,0.064,0.278
G3P_HUMAN,P04406,"Glyceraldehyde-3-phosphate dehydrogenase",0.344,1.57,0.334,1.923,4.055,2.312,3.221,3.908
K2C7_HUMAN,P08729,"Keratin, type II cytoskeletal 7",0.413,6.855,1.628,1.432,6.248,28.314,2.512,3.664
A1AT_HUMAN,P01009,Alpha-1-antitrypsin,0.637,2.249,0.377,0.929,5.346,1.644,1.406,4.875
ENOA_HUMAN,P06733,Alpha-enolase,0.185,1.528,1.738,5.012,1.472,1.343,7.586,8.017
PDIA4_HUMAN,P13667,"Protein disulfide-isomerase A4",0.047,0.35,0.391,4.13,0.201,0.263,0.353,0.745
LMNB2_HUMAN,Q03252,Lamin-B2,0.258,0.855,0.466,0.698,1.854,0.631,0.54,1.6
HYOU1_HUMAN,Q9Y4L1,"Hypoxia up-regulated protein 1",0.099,0.752,0.121,1.888,0.31,0.409,0.217,0.328
EMIL1_HUMAN,Q9Y6C2,EMILIN-1,3.499,1.5,0.406,2.051,10.568,1.77,1.66,5.058
ECHA_HUMAN,P40939,"Trifunctional enzyme subunit alpha, mitochondrial",0.06,0.78,0.219,1.585,0.679,0.366,0.54,0.47
EF2_HUMAN,P13639,"Elongation factor 2",0.091,0.488,0.863,0.363,0.466,0.296,0.631,0.223
UBA1_HUMAN,P22314,"Ubiquitin-like modifier-activating enzyme 1",0.55,0.982,0.809,0.597,2.148,0.667,1.159,0.391
LAMB1_HUMAN,P07942,"Laminin subunit beta-1",1.445,2.188,0.363,4.699,3.467,1.614,1.306,2.148
H4_HUMAN,P62805,"Histone H4",1.057,2.938,0.711,1.941,3.342,1.368,6.026,2.188
GATM_HUMAN,P50440,"Glycine amidinotransferase, mitochondrial",0.053,0.78,0.034,1.786,0.02,0.31,0.023,0.294
ANXA2_HUMAN,P07355,"Annexin A2",1.343,1.977,1,1.18,6.026,1.191,2.911,1.941
TENA_HUMAN,P24821,Tenascin,0.938,2.312,2.033,1.616,3.77,10.965,3.499,2.67
PDIA6_HUMAN,Q15084,"Protein disulfide-isomerase A6",0.373,0.631,0.142,1.675,0.421,0.278,0.273,0.655
MYOF_HUMAN,Q9NZM1,Myoferlin,1.067,1.202,1.148,1.261,2.421,2.109,2.738,2.575
VIGLN_HUMAN,Q00341,Vigilin,0.08,0.417,0.457,2.355,0.223,0.31,0.156,0.565
RPN1_HUMAN,P04843,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1",0.079,0.398,2.606,0.824,0.175,0.511,0.457,0.256
ACTN1_HUMAN,P12814,Alpha-actinin-1,0.661,1.225,3.133,0.904,5.346,2.051,7.112,1.959
CKAP4_HUMAN,Q07065,"Cytoskeleton-associated protein 4",0.268,0.766,3.945,1.542,1.202,2.512,6.194,1.067
TRY2_HUMAN,P07478,Trypsin-2,0.023,0.492,0.667,0.879,0.022,0.098,0.02,0.019
LAMA5_HUMAN,O15230,"Laminin subunit alpha-5",0.283,1.076,0.53,1.057,0.759,0.474,0.637,0.294
CBPA1_HUMAN,P15085,"Carboxypeptidase A1",0.036,0.847,0.145,1.459,0.015,0.258,0.019,0.108
TPM2_HUMAN,P07951,"Tropomyosin beta chain",0.261,5.445,2.168,0.032,4.285,3.532,2.512,1.306
TSP1_HUMAN,P07996,Thrombospondin-1,3.532,2.128,0.929,0.241,8.241,34.674,2.805,2.286
AL1A1_HUMAN,P00352,"Retinal dehydrogenase 1",0.11,1.472,0.057,2.208,0.133,0.366,0.053,0.373
CALD1_HUMAN,Q05682,Caldesmon,1.13,0.904,0.757,1.127,2.188,2.859,1.556,3.733
THIL_HUMAN,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",0.059,0.441,0.058,2.377,0.184,0.291,0.048,0.337
PGK1_HUMAN,P00558,"Phosphoglycerate kinase 1",0.211,1.138,0.929,0.802,1.294,1.57,5.495,3.342
ANXA1_HUMAN,P04083,"Annexin A1",0.217,1.148,1.706,1.138,3.698,1.343,6.546,4.325
SERPH_HUMAN,P50454,"Serpin H1",0.57,0.752,1.189,0.974,2.559,6.546,3.048,3.739
K1C17_HUMAN,Q04695,"Keratin, type I cytoskeletal 17",1.076,0.466,5.916,1.6,8.63,5.105,39.811,8.395
LDHA_HUMAN,P00338,"L-lactate dehydrogenase A chain",2.07,8.71,1.236,4.207,3.048,21.878,7.727,8.79
K2C1_HUMAN,P04264,"Keratin, type II cytoskeletal 1",0.09,4.742,0.037,2.377,0.637,0.863,0.205,0.337
TGM2_HUMAN,P21980,"Protein-glutamine gamma-glutamyltransferase 2",2.63,1.432,6.73,0.331,12.589,1.977,17.865,2.805
ACON_HUMAN,Q99798,"Aconitate hydratase, mitochondrial",0.051,0.745,1.009,2.512,0.299,0.31,0.53,0.409
ALDOA_HUMAN,P04075,"Fructose-bisphosphate aldolase A",0.231,1.282,2.655,0.904,2.109,1.977,6.918,3.221
ROA2_HUMAN,P22626,"Heterogeneous nuclear ribonucleoproteins A2/B1",0.603,0.492,0.488,2.333,0.794,0.205,0.457,0.787
SYAC_HUMAN,P49588,"Alanyl-tRNA synthetase, cytoplasmic",0.095,0.565,0.086,5.702,0.278,0.501,0.151,0.817
SYEP_HUMAN,P07814,"Bifunctional aminoacyl-tRNA synthetase",0.096,0.488,1.038,0.705,0.511,0.752,0.904,0.655
UGGG1_HUMAN,Q9NYU2,"UDP-glucose:glycoprotein glucosyltransferase 1",0.175,0.586,0.325,2.911,0.391,0.356,0.52,0.278
TAGL_HUMAN,Q01995,Transgelin,8.395,27.04,0.54,1.82,16.596,16.904,1.66,7.516
ITIH2_HUMAN,P19823,"Inter-alpha-trypsin inhibitor heavy chain H2",1.82,0.474,2.559,0.673,3.373,1.706,1.159,2.63
CALR_HUMAN,P27797,Calreticulin,0.302,0.692,0.56,1.614,0.535,0.55,0.479,0.305
DPYL3_HUMAN,Q14195,"Dihydropyrimidinase-related protein 3",0.179,1.138,4.13,0.425,7.727,1.786,2.992,2.089
ASPN_HUMAN,Q9BXN1,Asporin,2.965,4.13,1.202,1.585,10.28,3.467,4.207,10.186
TYPH_HUMAN,P19971,"Thymidine phosphorylase",2.679,1.076,8.79,0.832,12.474,1.871,13.804,2.291
AEBP1_HUMAN,Q8IUX7,"Adipocyte enhancer-binding protein 1",2.421,0.227,2.911,0.759,12.023,1.786,5.105,1.343
PLSL_HUMAN,P13796,Plastin-2,1.33,1.82,0.453,2.582,7.798,1.057,1.247,3.133
LIPP_HUMAN,P16233,"Pancreatic triacylglycerol lipase",0.171,0.131,0.092,0.187,0.025,0.038,0.036,0.117
PA2G4_HUMAN,Q9UQ80,"Proliferation-associated protein 2G4",0.075,0.787,0.912,1.038,0.56,0.603,0.92,0.964
TSP2_HUMAN,P35442,Thrombospondin-2,7.112,5.445,12.56,8.271,12.823,26.546,19.231,33.411
IGHA1_HUMAN,P01876,"Ig alpha-1 chain C region",0.044,0.745,0.614,1.445,2.377,2.109,1.542,10.375
PGS2_HUMAN,P07585,Decorin,0.417,1.472,0.492,0.643,6.368,2.78,2.679,3.076
