Gene.Names,Protein.Descriptions,Entry,PDAC.Benign.fold.change.,t.test.pvalue
KIAA0568;PPL,Periplakin,O60437,1601.356694,0.006207927
FP17425;KIAA2034;MYH14,"myosin, heavy chain 14",Q7Z406,284.3199071,0.01716167
EIF1;SUI1;hCG_1771529;EIF1B;GC,"Eukaryotic translation",P41567,96.26117089,0.008111033
LGALS4;hCG_20525,Galectin-4,P56470,86.9085916,0.000129074
C1QBP;GC1QBP;HABP1;SF2P32,Complement,Q07021,79.23458424,0.007125082
AAG13;S100A16;S100F;hCG_174,"Protein S100-A16",Q96FQ6,41.61398019,0.04347726
CCT1;CCTA;TCP1,"T-complex protein 1",P17987,34.29783417,0.000760884
EPLIN;LIMA1;PP624;SREBP3,"LIM domain and actin",Q9UHB6,25.91009374,0.043207509
M6PR;MPR46;MPRD;hCG_25213,Cation-dependent,P20645,25.0743319,0.001861932
EZR;VIL2,"Ezrin;69 kDa protein",P15311,20.23130919,0.00801939
RPS19;hCG_1995572,"40S ribosomal protein",P39019,19.26967419,0.016536987
MLC2;MRLC1;MYL9;MYRL2;hCG_,"Myosin regulatory light",P24844,17.81921764,0.022600811
VASP,Vasodilator-stimulated,P50552,17.39248645,0.012544297
MLN70;S100A11;S100C,"Protein S100-A11",P31949,15.81736959,0.003820561
CD163;M130;hCG_1811758,"Isoform 2 of Scavenger",Q86VB7,14.87084887,0.228238986
TBCA;hCG_2016016,Tubulin-specific,O75347,14.53095921,0.021774579
FTE1;MFTL;RPS3A;hCG_2026261,"40S ribosomal protein",P61247,14.50190576,0.055796886
HDGF;HMG1L2;hCG_1775235;RP,Hepatoma-derived,P51858,14.30458369,0.047086878
ATP6V1F;ATP6S14;VATF;hCG_41,Putative,Q16864,14.15752947,0.033942869
M6PRBP1;PLIN3;TIP47,"Isoform B of Perilipin-",O60664,14.03165524,0.035417121
RCN;RCN1;hCG_27854,Reticulocalbin-1,Q15293,12.89583923,0.034365469
KRT1;KRTA,"Keratin, type II",P04264,12.72246536,0.019734092
CALU;hCG_41656;tcag7.422,"cDNA FLJ31776 fis,",O43852,12.49635694,0.052091598
CAPL;MTS1;S100A4;hCG_203963,"Protein S100-A4",P26447,12.48502546,0.010685374
UQCRH;hCG_22091,"Cytochrome b-c1",P07919,12.09797317,0.04746051
RPL8;hCG_24000,"32 kDa protein;60S",P62917,11.8471647,0.029022861
,"similar to actin alpha 1",P68133,11.61183133,0.267727966
H1F0;H1FV,"Histone H1.0",P07305,11.37591523,0.049671403
CLGI;TIMP;TIMP1;hCG_29141;RP,Metalloproteinase,P01033,11.13478396,0.10572173
CNBP;RNF163;ZNF9;hCG_20000,"Isoform 1 of Cellular",P62633,11.09471214,0.027981008
"NUMA1 variant","NUMA1 variant protein",Q14980,11.00170258,0.056283625
TXNDC17;TXNL5,"Thioredoxin domain-",Q9BRA2,10.8463381,0.096166397
HNRPG;RBMX;RBMXP1;hCG_183,"Heterogeneous nuclear",P38159,10.73763844,0.101372981
HMGB1;RP11-550P23.1-,"High-mobility group box",P09429,10.63060166,0.0351516
KRT19;JUP,">P08727 SWISS-",P08727,10.29556536,0.033368316
VTN,Vitronectin,P04004,10.11495041,0.290063799
RPS20,"ribosomal protein S20",P60866,10.05914908,0.030673661
MECP2,"Isoform B of Methyl-",P51608,9.736224411,0.129767158
CTTN;EMS1;hCG_23463,"Src substrate",Q14247,9.561915841,0.006429512
ASF;OK/SW-,"Isoform ASF-1 of",Q07955,9.082263754,0.031561419
PTMA;TMSA;PTMAP7;RP11-,"Isoform 1 of",P06454,8.937895541,0.268712195
OK/SW-,"40S ribosomal protein",P62241,8.931522189,0.192419066
AUF1;HNRNPD;HNRPD,"Isoform 1 of",Q14103,8.831452463,0.023132498
IFI53;WARS;WRS,"Isoform 1 of",P23381,8.59450875,0.066146037
GRN;hCG_30297,"Isoform 1 of",P28799,8.232068657,0.176512215
ACHAP;C6orf82;CUTA,"Isoform A of Protein",O60888,8.062689494,0.087399896
IOPPP;PP;PPA1,Inorganic,Q15181,8.017394176,0.005864318
hCG_1988529;RPL23A,"Ribosomal protein L23a,",P62750,7.917864726,0.063831735
KRT7;SCL,"Keratin, type II",P08729,7.897150246,0.076938002
SYNGR2;UNQ352/PRO615,SYNGR2,O43760,7.879388702,0.117977394
EEF1B;EEF1B2;EF1B;hCG_19809;L,"Elongation factor 1-",P24534,7.691803606,0.060176413
STIP1,Stress-induced-,P31948,7.676756358,0.020503159
ALDA;ALDOA,"45 kDa protein;Fructose-",P04075,7.414948959,0.00558019
C20orf116;DDRGK1,"Isoform 1 of DDRGK",Q96HY6,7.365067676,0.081616662
CD36L2;LIMPII;SCARB2;hCG_2384,"Lysosome membrane",Q14108,7.148800879,0.012791514
MIG5;RAC1;TC25;hCG_14926;tca,"Isoform B of Ras-related",P63000,6.85275843,0.059499927
HSPC190;PACAP,"Isoform 1 of Plasma cell-",Q8WU39,6.798698433,0.115460582
SET;hCG_40357;RP11-216B9.3-,"Isoform 1 of Protein",Q01105,6.787307102,0.023383286
TPM4,"Isoform 2 of",P67936,6.762979511,0.012932064
CAD;CALD1;CDM;hCG_17453;DKF,"cDNA FLJ53193, highly",Q05682,6.629171561,0.042513
HLA-A;XXbac-BPG309N1.2-,"Major histocompatibility",P04439,6.628471916,0.033185236
HNRPCL2;P542;RALY;hCG_37136;,"RNA binding protein,",Q9UKM9,6.545305371,0.130472202
EIF5A;hCG_1991350;EIF5AL1,"Isoform 2 of Eukaryotic",P63241,6.545255876,0.067205109
HMGA1;HMGIY;RP11-513I15.2-,"Isoform HMG-Y of High",P17096,6.47521516,0.032623866
HNRNPA3;HNRPA3;hCG_2005824,"Isoform 1 of",P51991,6.456888214,0.032505746
ATP5A;ATP5J;ATPM;hCG_200784,"ATP synthase, H+",P18859,6.38639383,0.035669874
ARC34;ARPC2;PRO2446;hCG_163,"Actin-related protein",O15144,6.27633144,0.038508845
CFL;CFL1,Cofilin-1;cDNA,P23528,6.171686877,0.047274719
CYK8;KRT8,"Keratin, type II",P05787,6.058723082,0.036748469
H1F4;HIST1H1E;hCG_1645742,"Histone H1.4",P10412,6.031919052,0.016371185
Krt1-17;Krt17,">Q9QWL7 SWISS-",Q04695,5.919993396,0.382710124
HNRNPA2B1;HNRPA2B1,"Isoform B1 of",P22626,5.847487758,0.012903834
MYL6,"cDNA FLJ56329, highly",P60660,5.811695669,0.036766897
HCLS1;HS1,"Hematopoietic lineage",P14317,5.788305789,0.045352751
THBS2;TSP2;DKFZp686G02190;XX,Thrombospondin-,P35442,5.686530828,0.05683213
CD16A;FCG3;FCGR3;FCGR3A;IGFR,"Fc fragment of IgG, low",P08637,5.660229227,0.25297212
OK/SW-,"40S ribosomal protein",P62753,5.658064328,0.113120128
