Protein,"HUGO name",Entry,Regulated
"Adaptin d",AP3D1,O14617,up
"Fatty acid synthase",FASN,P49327,up
HIF-1α,HIF1A,Q16665,up
"Ubiquitin-like, containing PHD and RING finger domains",UHRF1/ICBP90,Q96T88,up
"Menkes disease–associated protein",ATP7A/MNK,Q04656,up
"Plakophilin 3",PKP3,Q9Y446,up
"Thrombospondin 2",THBS2,P35442,up
"Kalinin B1 (Laminin β 3)",LAMB3,Q13751,up
l-Caldesmon,CALD1,Q05682,up
"Nucleolysin TIAR",TIAR/TIAL1,Q01085,up
"Septin 5 (Peanut-like protein 1)",PNUTL1/CDCREL1,Q99719,up
"Annexin II",ANXA2,P07355,up
Actin,ACTA1,P68133,up
"Bruton agammaglobulinemia tyrosine kinase",BTK,Q06187,up
"Annexin I",ANXA1,P04083,up
"Guanine nucleotide-binding protein",GAT/GNAT2,Q6IB77,up
Thrombin,F2,P00734,up
"DNA excision repair protein",ERCC1,P07992,up
"Retinoblastoma binding protein 4 (46 kilodaltons)",RBBP4,Q09028,up
"Caveolin 2",CAV2,P51636,up
"Development and differentiation–enhancing factor 1",ASAP1/DDEF1,Q9ULH1,up
"Hemopoietic cell kinase",HCK,P08631,up
"Ras-related protein 2A",RAP2A,P10114,up
Ceruloplasmin,CP,P00450,up
"IP3 receptor isoform 3",IP3R-3/ITPR3,Q14573,up
"Transforming growth factor β1 induced transcript 1",TGFB1I1,O43294,up
"Integrin α2/VLA-2α",ITGA2,P17301,up
"A-Raf proto-oncogene serine/threonine-protein kinase",ARAF1,P10398,up
p21-Arc,ARPC3,O15145,up
"Adaptin a",AP2A1,O95782,up
"Cysteine and glycine-rich protein 1",CRP1/CSRP1,P50238,up
"ZIP kinase",DAPK3,O43293,up
"Ubiquitin-conjugating enzyme E2 E1",UbcH6/UBE2E1,P51965,up
"Glutathione S transferase P",GSTP1,P09211,up
"Signal transducer and activator of transcription 2",STAT2,P52630,up
"RAC-α serine/threonine-protein kinase",Pkba/AKT,P31749,up
"SFRS protein kinase 2 isoform",SRPK2,P78362,up
"Lamin A/C",LMNA,P02545,up
"SHC transforming protein 3",ShcC/SHC3,Q92529,up
a-Actinin,ACTN1,P12814,up
"Tyrosine-protein kinase",CSK,P41240,up
Rho,ARHA,P61586,up
5-Lipoxygenase,ALOX5,P09917,up
Fascin,FSCN1,Q16658,up
"Guanine nucleotide-binding protein",Gb/GNB2,P62879,up
"Retinol binding protein 2",RBP2,P50120,up
"Ras-related protein Rab-27A",RAB27A,P51159,up
"Integrin b1",ITGB1,P05556,up
"RNA polymerase I–associated factor 53",PAF53,Q9GZS1,up
Beclin,BECN1,Q14457,up
"Centaurin, β2/ACAP2",CENTB2,Q15057,up
"Nudix (36 kilodalton)",NUDT5,Q9UKK9,up
14-3-3e,YWHAE,P62258,up
"Receptor interacting protein 2",RIPK2/RICK,O43353,up
"Aldehyde oxidase 1",AOX1,Q06278,down
"Ribosomal protein L22",L22/RPL22,P35268,down
"Mitogen-activated protein kinase kinase 3",MAP2K3/MKK3,P46734,down
"Serine/threonine kinase 38",STK38/NDR1,Q15208,down
Occludin,OCLN,Q16625,down
"Protein disulfide isomerase",PDI/PDIP,P07237,down
"Solute carrier family 1 member 2",SLC1A2/EAAT2,P43004,down
"Eukaryotic translation initiation factor 5A",EIF5A,P63241,down
"Endothelin 1 receptor",EDNRA,P25101,down
"Dopamine- and cAMP-regulated neuronal phosphoprotein",PPP1R1B/DARPP-32,Q9UD71,down
"Rho GTPase-activating protein 1",ARHGAP1/CDC42GAP,Q07960,down
"Proteintyrosine phosphatase, nonreceptor type 1",PTP1B/PTPN1,P18031,down
Calcineurin,PPP3CA,Q08209,down
"Eukaryotic translation initiation factor 4E",EIF4E,P06730,down
"Kinesin-like protein 1",Eg5/KIF11,P52732,down
"Non–POU domain–containing octamer binding",p45nrb/NONO,Q15233,down
Syncollin,SYCN,Q0VAF6,down
"Phosphatidylinositol 3-kinase, regulatory 1","PI3 kinase/PIK3R1",P19957,down
"Cell death–regulatory protein",GRIM19,Q9P0J0,down
"Aldehyde dehydrogenase 1A1",ALDH1A1,P00352,down
"Protein disulfide isomerase related protein",ERP70,P13667,down
"Branched-chain aminotransferase 1",BCAT1,P54687,down
Synuclein,SNCA,P37840,down
"BH3-interacting domain death agonist",BID,P55957,down
Syntaxin,STX6,O43752,down
"Cyclin-dependent kinase inhibitor 3",KAP/CDKN3,Q16667,down
80K-H,PRKCSH,P14314,down
"BCL2-binding protein",BAD,Q92934,down
"Orphan nuclear receptor Nurr",NR4A2,P43354,down
"B2 bradykinin receptor (41 kilodaltons)",BDKRB2,P30411,down
"ERK2 (42 kilodaltons)",MAPK1,P28482,down
Hsp40,DNAJA1,P31689,down
"DNA Topo I",TOP1,P11387,down
FIP-2,OPTN,Q96CV9,down
"Adaptin g",AP1G1,O43747,down
"PKARIIb (53 kilodaltons)",PRKAR2B,P31323,down
EMeg32,GNPI,P46926,down
"Lymphocyte-specific protein tyrosine kinase",LCK,P06239,down
"Damage-specific DNA binding protein 1",DDB1,Q16531,down
"ERK1 (43 kilodaltons)",MAPK3,P27361,down
TOK-1,BCCIP,Q9P287,down
"Cysteine and glycine-rich protein 2",CSRP2,Q16527,down
RONa,MST1R,Q04912,down
DP103/Gemin3,DDX20,Q9UHI6,down
Ku80,XRCC5,P13010,down
SGT1,SUGT1,Q9Y2Z0,down
"N-Ethylmaleimide–sensitive factor",NSF/SKD2,P46459,down
"Jun activation domain–binding protein JAB1",CSN5/COPS5,Q92905,down
