"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
WTK+08,"T / N",,57,70,-0.1276,-0.127,6e-04,-1.7503,-1.7512,-8e-04,3.1,3.5484,0.4484,3.8214,4.1884,0.367,417,353.5,-63.5
XZC+10_I,"stage I / normal",,48,166,-0.1485,-0.1513,-0.0028,-1.6982,-1.6915,0.0067,4.2857,3.0496,-1.2361,4.0476,3.6296,-0.418,420.5,320.5,-100
XZC+10_II,"stage II / normal",,77,321,-0.1525,-0.1414,0.0111,-1.7188,-1.7019,0.0169,4.1231,2.9139,-1.2091,4.1176,3.777,-0.3407,325,329,4
ZYS+10,"microdissected T / N",,60,57,-0.151,-0.1328,0.0181,-1.7129,-1.695,0.0179,3.96,3.4667,-0.4933,4.2593,3.9216,-0.3377,305,298,-7
BPV+11_stage.I,"stage I / normal",,109,72,-0.1354,-0.1325,0.0029,-1.7068,-1.7229,-0.0162,4.0792,3.4853,-0.5939,4.6019,3.7083,-0.8935,406,448,42
BPV+11_stage.II,"stage II / normal",,164,140,-0.1454,-0.1263,0.0191,-1.7178,-1.7176,2e-04,3.2945,3.9154,0.6209,4,4.4604,0.4604,412.5,505.5,93
BPV+11_stage.III,"stage III / normal",,63,131,-0.1452,-0.1227,0.0225,-1.7266,-1.736,-0.0094,3.9298,4.1092,0.1794,4.5,4.2344,-0.2656,470,434,-36
BPV+11_stage.IV,"stage IV / normal",,42,26,-0.1118,-0.1199,-0.0081,-1.682,-1.6692,0.0128,4.575,3,-1.575,4.619,3.7308,-0.8883,466.5,439,-27.5
JCF+11,"T / N",,72,45,-0.159,-0.1431,0.016,-1.6816,-1.6803,0.0013,3.5152,4.95,1.4348,3.9,4.5227,0.6227,375,339,-36
MRK+11_AC.NC,"adenocarcinoma / normal",,350,232,-0.1365,-0.1083,0.0282,-1.7497,-1.6973,0.0524,3.6588,3.4676,-0.1912,4.1135,4.3276,0.2141,432,644,212
