"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
LHE+04,"T / N",,41,69,-0.1292,-0.1217,0.0075,-0.051,0.0339,0.085,3.125,3.7778,0.6528,3.641,4.0299,0.3888,419,418,-1
CYD+05,"T / N",,60,88,-0.1417,-0.1158,0.0259,0.0101,0.0133,0.0032,3.375,5.1282,1.7532,4.1,4.9059,0.8059,270,398.5,128.5
CGB+05,"T / N",,48,54,-0.133,-0.1255,0.0074,-0.0054,8e-04,0.0063,3.6977,4,0.3023,4.4375,4.6667,0.2292,422.5,509.5,87
CTZ+09,"T / N",,28,29,-0.132,-0.1144,0.0176,-0.0211,0.0306,0.0518,4.4783,3.1538,-1.3244,4.1923,3.5,-0.6923,319.5,451,131.5
MLC+11,"T / N",,38,45,-0.1347,-0.1244,0.0104,0.009,0.0191,0.0101,3.4074,4.1515,0.7441,4.5,4.3714,-0.1286,512.5,531,18.5
PCS+11_PDAC,"FFPE T  / N",,207,152,-0.1551,-0.1203,0.0347,0.0331,0.0278,-0.0053,2.1778,5.4135,3.2358,3.4878,4.9329,1.4451,333,462.5,129.5
TMW+11,"accessible T / N",,108,86,-0.1107,-0.1556,-0.0448,0.059,0.0178,-0.0413,4.1609,3,-1.1609,4.6893,3.6471,-1.0423,295.5,434.5,139
KBK+12,"FFPE T / N",,38,47,-0.1409,-0.0998,0.0411,-0.0317,-5e-04,0.0312,3.3043,6.1818,2.8775,3.6429,5.1143,1.4714,462,375,-87
KHO+13,"T / N",,78,57,-0.1091,-0.1265,-0.0175,0.0104,0.0184,0.0079,5.4462,3.5849,-1.8612,5.3571,4.193,-1.1642,752.5,372,-380.5
KPC+13_all,"T / N",,257,456,-0.1244,-0.1213,0.0031,-0.0051,0.032,0.0371,4.3023,3.7184,-0.5839,4.4938,4.4333,-0.0605,411,342,-69
WLL+13a_PC_NT,"T / N (no DM)",,208,219,-0.1487,-0.1169,0.0317,0.0096,0.0298,0.0202,2.4407,4.8342,2.3935,3.6117,4.8287,1.2171,383.5,469,85.5
WLL+13a_PC.DM_NT.DM,"T / N (DM)",,56,167,-0.1405,-0.1146,0.0259,-0.0239,0.0191,0.043,2.7872,4.4867,1.6994,4.1091,4.7006,0.5915,319,450,131
YKK+13,"PDAC / N",,84,83,-0.1511,-0.1244,0.0267,0.0265,0.0267,3e-04,2.5517,5.1429,2.5911,3.2923,4.9265,1.6342,358.5,418,59.5
ZNWL13,"LCM PDAC / ANT",,227,148,-0.1567,-0.1234,0.0333,0.0146,0.0142,-4e-04,2.215,4.5573,2.3423,3.4513,4.6575,1.2062,423,455.5,32.5
ISI+14,"T / N",,65,34,-0.1546,-0.1489,0.0057,0.0496,0.0274,-0.0222,1.8033,3.8276,2.0243,3.1385,4.303,1.1646,453,400,-53
BZQ+14,"PDAC / N",,55,98,-0.11,-0.084,0.026,0.0652,0.0564,-0.0088,2.7436,4.7143,1.9707,4.1765,4.6667,0.4902,559,661,102
MZH+14,"mouse tumor / healthy",mouse,38,28,-0.1109,-0.1058,0.0051,8e-04,0.0023,0.0015,NA,NA,NA,NA,NA,NA,500.5,359.5,-141
BHB+15_T,"mouse organoids T / N",mouse,486,526,-0.1301,-0.139,-0.0089,0.0233,0.0385,0.0152,NA,NA,NA,NA,NA,NA,359,393.5,34.5
KKC+16_T1,"mouse 10 w T / N",mouse,37,108,-0.1466,-0.1283,0.0183,0,0.0272,0.0272,NA,NA,NA,NA,NA,NA,419,373.5,-45.5
CHO+18,"tumor / adjacent normal",,109,129,-0.148,-0.1268,0.0212,0.0063,0.0026,-0.0037,2.5684,4.2185,1.6501,3.7685,4.622,0.8535,397,517,120
SWW+18,"PDAC tumor / adjacent",,284,324,-0.1247,-0.1356,-0.011,0.024,0.0216,-0.0024,4.4634,2.6092,-1.8542,4.6763,3.8667,-0.8096,470.5,474,3.5
ZAH+19,"cancer / normal",,89,76,-0.1266,-0.0999,0.0267,0.073,0.033,-0.04,2.9259,5.7286,2.8026,4,5.6667,1.6667,247,469.5,222.5
