"dataset","description","tags","n1","n2","Zc.down","Zc.up","Zc.diff","nH2O.down","nH2O.up","nH2O.diff","nAA.down","nAA.up","nAA.diff","MW.down","MW.up","MW.diff"
PLC+10,"HepG2 hepatocellular carcinoma cells",cancer,35,47,-0.128,-0.1322,-0.0042,-0.7738,-0.7402,0.0336,449,294,-155,110.2664,111.9272,1.6608
MHG+12_P5,"MCF-7 breast cancer cells P5",cancer,409,337,-0.1208,-0.1384,-0.0176,-0.7501,-0.7596,-0.0095,594,400,-194,111.8331,111.5581,-0.275
MHG+12_P2,"MCF-7 breast cancer cells P2",cancer,248,214,-0.1265,-0.1408,-0.0143,-0.7471,-0.7503,-0.0032,576,408,-168,111.8406,111.2006,-0.64
MVC+12_perinecrotic,"HT29 colon cancer cells perinecrotic",cancer,48,52,-0.1474,-0.1526,-0.0053,-0.7399,-0.7528,-0.0129,301,429.5,128.5,112.0067,111.9227,-0.084
MVC+12_necrotic,"HT29 colon cancer cells necrotic",cancer,101,186,-0.1299,-0.1498,-0.0199,-0.7304,-0.7515,-0.0211,306,423.5,117.5,111.5225,111.2872,-0.2352
YYW+13,"HNSCC tumor spheres",cancer,58,65,-0.1371,-0.1368,4e-04,-0.736,-0.7446,-0.0086,715.5,760,44.5,111.6342,110.5567,-1.0775
ZMH+13_Matr.12h,"HUVEC Matrigel 12h",,48,58,-0.1224,-0.1371,-0.0147,-0.7607,-0.7748,-0.0141,302.5,483,180.5,112.3461,110.8886,-1.4575
ZMH+13_Matr.24h,"HUVEC Matrigel 24h",,196,239,-0.1262,-0.1518,-0.0256,-0.7638,-0.8053,-0.0416,294,437,143,112.6011,111.6559,-0.9453
HKX+14,"U251 glioma cells",cancer,295,68,-0.1376,-0.134,0.0036,-0.7396,-0.7666,-0.027,395,516,121,112.0399,110.8929,-1.147
KDS+14_hESC,"hESC spheroids",,270,52,-0.1151,-0.1237,-0.0086,-0.7445,-0.7628,-0.0183,449,501,52,111.2735,111.8768,0.6033
KDS+14_hiPSC,"hiPSC spheroids",,422,53,-0.1244,-0.1324,-0.008,-0.7499,-0.7632,-0.0133,478.5,494,15.5,111.5918,112.6756,1.0838
KDS+14_hPSC,"hPSC spheroids",,612,98,-0.1208,-0.1318,-0.011,-0.7478,-0.7747,-0.0269,476,444.5,-31.5,111.5748,111.7954,0.2205
RKP+14,"colorectal cancer-derived cells",cancer,93,174,-0.135,-0.1198,0.0152,-0.7623,-0.7591,0.0032,508,426,-82,110.6138,111.3695,0.7556
SAS+14,"SK-N-BE2 neuroblastoma spheroids",cancer,70,116,-0.122,-0.1124,0.0096,-0.7615,-0.7786,-0.0171,693,576,-117,111.6207,111.7728,0.1521
WRK+14,"HepG2/C3A hepatocellular carcinoma",cancer,125,291,-0.127,-0.1487,-0.0217,-0.7176,-0.7417,-0.0241,400,422,22,111.0238,112.2625,1.2387
MTK+15,"OV-90AD ovarian cancer multicellular aggregates",cancer,39,90,-0.1397,-0.1546,-0.0148,-0.7308,-0.771,-0.0402,419,388.5,-30.5,111.6907,110.9582,-0.7325
YLW+16,"HT29 colon carcinoma",cancer,116,225,-0.1207,-0.1567,-0.036,-0.7443,-0.7637,-0.0195,489.5,381,-108.5,111.8605,111.4755,-0.3851
KJK+18,"SW480 colorectal cancer",cancer,247,136,-0.0898,-0.1453,-0.0555,-0.7413,-0.7757,-0.0344,334,432,98,111.8733,111.8184,-0.0549
TGD18_NHF,"normal human skin fibroblasts",,15,57,-0.1422,-0.1138,0.0284,-0.7374,-0.7704,-0.033,662,477,-185,110.0777,111.5636,1.4859
TGD18_CAF,"cancer-associated fibroblasts",cancer,43,90,-0.1422,-0.1154,0.0267,-0.7429,-0.7795,-0.0366,407,436.5,29.5,111.137,111.4287,0.2917
EWK+19,"glioblastoma spheroids",cancer,110,171,-0.1393,-0.1351,0.0042,-0.7823,-0.7662,0.0161,363.5,449,85.5,112.0793,111.3414,-0.7379
GADS19,"skin fibroblasts",,94,49,-0.163,-0.1523,0.0108,-0.7349,-0.7693,-0.0344,245,441,196,112.0479,113.3508,1.3029
HLC19,"HepG2 hepatocellular carcinoma cells",cancer,573,590,-0.138,-0.1616,-0.0236,-0.7378,-0.7874,-0.0496,406,396.5,-9.5,112.3507,111.927,-0.4237
LPK+19_preadipocytes,"mouse 3T3-L1 preadipocytes",,76,105,-0.1132,-0.1448,-0.0316,-0.7611,-0.7992,-0.038,381.5,400,18.5,113.0312,111.8872,-1.1441
LPK+19_adipocytes,"mouse 3T3-L1 adipocytes",,97,208,-0.1029,-0.161,-0.0581,-0.7519,-0.7339,0.018,480,333,-147,112.223,111.6428,-0.5802
LPK+19_macrophages,"mouse 3T3-L1 macrophages",,220,134,-0.1491,-0.1497,-6e-04,-0.763,-0.7375,0.0255,447.5,317.5,-130,112.1647,111.844,-0.3207
DKM+20,"bone marrow-derived MSCs aggregates",,57,117,-0.1028,-0.1338,-0.031,-0.7589,-0.7799,-0.021,687,453,-234,112.0142,111.6465,-0.3677
