"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
SBB+06,"mouse malignant melanoma plasma membrane",cancer,574,289,-0.1253,-0.1269,-0.0015,0.0058,0.0247,0.0189,NA,NA,NA,NA,NA,NA,526,638,112
FWH+13,"THP-1 macrophages",,56,40,-0.1486,-0.1406,0.008,0.0332,0.0499,0.0167,2.38,2.1579,-0.2221,3.25,3.2,-0.05,423,441.5,18.5
RHD+13_Hx48,"A431 epithelial carcinoma cells Hx48",cancer,211,92,-0.1422,-0.1333,0.0089,0.0117,0.0102,-0.0015,2.9329,3.5821,0.6492,3.6012,4.7123,1.1111,348,426.5,78.5
RHD+13_Hx72,"A431 epithelial carcinoma cells Hx72",cancer,88,67,-0.1409,-0.1602,-0.0194,0.0197,-0.0052,-0.0249,2.6481,4.2449,1.5967,3.6349,4.86,1.2251,323,395,72
VTMF13,"SH-SY5Y neuroblastoma cells",,141,64,-0.1323,-0.1452,-0.0129,0.0194,0.0428,0.0235,3.3364,2.46,-0.8764,4.3917,3.5714,-0.8202,380,375.5,-4.5
DCH+14,"mouse 4T1 cells",cancer,71,60,-0.1434,-0.1278,0.0156,0.063,0.045,-0.018,NA,NA,NA,NA,NA,NA,636,336,-300
DYL+14_Hx48-S,"A431 epithelial carcinoma cells Hx48-S",cancer,65,34,-0.1552,-0.1249,0.0303,0.0662,0.0218,-0.0444,2.125,3.5312,1.4062,3.5,4.5,1,518,639.5,121.5
DYL+14_Hx72-S,"A431 epithelial carcinoma cells Hx72-S",cancer,137,61,-0.1376,-0.1358,0.0018,0.0323,0.0119,-0.0204,2.6947,3.0625,0.3678,3.9208,4.0833,0.1625,646,664,18
DYL+14_Hx48-P,"A431 epithelial carcinoma cells Hx48-P",cancer,74,44,-0.1545,-0.1472,0.0074,0.0457,0.0391,-0.0066,2.6122,3.2188,0.6065,3.9074,3.9429,0.0354,448.5,572,123.5
DYL+14_Hx72-P,"A431 epithelial carcinoma cells Hx72-P",cancer,67,53,-0.1395,-0.148,-0.0086,0.0525,0.0181,-0.0343,2.766,3.6579,0.8919,3.9592,4.2927,0.3335,514,534,20
BSA+15,"HeLa cervical cancer cells",cancer,53,72,-0.1486,-0.1429,0.0056,0.0157,0.0158,1e-04,2.7826,2.9516,0.169,4.12,3.7761,-0.3439,282,507,225
HWA+16,"U87MG and 786-O cancer cells",cancer,137,164,-0.1405,-0.1405,0,0.0489,0.0196,-0.0293,2.0661,2.5369,0.4708,3.553,3.9268,0.3738,406,427.5,21.5
LCS16_translation,"HCT116 colon cancer translation",cancer,469,1024,-0.1244,-0.1453,-0.0209,0.0157,-0.0092,-0.0249,3.5305,3.8523,0.3218,4.5479,4.6627,0.1148,282,605,323
CGH+17_whole,"mouse cardiac fibroblasts whole",,38,48,-0.1293,-0.1415,-0.0121,0.0402,0.0478,0.0076,NA,NA,NA,NA,NA,NA,768.5,394,-374.5
ZXS+17,"U87 and U251 glioblastoma cells",cancer,143,122,-0.1555,-0.1292,0.0262,0.0403,-0.0076,-0.048,2.75,3.0132,0.2632,3.7755,3.8101,0.0346,358,419,61
CLY+18_proteome,"HCT116 colon cancer cells proteome",,108,127,-0.1111,-0.1169,-0.0058,0.0133,0.017,0.0037,3.7629,4.4,0.6371,4.6729,4.7857,0.1128,573,456,-117
GBH+18,"SW620 colorectal cancer cells",cancer,237,67,-0.1403,-0.1316,0.0087,0.0094,0.0141,0.0047,3.4587,3.4138,-0.0449,4.4661,4.5484,0.0823,376,364,-12
LKK+18,"hUCB mesehnchymal stem cells",,44,62,-0.1547,-0.1464,0.0083,0.002,0.0364,0.0345,2.075,2.3214,0.2464,2.8864,2.9355,0.0491,338.5,403.5,65
