"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
WTK+08,"T / N",,57,70,-0.1276,-0.127,6e-04,-0.016,-0.007,0.0089,3.1,3.5484,0.4484,3.8214,4.1884,0.367,417,353.5,-63.5
XZC+10_I,"stage I / normal",,48,166,-0.1485,-0.1513,-0.0028,0.033,0.0444,0.0114,4.2857,3.0496,-1.2361,4.0476,3.6296,-0.418,420.5,320.5,-100
XZC+10_II,"stage II / normal",,77,321,-0.1525,-0.1414,0.0111,0.0182,0.0291,0.0109,4.1231,2.9139,-1.2091,4.1176,3.777,-0.3407,325,329,4
ZYS+10,"microdissected T / N",,60,57,-0.151,-0.1328,0.0181,0.0096,0.0327,0.0231,3.96,3.4667,-0.4933,4.2593,3.9216,-0.3377,305,298,-7
BPV+11_stage.I,"stage I / normal",,109,72,-0.1354,-0.1325,0.0029,0.013,0.0025,-0.0105,4.0792,3.4853,-0.5939,4.6019,3.7083,-0.8935,406,448,42
BPV+11_stage.II,"stage II / normal",,164,140,-0.1454,-0.1263,0.0191,0.0119,0.0143,0.0024,3.2945,3.9154,0.6209,4,4.4604,0.4604,412.5,505.5,93
BPV+11_stage.III,"stage III / normal",,63,131,-0.1452,-0.1227,0.0225,-0.0022,-4e-04,0.0018,3.9298,4.1092,0.1794,4.5,4.2344,-0.2656,470,434,-36
BPV+11_stage.IV,"stage IV / normal",,42,26,-0.1118,-0.1199,-0.0081,0.0385,0.0385,1e-04,4.575,3,-1.575,4.619,3.7308,-0.8883,466.5,439,-27.5
JCF+11,"T / N",,72,45,-0.159,-0.1431,0.016,0.0374,0.0413,0.0039,3.5152,4.95,1.4348,3.9,4.5227,0.6227,375,339,-36
MRK+11_AC.NC,"adenocarcinoma / normal",,350,232,-0.1365,-0.1083,0.0282,-0.0074,0.0361,0.0435,3.6588,3.4676,-0.1912,4.1135,4.3276,0.2141,432,644,212
SHHS11,"LCM T / N",,28,43,-0.1237,-0.1402,-0.0165,0.0357,0.0434,0.0077,3.2308,2.2564,-0.9744,3.6667,3,-0.6667,370.5,432,61.5
FGW+12,"T / matched N",,48,34,-0.1118,-0.1341,-0.0224,0.0409,0.0744,0.0336,4.6087,3.6129,-0.9958,5.0851,4.0588,-1.0263,493,540.5,47.5
KYK+12,"MSS-type T / N",,73,175,-0.1367,-0.1169,0.0197,0.0224,0.0368,0.0144,4.9857,3.3962,-1.5895,4.4583,4.0286,-0.4298,412,537,125
WOD+12,"LCM FFPE T / adjacent N",,79,677,-0.1419,-0.1326,0.0093,-0.0144,0.0216,0.036,4.85,2.4318,-2.4182,4.9254,3.7667,-1.1586,292,485,193
CZD+14,"T / N",,52,74,-0.1042,-0.0981,0.0061,0.0142,0.063,0.0488,4.5106,4.1286,-0.3821,4.7692,4.3649,-0.4044,437,276.5,-160.5
STK+15,"membrane enriched T / N",,113,66,-0.1452,-0.149,-0.0038,0.0049,0.0191,0.0142,4.5185,4.4531,-0.0654,4.2703,4.0758,-0.1945,381,387,6
WDO+15_C.N,"LCM FFPE T / adjacent N",,879,1281,-0.1348,-0.1209,0.0139,0.0023,0.0301,0.0278,4.1531,2.8278,-1.3253,4.6786,4.045,-0.6337,423,552,129
LXM+16,"biopsy T / N",,191,178,-0.1304,-0.1345,-0.0041,0.0184,0.0414,0.0229,3.6728,3.6929,0.02,4.1754,3.9932,-0.1822,388,363.5,-24.5
