"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","nAA.down","nAA.up","nAA.diff","MW.down","MW.up","MW.diff"
SBB+06,"mouse malignant melanoma plasma membrane",cancer,574,289,-0.1253,-0.1269,-0.0015,-0.7619,-0.752,0.0099,526,638,112,112.0996,111.5464,-0.5532
FWH+13,"THP-1 macrophages",,56,40,-0.1486,-0.1406,0.008,-0.7327,-0.7185,0.0142,423,441.5,18.5,111.0759,110.1973,-0.8786
RHD+13_Hx48,"A431 epithelial carcinoma cells Hx48",cancer,211,92,-0.1422,-0.1333,0.0089,-0.7545,-0.7568,-0.0022,348,426.5,78.5,112.3789,111.6258,-0.7531
RHD+13_Hx72,"A431 epithelial carcinoma cells Hx72",cancer,88,67,-0.1409,-0.1602,-0.0194,-0.7474,-0.766,-0.0185,323,395,72,112.3548,111.4773,-0.8776
VTMF13,"SH-SY5Y neuroblastoma cells",,141,64,-0.1323,-0.1452,-0.0129,-0.7592,-0.7259,0.0334,380,375.5,-4.5,111.7429,111.6699,-0.073
DCH+14,"mouse 4T1 cells",cancer,71,60,-0.1434,-0.1278,0.0156,-0.7112,-0.7425,-0.0313,636,336,-300,111.733,111.8767,0.1437
DYL+14_Hx48-S,"A431 epithelial carcinoma cells Hx48-S",cancer,65,34,-0.1552,-0.1249,0.0303,-0.6972,-0.7423,-0.0452,518,639.5,121.5,112.8583,112.3441,-0.5143
DYL+14_Hx72-S,"A431 epithelial carcinoma cells Hx72-S",cancer,137,61,-0.1376,-0.1358,0.0018,-0.7371,-0.7652,-0.0281,646,664,18,112.8583,112.3509,-0.5075
DYL+14_Hx48-P,"A431 epithelial carcinoma cells Hx48-P",cancer,74,44,-0.1545,-0.1472,0.0074,-0.7232,-0.7297,-0.0065,448.5,572,123.5,110.5404,111.6841,1.1437
DYL+14_Hx72-P,"A431 epithelial carcinoma cells Hx72-P",cancer,67,53,-0.1395,-0.148,-0.0086,-0.723,-0.7354,-0.0124,514,534,20,111.3591,111.3557,-0.0034
BSA+15,"HeLa cervical cancer cells",cancer,53,72,-0.1486,-0.1429,0.0056,-0.7337,-0.7519,-0.0182,282,507,225,112.2826,110.6442,-1.6384
HWA+16,"U87MG and 786-O cancer cells",cancer,137,164,-0.1405,-0.1405,0,-0.7227,-0.7476,-0.0248,406,427.5,21.5,112.7848,112.0097,-0.7751
LCS16_translation,"HCT116 colon cancer translation",cancer,469,1024,-0.1244,-0.1453,-0.0209,-0.7548,-0.7769,-0.0221,282,605,323,112.0878,112.4314,0.3436
CGH+17_whole,"mouse cardiac fibroblasts whole",,38,48,-0.1293,-0.1415,-0.0121,-0.7399,-0.7241,0.0159,768.5,394,-374.5,110.4442,110.7397,0.2955
ZXS+17,"U87 and U251 glioblastoma cells",cancer,143,122,-0.1555,-0.1292,0.0262,-0.7248,-0.7843,-0.0595,358,419,61,112.2064,112.2006,-0.0058
CLY+18_proteome,"HCT116 colon cancer cells proteome",,108,127,-0.1111,-0.1169,-0.0058,-0.7638,-0.7561,0.0077,573,456,-117,112.4831,110.8798,-1.6033
GBH+18,"SW620 colorectal cancer cells",cancer,237,67,-0.1403,-0.1316,0.0087,-0.7561,-0.7587,-0.0026,376,364,-12,112.07,112.0537,-0.0163
LKK+18,"hUCB mesehnchymal stem cells",,44,62,-0.1547,-0.1464,0.0083,-0.7599,-0.7251,0.0347,338.5,403.5,65,111.544,112.2626,0.7187
WTG+18,"adipose-derived mesehnchymal stem cells",,163,57,-0.1538,-0.1447,0.009,-0.7242,-0.7569,-0.0326,379,428,49,110.393,110.5318,0.1388
CSK+19,"HeLa cervical cancer cells",cancer,36,45,-0.1512,-0.1475,0.0037,-0.7295,-0.7278,0.0017,428,434,6,111.1069,110.6258,-0.4812
GPT+19_Light.S,"MIAPaCa-2 pancreatic cancer cells pulse/trace Light serum replete",cancer,62,180,-0.1229,-0.1207,0.0022,-0.7644,-0.745,0.0194,621,576.5,-44.5,111.969,111.5251,-0.4439
GPT+19_Heavy.S,"MIAPaCa-2 pancreatic cancer cells pulse/trace Heavy serum replete",cancer,196,57,-0.1104,-0.1201,-0.0097,-0.7573,-0.7496,0.0077,592.5,433,-159.5,112.0972,111.048,-1.0492
KAN+19_proteome,"cancer-associated fibroblasts proteome",cancer,221,124,-0.1541,-0.1343,0.0198,-0.7445,-0.75,-0.0055,346,459.5,113.5,111.2136,112.0286,0.815
LLL+19,"human periodontal ligament cells",,67,153,-0.1233,-0.1503,-0.027,-0.7619,-0.7277,0.0342,482,266,-216,111.7219,111.6738,-0.0481
BCMS20,"MCF-7 breast cancer cells",cancer,153,161,-0.1392,-0.1202,0.019,-0.731,-0.7675,-0.0365,440,248,-192,112.3513,111.2852,-1.0661
RVN+20_DMSO,"PC-3 prostate cancer cells in DMSO",cancer,116,86,-0.0926,-0.1329,-0.0403,-0.7249,-0.7497,-0.0248,225.5,455,229.5,111.4414,111.7209,0.2795
RVN+20_NO.sul,"PC-3 prostate cancer cells in NO.sul",,28,33,-0.1257,-0.1405,-0.0148,-0.7433,-0.754,-0.0107,203,450,247,111.8683,112.619,0.7507
RVN+20_sul,"PC-3 prostate cancer cells in sul",,17,54,-0.0902,-0.1368,-0.0465,-0.745,-0.7532,-0.0082,430,227,-203,111.7459,112.1199,0.374
RVN+20_DMSO.4Gy,"PC-3 prostate cancer cells in DMSO.4Gy",,24,38,-0.0934,-0.1138,-0.0205,-0.7235,-0.7479,-0.0244,356.5,396.5,40,112.8508,111.6431,-1.2077
RVN+20_NO.sul.4Gy,"PC-3 prostate cancer cells in NO.sul.4Gy",,21,52,-0.1556,-0.11,0.0457,-0.7603,-0.7608,-5e-04,317,404.5,87.5,111.0033,111.8609,0.8576
RVN+20_sul.4Gy,"PC-3 prostate cancer cells in sul.4Gy",,34,25,-0.127,-0.112,0.015,-0.7541,-0.8,-0.0459,391.5,338,-53.5,112.8894,111.7872,-1.1021
SPJ+20_POS,"canine POS cells",cancer,43,102,-0.1392,-0.1355,0.0038,-0.7337,-0.7538,-0.0201,539,508.5,-30.5,111.2159,111.2598,0.0439
SPJ+20_HMPOS,"canine HMPOS cells",cancer,62,69,-0.1391,-0.1344,0.0047,-0.7427,-0.755,-0.0123,542.5,468,-74.5,111.2298,111.1215,-0.1084
