"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
DAA+05,"thick ascending limb of Henle's loop cells in 600 (NaCl added) vs 300 mosmol/kg medium",,14,24,-0.1112,-0.1458,-0.0347,0.0794,0.0818,0.0024,NA,NA,NA,NA,NA,NA,448,342.5,-105.5
MHN+08_Hyper,"mouse CGR8 embryonic stem cells in 500 (NaCl added) vs 340 mOsM medium",,23,23,-0.1213,-0.1361,-0.0148,0.0091,0.0421,0.033,NA,NA,NA,NA,NA,NA,240,301,61
LTH+11_Protein_30,"_Saccharomyces cerevisiae_ Protein in 0.7 M NaCl vs control medium for 30 min",yeast,686,203,-0.1529,-0.1471,0.0058,0.0297,0.0344,0.0047,NA,NA,NA,NA,NA,NA,421,427,6
LTH+11_Protein_60,"_Saccharomyces cerevisiae_ Protein in 0.7 M NaCl vs control medium for 60 min",yeast,554,335,-0.1539,-0.1482,0.0057,0.0379,0.0245,-0.0134,NA,NA,NA,NA,NA,NA,411.5,434,22.5
LTH+11_Protein_90,"_Saccharomyces cerevisiae_ Protein in 0.7 M NaCl vs control medium for 90 min",yeast,537,352,-0.153,-0.1485,0.0046,0.0376,0.0266,-0.0109,NA,NA,NA,NA,NA,NA,398,446.5,48.5
LTH+11_Protein_120,"_Saccharomyces cerevisiae_ Protein in 0.7 M NaCl vs control medium for 120 min",yeast,538,351,-0.1528,-0.1485,0.0043,0.0391,0.0248,-0.0143,NA,NA,NA,NA,NA,NA,401.5,437,35.5
LTH+11_Protein_240,"_Saccharomyces cerevisiae_ Protein in 0.7 M NaCl vs control medium for 240 min",yeast,564,325,-0.1508,-0.1531,-0.0023,0.0375,0.0254,-0.012,NA,NA,NA,NA,NA,NA,409.5,437,27.5
OBBH11,"adipose-derived stem cells in 400 mOsm vs 300 mOsm NaCl",,148,144,-0.1314,-0.1355,-0.0042,0.0237,0.046,0.0223,3.0776,3.2661,0.1885,3.937,3.7734,-0.1636,444.5,376.5,-68
LFY+12_C1h,"cytoplasm of HEK293 cells in 500 (NaCl added) vs 300 mosmol/kg medium for 1 h",,19,36,-0.1591,-0.1397,0.0193,0.0732,0.0316,-0.0416,1.6,2,0.4,2.4211,3.5429,1.1218,364,485,121
LFY+12_C8h,"cytoplasm of HEK293 cells in 500 (NaCl added) vs 300 mosmol/kg medium for 8 h",,20,34,-0.1364,-0.1567,-0.0203,0.0572,0.0484,-0.0088,1.7778,1.9118,0.134,3.8947,3.1471,-0.7477,443.5,459,15.5
LFY+12_C2p,"cytoplasm of HEK293 cells in 500 (NaCl added) vs 300 mosmol/kg medium for 2 passages",,33,66,-0.1451,-0.1506,-0.0055,0.0888,0.0325,-0.0563,2.8,2.0172,-0.7828,3.6562,3.3438,-0.3125,493,446,-47
LFY+12_N1h,"nucleus of HEK293 cells in 500 (NaCl added) vs 300 mosmol/kg medium for 1 h",,49,80,-0.11,-0.122,-0.012,0.0271,0.0376,0.0105,2.7556,2.6026,-0.153,3.5102,4.0759,0.5657,450,587.5,137.5
LFY+12_N8h,"nucleus of HEK293 cells in 500 (NaCl added) vs 300 mosmol/kg medium for 8 h",,39,64,-0.105,-0.1233,-0.0183,0.0271,0.0272,1e-04,2.7297,2.2182,-0.5115,3.9231,3.7937,-0.1294,434,572.5,138.5
LFY+12_N2p,"nucleus of HEK293 cells in 500 (NaCl added) vs 300 mosmol/kg medium for 2 passages",,22,67,-0.1059,-0.1208,-0.0149,0.0871,0.0414,-0.0457,3.1905,2.537,-0.6534,4.55,3.7463,-0.8037,670,573,-97
CLG+15,"human conjunctival epithelial cells in 380 or 480 mOsm vs 280 mOsm NaCl",,25,38,-0.1494,-0.1534,-0.004,0.0256,0.0427,0.0171,2.6667,2.6389,-0.0278,3.24,3.5526,0.3126,548,438,-110
SCG+15_nodelay,"_Saccharomyces cervisiae_ in 0.4 M NaCl vs control - nodelay",,567,266,-0.1388,-0.1523,-0.0136,0.0371,0.0182,-0.0189,NA,NA,NA,NA,NA,NA,386,372,-14
SCG+15_delayed,"_Saccharomyces cervisiae_ in 0.4 M NaCl vs control - delayed",,219,67,-0.1481,-0.1435,0.0046,0.0374,0.0032,-0.0342,NA,NA,NA,NA,NA,NA,446,391,-55
YDZ+15,"_Yarrowia lipolytica_ in 4.21 osmol/kg vs 3.17 osmol/kg NaCl",yeast,14,28,-0.1413,-0.1248,0.0165,0.077,0.034,-0.043,NA,NA,NA,NA,NA,NA,427.5,330,-97.5
GAM+16_HTS,"human small airway epithelial cells in HTS vs isotonic",,211,396,-0.1443,-0.1269,0.0173,0.0091,0.0219,0.0128,3.0259,2.7665,-0.2594,4.2986,3.9237,-0.3749,323,506.5,183.5
GAM+16_HTS.Cmx,"human small airway epithelial cells in HTS.Cmx vs isotonic.Cmx",,303,250,-0.1397,-0.1337,0.0061,0.0144,0.0177,0.0033,3.0939,3.0708,-0.0231,4.24,4.156,-0.084,308,480,172
RBP+16,"_Paracoccidioides lutzii_ in 0.1 M KCl vs medium with no added KCl",yeast,160,141,-0.1371,-0.134,0.0031,0.0695,0.0113,-0.0582,NA,NA,NA,NA,NA,NA,341,341,0
JBG+18,"_Candida albicans_ in 1 M NaCl vs medium with no added NaCl",yeast,84,63,-0.1506,-0.153,-0.0023,0.0493,0.0213,-0.028,NA,NA,NA,NA,NA,NA,365,350,-15
