"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
LHT+04,"T / N",,79,44,-0.1456,-0.117,0.0286,-1.7316,-1.7618,-0.0302,3.0455,3.9062,0.8608,3.5797,4.5,0.9203,428,444,16
BLP+05,"T / N",,61,22,-0.1519,-0.1192,0.0327,-1.7305,-1.6838,0.0467,2.614,2.3333,-0.2807,3.459,3,-0.459,408,461,53
LTZ+05,"T / N",,35,39,-0.1416,-0.1449,-0.0033,-1.6608,-1.6802,-0.0193,2.6875,2.3056,-0.3819,2.9375,3.0769,0.1394,333,317,-16
DTS+07,"T / N",,20,23,-0.1635,-0.1402,0.0233,-1.6685,-1.6723,-0.0039,2.8333,2.5455,-0.2879,3.1111,3.0909,-0.0202,342,432,90
SXS+07,"T / N",,46,21,-0.1502,-0.1327,0.0175,-1.7553,-1.7298,0.0256,3.0667,2.4737,-0.593,3.6222,3.55,-0.0722,375,543,168
CHN+08,"T / N",,93,58,-0.1682,-0.1173,0.0509,-1.7321,-1.7528,-0.0207,2.5977,5.8889,3.2912,2.9022,5.0862,2.184,392,484.5,92.5
RLA+10,"T / N rat transitional endoplasmic reticulum",rat,130,135,-0.1758,-0.1494,0.0263,-1.7687,-1.7122,0.0565,NA,NA,NA,NA,NA,NA,447.5,423,-24.5
LMG+11_nuclear,"T / N nuclear",,411,264,-0.1607,-0.1325,0.0283,-1.7536,-1.7098,0.0438,2.7408,3.6135,0.8727,3.6447,4.2325,0.5877,339,419.5,80.5
LMG+11_cytoskeletal,"T / N cytoskeletal",,280,273,-0.1636,-0.1246,0.039,-1.7427,-1.7015,0.0412,2.5385,3.1486,0.6102,3.5676,4.0996,0.532,391,475,84
LRL+12,"T / N",,102,161,-0.1492,-0.1173,0.0319,-1.7079,-1.7019,0.0061,2.7841,3.4722,0.6881,3.3163,4.1312,0.8149,397,390,-7
KOK+13,"T / N",,53,38,-0.1493,-0.1308,0.0185,-1.7234,-1.6515,0.0719,2.7755,2.4,-0.3755,3.56,4.0556,0.4956,349,403,54
MBK+13,"T / N",,192,280,-0.1562,-0.1396,0.0165,-1.7158,-1.7147,0.0011,2.3242,3.251,0.9268,3.0052,3.9603,0.9551,447,448,1
XWS+14,"T / N",,135,504,-0.1132,-0.1399,-0.0267,-1.7074,-1.7175,-0.0101,5.2358,2.8983,-2.3375,5.15,4.0066,-1.1434,564,481.5,-82.5
BSG15,"T / N EGF transgenic mice",mouse,34,71,-0.1613,-0.131,0.0303,-1.7053,-1.7633,-0.058,NA,2,NA,NA,4,NA,332.5,436,103.5
RPM+15,"T / N",,131,479,-0.1593,-0.1195,0.0398,-1.7297,-1.714,0.0158,2.0583,3.3303,1.2719,2.9231,4.1221,1.199,412,484,72
NBM+16_G1,"T / N G1",,42,80,-0.1453,-0.1276,0.0176,-1.7004,-1.7063,-0.0058,2.7838,3.2817,0.4979,3.2619,4.4375,1.1756,443,386.5,-56.5
NBM+16_G2,"T / N G2",,81,82,-0.1574,-0.1257,0.0317,-1.7241,-1.7091,0.015,2.4583,3.36,0.9017,3.15,4.6098,1.4598,430,584.5,154.5
NBM+16_G3,"T / N G3",,237,556,-0.1608,-0.1321,0.0287,-1.7285,-1.7136,0.015,2.1918,3.2642,1.0724,2.9364,4.2857,1.3493,412,445,33
NMB+16,"T / N",,121,426,-0.1496,-0.1339,0.0157,-1.7143,-1.723,-0.0087,2.2072,3.294,1.0868,2.8417,4.1939,1.3522,380,545.5,165.5
QXC+16_T1,"T / N T1",,198,132,-0.149,-0.1288,0.0201,-1.7454,-1.7039,0.0415,3.7868,3.6308,-0.156,3.7162,4,0.2838,436,330.5,-105.5
QXC+16_T2,"T / N T2",,193,172,-0.1444,-0.1379,0.0065,-1.7483,-1.7117,0.0366,3.1513,5.0112,1.86,3.75,4.5464,0.7964,452,369.5,-82.5
QXC+16_T3,"T / N T3",,202,185,-0.1475,-0.1207,0.0268,-1.7411,-1.7214,0.0197,3.4878,4.6211,1.1332,3.6618,4.6667,1.0049,427,373,-54
GJZ+17,"T / N",,26,25,-0.1261,-0.1169,0.0091,-1.7647,-1.7212,0.0436,7.6923,6.1739,-1.5184,4.5769,5.04,0.4631,493,564,71
GWS+17,"T / N",,145,191,-0.1651,-0.1422,0.0229,-1.7273,-1.7196,0.0077,2.3231,3.2378,0.9147,3.0584,3.8544,0.796,412,383,-29
QPP+17,"T / N",,121,72,-0.1315,-0.1314,1e-04,-1.7406,-1.7238,0.0168,5.4035,5.303,-0.1005,4.9835,5.0704,0.087,463,406.5,-56.5
WLL+17_small,"T / N small",,48,31,-0.1369,-0.1652,-0.0283,-1.6917,-1.6412,0.0506,4.0244,4.8276,0.8032,4.1064,5.1,0.9936,375,235,-140
WLL+17_medium,"T / N medium",,21,39,-0.1282,-0.1291,-0.001,-1.7095,-1.7088,6e-04,4.7059,6.5882,1.8824,5.1429,5.6923,0.5495,288,280,-8
WLL+17_large,"T / N large",,39,63,-0.1593,-0.1475,0.0119,-1.7379,-1.6738,0.0641,4.5588,5.0545,0.4957,4.3846,5.2063,0.8217,399,376,-23
WLL+17_huge,"T / N huge",,60,129,-0.1313,-0.1475,-0.0162,-1.7347,-1.7137,0.0209,3.8727,3.6228,-0.2499,4.3966,4.2403,-0.1562,359.5,475,115.5
BOK+18,"T / N",,108,59,-0.1223,-0.1346,-0.0123,-1.739,-1.7237,0.0153,4.4851,3.2075,-1.2776,4.9717,4.4068,-0.5649,462.5,535,72.5
YXZ+18,"T / N",,145,111,-0.1563,-0.1288,0.0275,-1.7417,-1.7065,0.0352,3.8333,3.4898,-0.3435,4.0634,3.8716,-0.1918,484,344,-140
BEM+20,"T / N mouse",mouse,93,138,-0.1623,-0.1335,0.0288,-1.7618,-1.7271,0.0347,NA,NA,NA,NA,NA,NA,403,426.5,23.5
GZD+19_protein,"T / N protein",,403,52,-0.1572,-0.131,0.0262,-1.7453,-1.6801,0.0652,3.4511,3.3953,-0.0557,3.6416,4.098,0.4564,418,503,85
GZD+19_phosphoprotein,"T / N phosphoprotein",,213,68,-0.1532,-0.1174,0.0358,-1.7212,-1.6953,0.0258,3.5,3.5,0,4.1137,4.5522,0.4385,468,607.5,139.5
JSZ+19,"T / N",,359,1649,-0.1457,-0.1236,0.0221,-1.757,-1.7171,0.0399,4.1169,3.2149,-0.902,4.1201,4.4002,0.2801,440,520,80
ZZL+19,"T / N",,162,173,-0.1446,-0.1268,0.0179,-1.6959,-1.6848,0.0111,2.1879,3.3423,1.1544,3.1988,3.9884,0.7897,469.5,361,-108.5
GZL+20,"T / N",,234,769,-0.1442,-0.1242,0.02,-1.731,-1.7132,0.0178,2.7962,3.4414,0.6452,3.5708,4.3647,0.7939,474,437,-37
SCL+20_differential,"T / N mitochondrial differential",,38,43,-0.1659,-0.1611,0.0048,-1.6779,-1.6807,-0.0028,1.16,1.1667,0.0067,2.5185,2.4167,-0.1019,417.5,373,-44.5
SCL+20_unique,"T / N mitochondrial unique",,419,966,-0.1491,-0.1273,0.0218,-1.7248,-1.7176,0.0072,2.9225,3.9769,1.0544,3.8876,4.4422,0.5546,287,347,60
