"dataset","description","tags","n1","n2","Zc.down","Zc.up","Zc.diff","nH2O.down","nH2O.up","nH2O.diff","nAA.down","nAA.up","nAA.diff","MW.down","MW.up","MW.diff"
LHT+04,"T / N",,79,44,-0.1456,-0.117,0.0286,-0.7686,-0.7963,-0.0277,428,444,16,110.5156,111.3503,0.8348
BLP+05,"T / N",,61,22,-0.1519,-0.1192,0.0327,-0.7506,-0.7404,0.0102,408,461,53,111.032,111.0972,0.0652
LTZ+05,"T / N",,35,39,-0.1416,-0.1449,-0.0033,-0.7079,-0.7263,-0.0184,333,317,-16,110.6063,111.1343,0.528
DTS+07,"T / N",,20,23,-0.1635,-0.1402,0.0233,-0.74,-0.7245,0.0155,342,432,90,110.8229,110.8211,-0.0018
SXS+07,"T / N",,46,21,-0.1502,-0.1327,0.0175,-0.7887,-0.734,0.0547,375,543,168,110.56,111.6559,1.0959
CHN+08,"T / N",,93,58,-0.1682,-0.1173,0.0509,-0.7683,-0.7924,-0.0241,392,484.5,92.5,111.1889,111.7439,0.555
RLA+10,"T / N rat transitional endoplasmic reticulum",rat,130,135,-0.1758,-0.1494,0.0263,-0.7862,-0.7484,0.0378,447.5,423,-24.5,111.8786,111.6586,-0.22
LMG+11_nuclear,"T / N nuclear",,411,264,-0.1607,-0.1325,0.0283,-0.7752,-0.7551,0.0201,339,419.5,80.5,111.7754,111.5562,-0.2192
LMG+11_cytoskeletal,"T / N cytoskeletal",,280,273,-0.1636,-0.1246,0.039,-0.7667,-0.7484,0.0183,391,475,84,111.7809,112.0097,0.2288
LRL+12,"T / N",,102,161,-0.1492,-0.1173,0.0319,-0.746,-0.7417,0.0044,397,390,-7,110.628,111.7217,1.0937
KOK+13,"T / N",,53,38,-0.1493,-0.1308,0.0185,-0.7511,-0.7026,0.0485,349,403,54,110.2664,111.3638,1.0973
MBK+13,"T / N",,192,280,-0.1562,-0.1396,0.0165,-0.7571,-0.746,0.0111,447,448,1,110.6905,111.7234,1.033
XWS+14,"T / N",,135,504,-0.1132,-0.1399,-0.0267,-0.7645,-0.7493,0.0152,564,481.5,-82.5,110.8474,112.2954,1.448
BSG15,"T / N EGF transgenic mice",mouse,34,71,-0.1613,-0.131,0.0303,-0.7525,-0.7912,-0.0386,332.5,436,103.5,110.2178,111.8324,1.6146
RPM+15,"T / N",,131,479,-0.1593,-0.1195,0.0398,-0.7667,-0.7579,0.0089,412,484,72,110.8378,111.9922,1.1543
NBM+16_G1,"T / N G1",,42,80,-0.1453,-0.1276,0.0176,-0.7541,-0.7462,0.0079,443,386.5,-56.5,110.7052,111.4462,0.741
NBM+16_G2,"T / N G2",,81,82,-0.1574,-0.1257,0.0317,-0.7647,-0.7651,-4e-04,430,584.5,154.5,110.9621,111.25,0.2879
