"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
WTK+08,"T / N",,57,70,-0.1276,-0.127,6e-04,-1.0995,-1.0728,0.0266,3.1,3.5484,0.4484,3.8214,4.1884,0.367,417,353.5,-63.5
XZC+10_I,"stage I / normal",,48,166,-0.1485,-0.1513,-0.0028,-1.0499,-1.0276,0.0224,4.2857,3.0496,-1.2361,4.0476,3.6296,-0.418,420.5,320.5,-100
XZC+10_II,"stage II / normal",,77,321,-0.1525,-0.1414,0.0111,-1.0759,-1.0415,0.0344,4.1231,2.9139,-1.2091,4.1176,3.777,-0.3407,325,329,4
ZYS+10,"microdissected T / N",,60,57,-0.151,-0.1328,0.0181,-1.0662,-1.0331,0.0332,3.96,3.4667,-0.4933,4.2593,3.9216,-0.3377,305,298,-7
BPV+11_stage.I,"stage I / normal",,109,72,-0.1354,-0.1325,0.0029,-1.0562,-1.0688,-0.0125,4.0792,3.4853,-0.5939,4.6019,3.7083,-0.8935,406,448,42
BPV+11_stage.II,"stage II / normal",,164,140,-0.1454,-0.1263,0.0191,-1.0704,-1.0586,0.0118,3.2945,3.9154,0.6209,4,4.4604,0.4604,412.5,505.5,93
BPV+11_stage.III,"stage III / normal",,63,131,-0.1452,-0.1227,0.0225,-1.0957,-1.0676,0.0281,3.9298,4.1092,0.1794,4.5,4.2344,-0.2656,470,434,-36
BPV+11_stage.IV,"stage IV / normal",,42,26,-0.1118,-0.1199,-0.0081,-1.0269,-1.0308,-0.0039,4.575,3,-1.575,4.619,3.7308,-0.8883,466.5,439,-27.5
JCF+11,"T / N",,72,45,-0.159,-0.1431,0.016,-1.0406,-1.0532,-0.0126,3.5152,4.95,1.4348,3.9,4.5227,0.6227,375,339,-36
MRK+11_AC.NC,"adenocarcinoma / normal",,350,232,-0.1365,-0.1083,0.0282,-1.0892,-1.0232,0.0661,3.6588,3.4676,-0.1912,4.1135,4.3276,0.2141,432,644,212
SHHS11,"LCM T / N",,28,43,-0.1237,-0.1402,-0.0165,-1.0525,-1.0324,0.0201,3.2308,2.2564,-0.9744,3.6667,3,-0.6667,370.5,432,61.5
FGW+12,"T / matched N",,48,34,-0.1118,-0.1341,-0.0224,-1.0376,-0.9725,0.0651,4.6087,3.6129,-0.9958,5.0851,4.0588,-1.0263,493,540.5,47.5
KYK+12,"MSS-type T / N",,73,175,-0.1367,-0.1169,0.0197,-1.0562,-1.0327,0.0236,4.9857,3.3962,-1.5895,4.4583,4.0286,-0.4298,412,537,125
WOD+12,"LCM FFPE T / adjacent N",,79,677,-0.1419,-0.1326,0.0093,-1.0954,-1.0421,0.0533,4.85,2.4318,-2.4182,4.9254,3.7667,-1.1586,292,485,193
CZD+14,"T / N",,52,74,-0.1042,-0.0981,0.0061,-1.0584,-1.0056,0.0529,4.5106,4.1286,-0.3821,4.7692,4.3649,-0.4044,437,276.5,-160.5
STK+15,"membrane enriched T / N",,113,66,-0.1452,-0.149,-0.0038,-1.0765,-1.0471,0.0294,4.5185,4.4531,-0.0654,4.2703,4.0758,-0.1945,381,387,6
WDO+15_C.N,"LCM FFPE T / adjacent N",,879,1281,-0.1348,-0.1209,0.0139,-1.0743,-1.0345,0.0398,4.1531,2.8278,-1.3253,4.6786,4.045,-0.6337,423,552,129
LXM+16,"biopsy T / N",,191,178,-0.1304,-0.1345,-0.0041,-1.0515,-1.0218,0.0297,3.6728,3.6929,0.02,4.1754,3.9932,-0.1822,388,363.5,-24.5
PHL+16_CIS,"CIS / N",,169,138,-0.142,-0.126,0.0161,-1.0436,-1.0318,0.0118,3.239,3.3889,0.1499,3.7455,3.9928,0.2473,421,704.5,283.5
PHL+16_ICC,"ICC / N",,129,100,-0.147,-0.1282,0.0188,-1.0476,-1.0597,-0.0121,2.8211,3.9663,1.1452,3.464,4.2,0.736,412,721,309
CTW+17,"organoid T / N",,227,78,-0.1311,-0.1327,-0.0016,-1.0436,-1.0182,0.0254,4.3623,2.6957,-1.6667,4.7511,4.1538,-0.5973,629,509.5,-119.5
HZW+17,"T / adjacent N",,126,589,-0.1344,-0.1239,0.0105,-1.0652,-1.0405,0.0248,5.7739,3.1326,-2.6413,5.232,4.3231,-0.9089,424,596,172
LLL+17,"LCM cancer / non-neoplastic mucosa",,110,77,-0.1321,-0.1384,-0.0062,-1.0398,-1.0404,-7e-04,4.3827,3.8182,-0.5645,4.7444,4.0169,-0.7275,342,589,247
NKG+17,"T / N",,48,77,-0.1361,-0.1261,0.0099,-1.0323,-1.0572,-0.025,4.2,4.7042,0.5042,4.2174,4.3506,0.1333,442.5,375,-67.5
QMB+17,"FFPE T / N",,25,53,-0.1132,-0.1364,-0.0232,-1.0719,-1.0051,0.0668,4,3.1176,-0.8824,4.625,3.9615,-0.6635,527,464,-63
TMS+17,"epithelial T / N",,158,166,-0.1518,-0.1223,0.0295,-1.0517,-1.0174,0.0343,3.3154,3.1667,-0.1488,3.9684,4.0848,0.1165,408.5,469.5,61
ZLY+17,"T / N",,58,54,-0.1524,-0.1342,0.0182,-1.0565,-1.0413,0.0151,3.875,3.5952,-0.2798,4.1538,3.9796,-0.1743,305,283,-22
AKG+18,"T / N",,43,426,-0.1103,-0.1409,-0.0306,-1.0688,-1.0271,0.0417,4.9744,2.6772,-2.2972,5.0465,3.6635,-1.383,376,330.5,-45.5
STA+19_CC.NM,"non-metastatic colon cancer, T / N",,437,317,-0.1361,-0.1253,0.0108,-1.0699,-1.0352,0.0347,3.9618,3.8754,-0.0864,4.6134,4.4268,-0.1867,377,455,78
STA+19_CC.M,"metastatic colon cancer, T / N",,436,356,-0.1447,-0.1198,0.0249,-1.0829,-1.0233,0.0596,3.7744,4.0852,0.3108,4.5804,4.5411,-0.0393,366,434,68
VHW+19,"T / adjacent N",,417,31,-0.1236,-0.1553,-0.0317,-1.0602,-1.0571,0.0031,5.2487,6.3793,1.1306,5.1768,5.4194,0.2426,424,375,-49
WYL+19,"tumor-associated / normal vascular endothelial cells",,97,119,-0.1417,-0.1313,0.0105,-1.0347,-1.0417,-0.007,4.1961,4.0135,-0.1826,4.8305,4.1538,-0.6767,416,266,-150
