protein_Ref,Entry,Gene_symbol,Gene.Name,Log2.CoCl2.vs.Control,Log2.SAL.vs.CoCl2
NP_001004095,Q6B345,S100A11,"S100 calcium binding protein A11 (calizzarin)",2.58,NA
NP_001004253,Q6AYB6,SYAP1,"synapse associated protein 1",-2.02,NA
NP_001004443,Q641X3,HEXA,"hexosaminidase A",-1.98,-2.3
NP_001005879,P82808,GFPT1,"glutamine fructose-6-phosphate transaminase 1",2.86,1.2
NP_001006958,Q5XI72,EIF4H,"eukaryotic translation initiation factor 4H",-3.6,1.22
NP_001007005,Q5XIF6,TUBA4A,"tubulin, alpha 4A",NA,1.74
NP_001007621,P49432,PDHE-1,"pyruvate dehydrogenase (lipoamide) beta",NA,1.22
NP_001007740,Q6AY18,SAR1A,"SAR1 homolog A (S. cerevisiae)",NA,1.32
NP_001007746,Q5XIP9,TMEM43,"transmembrane protein 43",3.36,4.14
NP_001008281,Q5RJR8,LRRC59,"leucine rich repeat containing 59",2.8,3.76
NP_001008519,Q5SGE0,LRPPRC,"leucine-rich PPR-motif containing",NA,1.48
NP_001009668,P13803,ETFA,"electron-transfer-flavoprotein, alpha polypeptide",NA,-1.42
NP_001011959,Q6AYS3,CTSA,"protective protein for beta-galactosidase",-4.08,NA
NP_001011989,Q5M918,GNS,"glucosamine (N-acetyl)-6-sulfatase",-3.2,-2.74
NP_001011995,Q6AYZ1,TUBA1C,"tubulin, alpha 1C",NA,1.62
NP_001012083,Q66H41,SNX7,"sorting nexin 7",-2.42,NA
NP_001012104,Q641Y0,DDOST,"dolichyl-diphosphooligosaccharide-protein glycosyltransferase",2.22,2.64
NP_001012144,Q6AYR1,TFG,"Trk-fused gene",-3.06,1.36
NP_001013886,Q5XI07,LPP,"LIM domain containing preferred translocation partner in lipoma",-2.28,1.14
NP_001013985,Q66H71,CPPED1,"calcineurin-like phosphoesterase domain containing 1",NA,-1.44
NP_001014005,Q5FVQ4,MLEC,malectin,1.98,3.08
NP_001019925,Q4V7C6,GMPS,"guanine monphosphate synthetase",NA,-1.3
NP_001020585,Q4QQV4,LOC683023,"dead end homolog 1 (zebrafish); similar to Dead end protein homolog 1 (RNA-binding motif, single-stranded interacting protein 4); histidyl-tRNA synthetase",-1.84,NA
NP_001020857,Q4KM74,SEC22B,"SEC22 vesicle trafficking protein homolog B (S. cerevisiae)",2.66,2.78
NP_001020887,Q4KLL7,VPS4B,"vacuolar protein sorting 4 homolog B (S. cerevisiae)",-5.56,NA
NP_001020912,Q4V8C3,EML1,"echinoderm microtubule associated protein like 1",NA,-1.2
NP_001025092,A0A0G2QC53,EPS15L1,"epidermal growth factor receptor pathway substrate 15-like 1",-1.86,NA
NP_001092197,B5DEK0,RPRD1B,"regulation of nuclear pre-mRNA domain containing 1B",-2.26,NA
NP_001094189,B5DFK6,AP3D1,"adaptor-related protein complex 3, delta 1 subunit",NA,1.06
NP_001094220,B1H270,SUCLG2,"succinate-CoA ligase, GDP-forming, beta subunit",NA,-1.53
NP_001094304,F7EPH4,PPA1,"pyrophosphatase (inorganic) 1",-2.8,NA
NP_001099187,P47942,DPYSL2,"dihydropyrimidinase-like 2",-1.78,-2.06
NP_001099525,D4A722,MYCBP2,"MYC binding protein 2",NA,1.82
NP_001099530,D3ZKE6,SLMAP,"sarcolemma associated protein",4.3,4.04
NP_001099546,B1WBX7,COPE,"coatomer protein complex, subunit epsilon",NA,1.12
NP_001099702,B2RYF6,CLPTM1,"cleft lip and palate associated transmembrane protein 1",3.34,2.98
NP_001099881,D3ZPW7,GPX8,"glutathione peroxidase 8",2.02,3.5
NP_001100125,B1WC26,NANS,"N-acetylneuraminic acid synthase",-2.06,-2.08
NP_001102210,D3ZH41,CKAP4,"cytoskeleton-associated protein 4",NA,1.8
NP_001102397,D4A9D8,OSBP,"oxysterol binding protein",-1.66,1.06
NP_001102887,D3ZBN0,HIST1H1B,"histone cluster 1, H1b",-2.04,2.44
NP_001104293,P11507,ATP2A2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",2.18,4.02
NP_001108507,B0BNA7,EIF3I-PS1,"eukaryotic translation initiation factor 3, subunit I; eukaryotic translation initiation factor 3, subunit I, pseudogene 1",-2.06,NA
NP_001121022,B2RYI6,SNX4,"sorting nexin 4",-2.26,1.26
NP_001121111,B2RYC9,GBA,"glucosidase, beta, acid",NA,-3.22
NP_001127988,B5DEH4,UAP1L1,"UDP-N-acteylglucosamine pyrophosphorylase 1-like 1",-2.22,NA
NP_001128467,B5DFC6,GNPDA1,"glucosamine-6-phosphate deaminase 1",NA,-2.38
NP_001162083,UPI0001BFBBE1,CRLF3,"cytokine receptor-like factor 3",-1.88,2.26
NP_001162584,Q99068,LRPAP1,"low density lipoprotein receptor-related protein associated protein 1",NA,-5.56
NP_001164072,UPI0000DA3C0B,RGD1565224,"signal recognition particle 72; signal recognition particle 72-like; similar to signal recognition particle,72 kDa subunit",NA,1.22
NP_036694,P17164,FUCA1,"fucosidase, alpha-L- 1, tissue",-2.34,-1.42
NP_036703,P13221,GOT1,"glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)",-2.34,NA
NP_036709,P04906,GSTP1,"glutathione-S-transferase, pi 1",-2.46,-1.46
NP_036712,P06762,HMOX1,"heme oxygenase (decycling) 1",4.94,2.4
NP_036788,P16975,SPARC,"secreted protein, acidic, cysteine-rich (osteonectin)",-2.12,NA
NP_036867,P27881,HK2,"hexokinase 2",2.6,2.08
NP_036879,P52631,STAT3,"signal transducer and activator of transcription 3",NA,1.52
NP_036951,P15650,ACADL,"acyl-Coenzyme A dehydrogenase, long-chain",NA,-1.44
NP_037035,P49911,ANP32A,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A",-1.96,NA
NP_037067,P23928,CRYAB,"crystallin, alpha B",NA,1.24
NP_037118,Q62940,NEDD4,"neural precursor cell expressed, developmentally down-regulated gene 4",-1.82,NA
NP_037199,Q6P7A7,RPN1,"ribophorin I",NA,3.58
NP_037211,P49088,ASNS,"asparagine synthetase",NA,1.32
NP_037216,P70584,ACADSB,"acyl-Coenzyme A dehydrogenase, short/branched chain",4.86,-2.02
NP_037267,P50904,RASA1,"RAS p21 protein activator (GTPase activating protein) 1",-1.72,2.5
NP_037326,G3V6P7,MYH9,"myosin, heavy chain 9, non-muscle",1.92,2.6
NP_037350,P29411,AK3,"adenylate kinase 3",-2,-1.18
NP_058696,P05982,NQO1,"NAD(P)H dehydrogenase, quinone 1",-2.28,-1.24
NP_058701,Q5M964,FH1,"fumarate hydratase 1",NA,-1.5
NP_058718,P49134,ITGB1,"integrin beta 1 (fibronectin receptor beta)",NA,1.24
NP_058898,P10888,COX4I1,"cytochrome c oxidase subunit IV isoform 1",3.94,3.9
