"Gene Name",Entry,Regulated
GPI,P06744,up
LDHA,P00338,up
TPI1,P60174,up
PGK1,P00558,up
ENO2,P09104,up
ALDOA,P04075,up
HK2,P52789,up
PFKP,Q01813,up
GYS1,P13807,up
GBE1,Q04446,up
LOX,P28300,up
P4HA1,P13674,up
P4HA2,O15460,up
FTH1,P02794,up
CYP51A1,Q16850,up
PLOD2,O00469,up
PLOD1,Q02809,up
ERO1L,Q96HE7,up
LOXL2,Q9Y4K0,up
FTL,P02792,up
LRPAP1,P30533,up
PFDN4,Q9NQP4,up
HSPBP1,Q9NZL4,up
PFDN6,O15212,up
COL1A1,P02452,up
COL3A1,P02461,up
CRABP2,P29373,up
COL7A1,Q02388,up
TXNIP,Q9H3M7,up
CDV3,Q9UKY7,up
NUMBL,Q9Y6R0,up
CD81,P60033,up
ZAK,Q9NYL2,up
APOA1,P02647,up
CD276,Q5ZPR3,up
ITGA5,P08648,up
ICAM1,P05362,up
FNTA,P49354,up
BSG,P35613,up
TPM1,P09493,up
ACO1,P21399,up
NDRG1,Q92597,up
EMD,P50402,up
IKBIP,Q70UQ0,up
FECH,P22830,up
SLC2A1,P11166,up
LMNA,P02545,up
LSG1,Q9H089,up
NUTF2,P61970,up
AGFG1,P52594,up
CS,O75390,down
FH,P07954,down
SUCLA2,Q9P2R7,down
MDH2,P40926,down
IDH3G,P51553,down
SUCLG2,Q96I99,down
SUCLG1,P53597,down
ACO2,Q99798,down
PDHB,P11177,down
IDH3A,P50213,down
NDUFA9,Q16795,down
NDUFB9,Q9Y6M9,down
NDUFA8,P51970,down
NDUFB8,O95169,down
NDUFS8,O00217,down
NDUFB10,O96000,down
NDUFS5,O43920,down
NDUFA10,O95299,down
NDUFB3,O43676,down
NDUFS3,O75489,down
DLD,P09622,down
NDUFV1,P49821,down
UQCRC1,P31930,down
UQCR10,Q9UDW1,down
ME2,P23368,down
HIBADH,P31937,down
HIBCH,Q6NVY1,down
BCAT2,O15382,down
PYCR1,P32322,down
PYCR2,Q96C36,down
SLC25A12,O75746,down
SLC25A13,Q9UJS0,down
PDP1,Q9P0J1,down
PCK2,Q16822,down
TOMM40,O96008,down
TOMM34,Q15785,down
TIMM44,O43615,down
TOMM22,Q9NS69,down
SF3B4,Q15427,down
PRPF4,O43172,down
SF3A2,Q15428,down
SNRPD1,P62314,down
DHX38,Q92620,down
GEMIN5,Q8TEQ6,down
USP39,Q53GS9,down
WDR77,Q9BQA1,down
LSM2,Q9Y333,down
GFM1,Q96RP9,down
RPL21,P46778,down
RPL22,P35268,down
RPL13,P26373,down
RPL27,P61353,down
EEF2,P13639,down
TUFM,P49411,down
MCM7,P33993,down
MCM3,P25205,down
MCM6,Q14566,down
QTRT1,Q9BXR0,down
SSB,P05455,down
NSUN2,Q08J23,down
CIRBP,Q14011,down
SOD2,P04179,down
ENG,P17813,down
MRPS9,P82933,down
PARP1,P09874,down
MRPS35,P82673,down
