"Gene Name","Accession Number","Uniprot Accession","Hypoxia Heavy","Normoxia Heavy"
RNPEP,AMPB_HUMAN,Q9BVM9,0,22.62
RPS19BP1,AROS_HUMAN,Q86WX3,0,21.96
BMS1,BMS1_HUMAN,Q14692,0,22.73
BOP1,BOP1_HUMAN,Q96Q25,0,23.16
CCDC71L,CC71L_HUMAN,Q8N9Z2,0,22.47
CCDC86,CCD86_HUMAN,Q9H6F5,0,20.33
COX6C,COX6C_HUMAN,P09669,0,21.64
COPS6,CSN6_HUMAN,Q7L5N1,0,23.77
DDX5,DDX5_HUMAN,P17844,0,24.63
DNAJB11,DJB11_HUMAN,Q9UBS4,0,22.42
EPPK1,EPIPL_HUMAN,P58107,0,22.3
ERCC6L,ERC6L_HUMAN,Q2NKX8,0,20.28
EXOSC6,EXOS6_HUMAN,Q5RKV6,0,20.09
FAM21B,"FA21B_HUMAN (+8)",Q5SNT8,0,21.94
GFPT2,GFPT2_HUMAN,O94808,0,22.5
HSPA1L,HS71L_HUMAN,P34931,0,22.09
KPNA2,IMA1_HUMAN,P52292,0,24.05
MPHOSPH10,MPP10_HUMAN,O00566,0,21.82
NDUFB10,NDUBA_HUMAN,O96000,0,22.84
NOL9,NOL9_HUMAN,Q5SY16,0,23.95
PPP5C,PPP5_HUMAN,P53041,0,24.39
PRIM2,PRI2_HUMAN,Q53FJ8,0,22.61
PWP2,PWP2_HUMAN,Q15269,0,21.35
RAD21,RAD21_HUMAN,O60216,0,20.34
RBM19,RBM19_HUMAN,Q9Y4C8,0,23.61
RPL34,RL34_HUMAN,P49207,0,23.48
RPL36A,RL36A_HUMAN,P83881,0,23.05
POLR2A,RPB1_HUMAN,P24928,0,21.58
RPF2,RPF2_HUMAN,Q5VXN0,0,23.03
SNAP29,SNP29_HUMAN,O95721,0,20.45
SUPT5H,"SPT5H_HUMAN (+1)",O00267,0,21.69
NRD1,"NRDC_HUMAN (+1)",O43847,0,22.67
SNX3,SNX3_HUMAN,O60493,0,22.79
PAPSS2,"PAPS2_HUMAN (+1)",O95340,0,23.18
STAU1,"STAU1_HUMAN (+2)",O95793,0,23.67
CYB5A,"CYB5_HUMAN (+1)",P00167,0,23.79
TYMS,TYSY_HUMAN,P04818,0,22.36
CLIP1,"CLIP1_HUMAN (+2)",P30622,0,19.86
DNAJA1,DNJA1_HUMAN,P31689,0,22.44
CAPZA2,CAZA2_HUMAN,P47755,0,23.34
GSS,GSHB_HUMAN,P48637,0,23.45
SMARCA4,"SMCA4_HUMAN (+4)",P51532,0,22.63
HCFC1,"HCFC1_HUMAN (+2)",P51610,0,21.95
RAP1GDS1,"GDS1_HUMAN (+1)",P52306,0,23.93
ADK,"ADK_HUMAN (+2)",P55263,0,23.22
CSNK2A1,CSK21_HUMAN,P68400,0,22.99
KLC1,"KLC1_HUMAN (+2)",Q07866,0,23.03
SQSTM1,SQSTM_HUMAN,Q13501,0,26.77
IDI1,IDI1_HUMAN,Q13907,0,23.29
CKAP5,"CKAP5_HUMAN (+2)",Q14008,0,22.27
CHD4,"CHD4_HUMAN (+1)",Q14839,0,23.65
PTGR1,PTGR1_HUMAN,Q14914,0,23.5
NOLC1,"NOLC1_HUMAN (+2)",Q14978,0,20.25
RSU1,"RSU1_HUMAN (+1)",Q15404,0,23.29
PDDC1,PDDC1_HUMAN,Q8NB37,0,21.92
RAD50,"RAD50_HUMAN (+2)",Q92878,0,22.45
TNPO1,"TNPO1_HUMAN (+1)",Q92973,0,23
AP2M1,AP2M1_HUMAN,Q96CW1,0,21.61
COPS4,CSN4_HUMAN,Q9BT78,0,22.46
DDX24,DDX24_HUMAN,Q9GZR7,0,23.86
RBM28,RBM28_HUMAN,Q9NW13,0,22.73
TECR,TECR_HUMAN,Q9NZ01,0,25.64
LAMTOR3,"LTOR3_HUMAN (+1)",Q9UHA4,0,24.18
NAGK,"NAGK_HUMAN (+1)",Q9UJ70,0,21.94
COPS3,"CSN3_HUMAN (+1)",Q9UNS2,0,22.7
SSSCA1,SSA27_HUMAN,O60232,0,23.42
ST13P4,ST134_HUMAN,Q8IZP2,0,23.32
SARS,SYSC_HUMAN,P49591,0,24.66
TOMM34,TOM34_HUMAN,Q15785,0,23.44
TTLL12,TTL12_HUMAN,Q9UGU3,0,22.81
UTP11L,UTP11_HUMAN,Q9Y3A2,0,25.43
UTP18,UTP18_HUMAN,Q9Y5J1,0,23.99
UTP20,UTP20_HUMAN,O75691,0,24.33
VRK1,VRK1_HUMAN,Q99986,0,22.49
WDR12,WDR12_HUMAN,Q9GZL7,0,22.17
WDR3,WDR3_HUMAN,Q6PDA5,0,23.2
KRT8,"K2C8_HUMAN (+1)",P05787,17.23,0
