"Protein Name",UniProt,"Gene Symbol",Be2c,IMR-32
"Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine proteinase OMI) (Serine protease 25)",O43464-1,HTRA2,0.412,0.757
"Calumenin (Crocalbin) (IEF SSP 9302)",O43852-1,CALU,0.999,0.699
"Calumenin (Crocalbin) (IEF SSP 9302)",O43852-1,CALU,0.819,0.436
"Phosphoglycerate kinase 1 (EC 2.7.2.3) (Primer recognition protein 2) (PRP 2) (Cell migration-inducing gene 10 protein)",P00558,PGK1,1.422,2.123
"Keratin, type II cytoskeletal 1 (Cytokeratin-1) (CK-1) (Keratin-1) (K1) (67 kDa cytokeratin) (Hair alpha protein)",P04264,KRT1,1.367,2.054
"Keratin, type II cytoskeletal 1 (Cytokeratin-1) (CK-1) (Keratin-1) (K1) (67 kDa cytokeratin) (Hair alpha protein)",P04264,KRT1,1.344,1.177
"ATP synthase subunit beta, mitochondrial (EC 3.6.3.14)",P06576,ATP5B,0.784,0.652
"ATP synthase subunit beta, mitochondrial",P06576,ATP5B,0.675,0.853
"Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Non-neural enolase) (NNE) (Enolase 1) (Phosphopyruvate hydratase) (C-myc promoter-binding protein) (MBP-1) (MPB-1) (Plasminogen-binding protein)",P06733-1,ENO1,1.493,2.51
"Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Non-neural enolase) (NNE) (Enolase 1) (Phosphopyruvate hydratase) (C-myc promoter-binding protein) (MBP-1) (MPB-1) (Plasminogen-binding protein)",P06733-1,ENO1,1.356,1.147
"Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Prolyl 4-hydroxylase subunit beta) (Cellular thyroid hormone- binding protein) (p55)",P07237,P4HB,0.601,0.698
"Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Prolyl 4-hydroxylase subunit beta) (Cellular thyroid hormone- binding protein) (p55)",P07237,P4HB,0.593,0.773
"Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Prolyl 4-hydroxylase subunit beta) (Cellular thyroid hormone- binding protein) (p55)",P07237,P4HB,1.176,1.775
"Profilin-1 (Profilin I)",P07737,PFN1,0.949,0.729
"Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1 / hnRNP C2)",P07910-2,HNRNPC,2.109,2.744
"Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1 / hnRNP C2)",P07910-2,HNRNPC,1.708,2.187
Vimentin,P08670,VIM,1.371,1.008
Vimentin,P08670,VIM,1.758,1.185
Vimentin,P08670,VIM,1.389,2.085
"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)",P09622,DLD,1.433,1.668
"Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (EC 6.-.-.-) (Ubiquitin thioesterase L1) (Neuron cytoplasmic protein 9.5) (PGP 9.5) (PGP9.5)",P09936,UCHL1,1.386,1.519
"Chromogranin A (Parathyroid secretory protein 1) (Chromogranin A (Parathyroid secretory protein 1), isoform CRA_a)",P10645,CHGA,0.934,0.623
"Chromogranin A (Parathyroid secretory protein 1) (Chromogranin A (Parathyroid secretory protein 1), isoform CRA_a)",P10645,CHGA,0.643,0.635
"Chromogranin A (Parathyroid secretory protein 1) (Chromogranin A (Parathyroid secretory protein 1), isoform CRA_a)",P10645,CHGA,0.247,0.898
"Chromogranin A (Parathyroid secretory protein 1) (Chromogranin A (Parathyroid secretory protein 1), isoform CRA_a)",P10645,CHGA,0.476,0.668
"60 kDa heat shock protein, mitochondrial (Heat shock protein 60) (HSP-60) (Hsp60) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein) (HuCHA60)",P10809,HSPD1,0.731,0.702
"60 kDa heat shock protein, mitochondrial (Heat shock protein 60) (HSP-60) (Hsp60) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein) (HuCHA60)",P10809,HSPD1,0.427,0.861
"60 kDa heat shock protein, mitochondrial (Heat shock protein 60) (HSP-60) (Hsp60) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein) (HuCHA60)",P10809,HSPD1,0.838,0.726
"60 kDa heat shock protein, mitochondrial (Heat shock protein 60) (HSP-60) (Hsp60) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein) (HuCHA60)",P10809,HSPD1,0.871,0.686
"60 kDa heat shock protein, mitochondrial (Heat shock protein 60) (HSP-60) (Hsp60) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein) (HuCHA60)",P10809,HSPD1,1.283,1.381
"60 kDa heat shock protein, mitochondrial (Heat shock protein 60) (HSP-60) (Hsp60) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein) (HuCHA60)",P10809,HSPD1,1.573,2.262
"78 kDa glucose-regulated protein (GRP 78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP) (Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78)",P11021,HSPA5,1.355,1.447
"78 kDa glucose-regulated protein (GRP 78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP) (Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78)",P11021,HSPA5,0.351,0.876
"78 kDa glucose-regulated protein (GRP 78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP) (Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78)",P11021,HSPA5,0.261,0.469
"78 kDa glucose-regulated protein (GRP 78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP) (Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78)",P11021,HSPA5,1.133,1.433
