"Gene name",Entry,"log2 fold change"
A1CF,Q9NQ94,0.322918
A2M,P01023,-0.5383
AARS,P49588,1.79661
ABAT,P80404,0.931671
ABCB1,P08183,-0.558339
ABCD3,P28288,-0.499133
ABCE1,P61221,1.305105
ABCF1,Q8NE71,0.3184
ACAA1,P09110,2.937383
ACAA2,P42765,-0.522745
ACAD9,Q9H845,-0.457872
ACADM,P11310,0.078872
ACADSB,P45954,0.577114
ACADVL,P49748,0.20263
ACAT1,P24752,0.103906
ACAT2,Q9BWD1,1.499593
ACIN1,Q9UKV3,-0.848489
ACLY,P53396,1.557108
ACO2,Q99798,0.741395
ACOT1,Q86TX2,0.465346
ACOT2,P49753,0.335448
ACOX1,Q15067,-0.464045
ACP1,P24666,1.938169
ACSF2,Q96CM8,-1.511813
ACSL3,O95573,-0.015653
ACSL4,O60488,-0.099544
ACSL5,Q9ULC5,-0.003183
ACSS3,Q9H6R3,0.35229
ACTB,P60709,0.03711
ACTBL2,Q562R1,0.495827
ACTC1,P68032,0.324488
ACTG2,P63267,-0.010269
ACTL6A,O96019,-1.013005
ACTN1,P12814,0.175451
ACTN4,O43707,-0.674384
ADAR,P55265,2.526083
ADH5,P11766,1.738604
ADK,P55263,NA
ADRM1,Q16186,1.774252
AFG3L2,Q9Y4W6,-0.105776
AFP,P02771,-0.264818
AGK,Q53H12,-0.181808
AGMAT,Q9BSE5,-0.223455
AGPAT5,Q9NUQ2,-0.318115
AHCY,P23526,1.400204
AHNAK,Q09666,-0.589768
AHSA1,O95433,1.616516
AHSG,P02765,0.867281
AIFM1,O95831,-0.925933
AIFM2,Q9BRQ8,-0.213144
AIMP1,Q12904,1.4766
AIMP2,Q13155,1.383386
AK2,P54819,-1.157097
AK3,Q9UIJ7,-0.027209
AK4,P27144,-0.020871
AKR1C1,Q04828,2.346936
AKR1C2,P52895,3.331322
AKR1C3,P42330,3.357992
AKR7A2,O43488,1.002846
ALB,P02768,-0.404713
ALDH18A1,P54886,0.149841
ALDH1A1,P00352,0.624715
ALDH1A2,O94788,-0.623535
ALDH1B1,P30837,-0.053426
ALDH2,P05091,0.309333
ALDH3A2,P51648,-0.067759
ALDH4A1,P30038,0.578891
ALDH5A1,P51649,-0.242163
ALDH6A1,Q02252,1.345314
ALDH7A1,P49419,1.239987
ALDOA,P04075,1.745695
ALDOC,P09972,2.564868
ALYREF,Q86V81,-1.284435
AMBP,P02760,1.144587
ANP32A,P39687,2.52918
ANP32B,Q92688,2.496889
ANP32E,Q9BTT0,4.432648
ANPEP,P15144,0.472789
ANXA11,P50995,1.058258
ANXA4,P09525,1.939093
ANXA5,P08758,2.045894
ANXA6,P08133,1.517099
ANXA7,P20073,1.469023
AP1B1,Q10567,1.085786
AP1G1,O43747,-0.127226
AP2B1,P63010,-0.568177
APEX1,P27695,0.633671
APMAP,Q9HDC9,0.383934
APOA1,P02647,2.530786
APOA2,P02652,2.227786
APOB,P04114,-0.745733
APOE,P02649,1.760889
APOH,P02749,-1.097944
APRT,P07741,3.079844
ARCN1,P48444,1.642942
ARF3,P61204,1.506468
ARF4,P18085,2.367013
ARF5,P84085,1.237751
ARF6,P62330,0.239361
ARL1,P40616,1.0273
ARL6IP1,Q15041,-0.919571
ASGR1,P07306,0.059647
ASNS,P08243,2.481236
ASPH,Q12797,-0.439053
ATAD3A,Q9NVI7,-0.193398
ATAD3B,Q5T9A4,-0.580646
ATIC,P31939,1.895417
ATP13A1,Q9HD20,-0.824615
ATP1A1,P05023,0.278752
ATP1A2,P50993,-0.257953
ATP1B1,P05026,0.419133
ATP1B3,P54709,0.095295
ATP2A1,O14983,-1.597613
ATP2A2,P16615,-0.038005
ATP5A1,P25705,-0.299166
ATP5B,P06576,-0.248606
ATP5C1,P36542,-0.23364
ATP5D,P30049,-0.664149
ATP5E,P56381,-0.870547
ATP5F1,P24539,0.084987
ATP5H,O75947,-0.152251
ATP5I,P56385,-1.134498
ATP5J,P18859,-0.482801
ATP5J2,P56134,-0.115031
ATP5L,O75964,-0.879548
ATP5O,P48047,0.202912
ATP6V1A,P38606,1.342562
ATPIF1,Q9UII2,-0.789263
