protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
tr|C1GSR8,PARBA,RBP+16,C1GSR8,1,57,10,27,37,25,34,10,32,24,43,13,19,24,12,36,39,38,43,10,12
tr|C1H8F1,PARBA,RBP+16,C1H8F1,1,58,6,26,39,27,68,18,36,29,49,13,25,33,19,28,36,29,42,6,13
tr|C1HD08,PARBA,RBP+16,C1HD08,1,18,2,17,15,7,13,9,9,16,25,5,10,11,3,7,21,10,7,5,8
tr|C1HAE7,PARBA,RBP+16,C1HAE7,1,34,5,16,21,13,22,12,25,19,31,13,11,15,10,20,44,19,23,4,4
tr|C1H6P0,PARBA,RBP+16,C1H6P0,1,46,7,19,31,18,35,13,29,28,40,12,16,29,14,20,33,28,28,4,10
tr|C1GTX4,PARBA,RBP+16,C1GTX4,1,25,4,26,21,12,36,15,24,14,32,9,14,17,7,20,22,21,31,3,7
tr|C1GWP0,PARBA,RBP+16,C1GWP0,1,20,2,8,23,6,7,1,10,12,13,3,5,8,5,10,17,11,13,3,6
tr|C1GSD7,PARBA,RBP+16,C1GSD7,1,41,7,23,28,26,23,12,28,19,40,12,23,22,13,23,31,27,31,10,17
tr|C1HA84,PARBA,RBP+16,C1HA84,1,37,5,16,22,8,42,7,23,20,33,3,19,13,13,21,21,28,28,3,15
tr|C1HE96,PARBA,RBP+16,C1HE96,1,27,4,18,20,9,27,4,26,18,34,6,6,18,13,17,21,28,33,2,7
tr|C1GYI4,PARBA,RBP+16,C1GYI4,1,47,5,16,18,16,25,10,18,22,39,7,7,22,18,14,28,31,29,3,7
tr|C1GR57,PARBA,RBP+16,C1GR57,1,68,9,58,87,55,74,26,71,68,103,26,46,59,40,64,88,56,69,7,44
tr|C1GS15,PARBA,RBP+16,C1GS15,1,40,5,25,31,20,30,9,27,19,23,14,19,24,16,37,33,27,31,5,16
tr|C1GVZ8,PARBA,RBP+16,C1GVZ8,1,35,7,21,34,12,33,5,31,34,41,15,15,23,7,20,34,31,30,4,18
tr|C1GS74,PARBA,RBP+16,C1GS74,1,46,5,20,27,14,50,5,25,26,39,13,22,27,17,20,38,34,44,9,18
tr|C1GY21,PARBA,RBP+16,C1GY21,1,33,2,13,14,11,23,6,20,11,18,7,10,10,11,11,17,13,22,4,3
tr|C1H5M2,PARBA,RBP+16,C1H5M2,1,47,8,21,24,22,46,14,29,17,40,7,10,28,21,32,39,31,32,3,13
tr|C1H009,PARBA,RBP+16,C1H009,1,70,6,27,24,22,55,13,38,25,46,17,16,31,15,34,51,32,45,3,12
tr|C1HD77,PARBA,RBP+16,C1HD77,1,53,8,22,34,30,50,8,30,36,31,10,16,24,8,19,28,38,37,6,9
tr|C1GRP9,PARBA,RBP+16,C1GRP9,1,41,6,12,23,14,30,14,24,15,42,7,15,23,10,20,28,26,33,2,15
tr|C1H6W5,PARBA,RBP+16,C1H6W5,1,52,2,21,21,23,29,17,28,18,39,9,19,29,21,26,51,19,20,7,12
tr|C1H3S3,PARBA,RBP+16,C1H3S3,1,25,2,21,19,17,37,7,20,32,27,12,12,23,9,12,22,11,28,3,13
tr|C1GTU0,PARBA,RBP+16,C1GTU0,1,39,5,27,22,9,42,12,24,30,41,14,20,23,8,23,25,31,33,5,16
tr|C1GSM9,PARBA,RBP+16,C1GSM9,1,149,11,119,130,89,153,45,120,101,183,51,78,113,84,113,156,130,168,24,69
tr|C1HAS1,PARBA,RBP+16,C1HAS1,1,24,8,17,34,12,24,7,10,31,32,7,12,21,17,14,16,23,22,5,17
tr|C1GQ96,PARBA,RBP+16,C1GQ96,1,18,2,16,15,9,18,7,18,12,27,5,11,22,7,16,13,17,19,1,5
tr|C1GSP1,PARBA,RBP+16,C1GSP1,1,29,5,18,18,10,36,5,17,25,44,9,18,25,13,20,34,34,33,11,10
tr|C1GY70,PARBA,RBP+16,C1GY70,1,35,6,18,17,18,26,9,26,20,29,11,13,26,10,19,30,28,30,6,8
tr|C1GWE8,PARBA,RBP+16,C1GWE8,1,19,4,15,21,3,10,3,9,10,16,3,6,15,7,23,20,17,12,1,7
tr|C1H6E2,PARBA,RBP+16,C1H6E2,1,13,2,7,10,10,16,7,10,15,19,3,10,6,4,9,16,13,18,1,2
tr|C1HE01,PARBA,RBP+16,C1HE01,1,43,6,40,40,43,32,11,41,40,58,6,23,38,18,24,46,32,38,12,23
tr|C1H2H3,PARBA,RBP+16,C1H2H3,1,36,3,11,20,12,18,7,19,20,31,4,11,20,5,12,24,11,17,2,14
tr|C1H7S6,PARBA,RBP+16,C1H7S6,1,30,3,35,29,20,34,10,40,35,47,12,32,24,13,28,32,24,43,3,13
