protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
gi|6319264|ref|NP_009347.1|,sequence,GSC14,NA,1,56,7,48,38,26,50,20,44,47,58,8,23,40,22,30,51,47,55,12,31
gi|6319267|ref|NP_009350.1|,sequence,GSC14,NA,1,25,4,18,14,17,19,9,19,20,17,3,9,11,5,6,15,8,17,2,8
gi|6319279|ref|NP_009362.1|,sequence,GSC14,NA,1,43,7,32,28,15,34,7,37,37,35,11,26,25,10,24,27,38,48,1,15
gi|6319307|ref|NP_009390.1|,sequence,GSC14,NA,1,41,0,21,21,14,28,14,24,22,40,3,22,17,15,13,29,28,30,2,10
gi|6319326|ref|NP_009409.1|,sequence,GSC14,NA,1,19,1,21,26,11,19,6,22,29,29,3,9,13,9,12,20,19,21,5,12
gi|6319395|ref|NP_009477.1|,sequence,GSC14,NA,1,56,9,78,79,53,57,20,67,93,99,18,46,45,24,46,71,58,84,22,47
gi|6319396|ref|NP_009478.1|,sequence,GSC14,NA,1,59,2,51,49,27,53,6,39,46,46,9,32,25,20,34,44,54,39,1,13
gi|6319435|ref|NP_009517.1|,sequence,GSC14,NA,1,17,4,16,23,10,13,5,21,26,22,4,17,7,9,10,17,11,16,3,6
gi|6319456|ref|NP_009538.1|,sequence,GSC14,NA,1,40,4,34,33,22,34,20,33,34,44,13,30,34,14,26,28,27,38,5,13
gi|6319483|ref|NP_009565.1|,sequence,GSC14,NA,1,22,1,24,19,11,16,6,27,29,17,3,16,20,7,6,13,19,14,6,11
gi|6319509|ref|NP_009591.1|,sequence,GSC14,NA,1,13,1,15,22,13,9,4,14,16,15,1,9,14,9,21,12,17,10,7,6
gi|6319530|ref|NP_009612.1|,sequence,GSC14,NA,1,27,4,41,32,24,37,18,35,48,33,8,23,19,18,15,35,17,26,20,21
gi|6319546|ref|NP_009628.1|,sequence,GSC14,NA,1,11,0,21,12,11,15,3,9,20,16,1,18,14,5,8,16,7,18,2,7
gi|6319564|ref|NP_009645.1|,sequence,GSC14,NA,1,13,4,27,19,17,12,2,24,18,32,6,6,8,9,8,24,12,13,0,4
gi|6319568|ref|NP_009650.1|,sequence,GSC14,NA,1,35,8,42,25,28,31,6,19,21,39,10,30,14,16,15,30,36,25,7,30
gi|6319587|ref|NP_009669.1|,sequence,GSC14,NA,1,10,4,16,19,8,16,3,18,21,19,6,9,11,10,12,12,13,17,2,5
gi|6319594|ref|NP_009676.1|,sequence,GSC14,NA,1,37,7,24,31,17,42,11,30,49,24,8,16,23,12,18,21,28,46,6,8
gi|6319673|ref|NP_009755.1|,sequence,GSC14,NA,1,48,0,25,35,34,41,18,30,40,47,10,37,16,20,10,38,42,38,9,16
gi|6319695|ref|NP_009777.1|,sequence,GSC14,NA,1,102,12,75,75,43,90,30,73,69,109,25,46,55,48,65,65,62,96,8,32
gi|6319726|ref|NP_009808.1|,sequence,GSC14,NA,1,37,5,20,22,9,35,8,25,23,31,8,24,15,14,17,21,22,25,2,7
gi|6319793|ref|NP_009874.1|,sequence,GSC14,NA,1,31,4,53,44,40,33,17,42,60,75,16,51,28,25,19,61,36,33,12,32
gi|6319809|ref|NP_009890.1|,sequence,GSC14,NA,1,31,7,32,33,19,38,15,27,32,59,14,15,22,19,22,33,36,31,2,13
gi|6319849|ref|NP_009930.1|,sequence,GSC14,NA,1,31,3,9,18,9,24,4,12,24,20,3,4,13,6,5,16,22,12,4,8
gi|6319901|ref|NP_009982.1|,sequence,GSC14,NA,1,41,2,32,36,30,28,6,36,43,46,7,29,19,19,16,40,31,31,4,18
gi|6319931|ref|NP_010012.1|,sequence,GSC14,NA,1,56,1,47,75,17,22,4,28,59,31,5,30,66,20,17,51,22,22,8,11
gi|6320009|ref|NP_010089.1|,sequence,GSC14,NA,1,11,1,7,14,8,15,2,11,9,19,6,12,3,5,12,12,12,12,5,5
gi|6320016|ref|NP_010096.1|,sequence,GSC14,NA,1,80,12,61,81,41,83,20,63,71,87,23,38,45,27,55,87,64,80,10,43
gi|6320033|ref|NP_010113.1|,sequence,GSC14,NA,1,38,15,25,22,16,43,9,27,33,22,6,9,12,10,11,17,29,32,2,8
gi|6320077|ref|NP_010157.1|,sequence,GSC14,NA,1,81,4,69,73,28,59,11,51,49,69,23,42,41,20,51,40,39,64,3,18
gi|6320148|ref|NP_010228.1|,sequence,GSC14,NA,1,18,3,19,25,12,30,6,30,30,34,6,19,22,5,10,17,23,39,3,10
gi|6320181|ref|NP_010262.1|,sequence,GSC14,NA,1,32,10,17,33,15,34,12,27,22,32,6,19,14,13,13,24,17,35,6,10
gi|6320205|ref|NP_010285.1|,sequence,GSC14,NA,1,19,3,16,28,11,8,3,8,33,7,4,6,10,1,8,9,10,12,2,3
gi|6320226|ref|NP_010306.1|,sequence,GSC14,NA,1,24,8,24,51,20,26,9,26,50,41,6,23,19,21,17,29,13,28,6,21
gi|6320235|ref|NP_010315.1|,sequence,GSC14,NA,1,24,1,7,13,10,26,6,12,10,13,3,5,10,5,4,10,16,12,4,7
gi|6320255|ref|NP_010335.1|,sequence,GSC14,NA,1,25,2,15,17,11,22,3,15,21,19,1,12,7,7,8,16,12,26,3,6
gi|6320359|ref|NP_010439.1|,sequence,GSC14,NA,1,10,2,10,7,12,23,4,7,12,8,3,7,10,4,5,9,8,15,1,5
gi|6320432|ref|NP_010512.1|,sequence,GSC14,NA,1,22,1,19,12,5,18,5,15,19,21,8,8,13,11,9,10,11,10,2,3
gi|6320560|ref|NP_010640.1|,sequence,GSC14,NA,1,36,4,15,24,11,29,5,22,24,24,9,10,13,8,10,19,28,17,2,9
gi|6320576|ref|NP_010656.1|,sequence,GSC14,NA,1,22,2,16,21,11,19,6,25,26,29,5,18,18,8,10,19,19,24,7,7
gi|6320593|ref|NP_010673.1|,sequence,GSC14,NA,1,68,8,58,55,35,59,16,50,61,69,23,26,40,32,41,44,48,81,8,20
gi|6320662|ref|NP_010742.1|,sequence,GSC14,NA,1,15,1,11,15,11,13,1,11,19,12,3,8,7,4,7,19,10,13,1,6
gi|6320775|ref|NP_010854.1|,sequence,GSC14,NA,1,49,4,52,42,28,55,27,35,60,45,7,38,21,21,18,52,31,33,4,13
gi|6320826|ref|NP_010905.1|,sequence,GSC14,NA,1,46,3,47,47,45,44,27,32,40,65,18,39,32,14,34,47,32,40,13,39
gi|6320839|ref|NP_010918.1|,sequence,GSC14,NA,1,32,5,31,31,25,24,11,26,37,36,10,22,28,19,15,30,13,21,2,11
gi|6320983|ref|NP_011062.1|,sequence,GSC14,NA,1,21,5,33,31,19,31,11,36,38,40,10,13,21,19,16,32,24,24,3,24
gi|6321013|ref|NP_011092.1|,sequence,GSC14,NA,1,54,3,29,49,27,42,9,25,47,38,16,34,29,41,22,36,22,30,1,23
gi|6321184|ref|NP_011261.1|,sequence,GSC14,NA,1,34,4,34,32,24,41,5,40,35,35,13,19,29,22,19,25,30,25,4,16
gi|6321203|ref|NP_011280.1|,sequence,GSC14,NA,1,68,6,55,38,30,76,17,53,38,69,17,33,40,33,28,48,50,79,6,18
gi|6321236|ref|NP_011313.1|,sequence,GSC14,NA,1,33,4,32,30,25,30,10,32,37,48,6,21,39,18,16,37,28,24,8,22
gi|6321412|ref|NP_011489.1|,sequence,GSC14,NA,1,64,7,40,42,32,66,19,34,44,62,11,26,31,27,28,43,46,61,5,19
gi|6321480|ref|NP_011557.1|,sequence,GSC14,NA,1,32,2,19,32,12,16,8,20,35,30,8,11,10,8,11,24,18,23,1,13
gi|6321498|ref|NP_011575.1|,sequence,GSC14,NA,1,103,22,71,94,55,105,24,85,71,134,31,77,71,55,52,110,71,79,17,31
gi|6321531|ref|NP_011608.1|,sequence,GSC14,NA,1,71,13,69,92,43,59,24,74,113,96,16,49,52,33,42,67,62,69,25,35
gi|6321563|ref|NP_011640.1|,sequence,GSC14,NA,1,53,9,49,36,25,34,20,38,38,45,14,15,29,16,28,36,27,27,11,22
gi|6321718|ref|NP_011795.1|,sequence,GSC14,NA,1,55,5,20,17,9,24,3,16,18,17,2,22,11,17,6,57,30,36,6,15
gi|6321721|ref|NP_011798.1|,sequence,GSC14,NA,1,31,4,24,15,18,21,2,11,16,18,5,16,6,13,4,36,27,25,9,12
gi|6321772|ref|NP_011848.1|,sequence,GSC14,NA,1,3,0,3,12,1,4,2,12,14,6,2,6,5,11,6,7,10,14,1,2
gi|6321796|ref|NP_011872.1|,sequence,GSC14,NA,1,24,1,11,11,11,20,6,11,19,23,2,15,9,13,5,10,16,12,6,8
gi|6321798|ref|NP_011874.1|,sequence,GSC14,NA,1,12,0,2,9,9,8,6,4,23,7,1,3,6,4,8,6,6,17,1,4
gi|6321807|ref|NP_011883.1|,sequence,GSC14,NA,1,41,9,37,44,22,37,10,28,43,54,11,12,22,24,27,35,36,35,4,23
gi|6321814|ref|NP_011890.1|,sequence,GSC14,NA,1,27,8,17,20,10,28,4,24,13,40,7,17,29,14,17,24,22,23,2,11
gi|6321833|ref|NP_011909.1|,sequence,GSC14,NA,1,16,3,22,11,11,17,3,10,22,25,5,11,11,9,7,15,16,23,3,6
