protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|P14306,YEAST,PW08,NA,1,18,2,13,12,14,13,6,7,19,14,5,11,15,11,3,19,15,11,3,8
sp|P31539,YEAST,PW08,NA,1,77,6,68,82,26,48,15,69,70,97,15,37,30,52,54,51,40,49,0,22
sp|P22943,YEAST,PW08,NA,1,13,0,11,11,2,13,2,1,15,3,2,3,3,6,3,8,2,7,0,4
sp|P38427,YEAST,PW08,NA,1,69,7,68,55,43,44,27,79,65,94,21,70,58,61,46,121,58,68,13,31
sp|P32449,YEAST,PW08,NA,1,37,5,20,22,9,35,8,25,23,31,8,24,15,14,17,21,22,25,2,7
sp|P00560,YEAST,PW08,NA,1,43,1,26,29,19,37,8,23,42,41,4,14,17,8,13,26,18,38,2,7
sp|P0CX31,YEAST,PW08,NA,1,13,0,6,8,7,9,1,3,19,9,1,6,3,5,14,7,5,15,0,4
sp|P0CX32,YEAST,PW08,NA,1,13,0,6,8,7,9,1,3,19,9,1,6,3,5,14,7,5,15,0,4
sp|Q00764,YEAST,PW08,NA,1,23,4,24,35,24,31,15,30,32,46,8,30,19,18,15,39,26,45,10,21
sp|P33893,YEAST,PW08,NA,1,29,3,32,33,22,24,16,41,40,65,12,30,25,29,25,41,28,22,3,21
sp|P02829,YEAST,PW08,NA,1,43,0,47,95,33,24,4,49,77,66,13,26,27,22,27,49,40,42,5,20
sp|P38715,YEAST,PW08,NA,1,17,6,19,22,16,22,11,24,29,36,4,13,15,12,10,18,16,20,5,12
sp|P41338,YEAST,PW08,NA,1,53,6,19,22,12,38,6,25,30,29,5,19,15,16,11,27,16,39,3,7
sp|P06168,YEAST,PW08,NA,1,33,3,20,26,16,34,5,18,28,34,8,18,16,12,26,22,26,24,7,19
sp|Q00955,YEAST,PW08,NA,1,157,12,123,173,92,149,53,161,137,199,50,102,105,80,122,156,113,157,24,68
sp|P19414,YEAST,PW08,NA,1,67,7,57,37,28,70,17,52,64,61,16,42,42,22,33,37,47,46,10,23
sp|P41697,YEAST,PW08,NA,1,43,5,52,62,24,32,14,40,77,75,21,51,34,36,38,72,50,45,4,13
sp|P60010,YEAST,PW08,NA,1,26,4,20,27,14,29,10,30,18,25,16,9,19,14,18,31,21,26,4,14
sp|P80210,YEAST,PW08,NA,1,19,3,24,31,17,45,9,23,37,45,5,19,17,10,20,19,26,41,5,18
sp|P10127,YEAST,PW08,NA,1,49,6,18,26,11,27,12,28,28,33,10,24,17,10,7,16,24,23,0,13
sp|P00330,YEAST,PW08,NA,1,35,8,16,20,8,44,10,21,24,24,7,11,13,9,8,21,14,36,5,14
sp|P54114,YEAST,PW08,NA,1,43,6,32,30,29,39,4,35,46,37,8,22,24,17,10,33,33,37,5,16
sp|P14540,YEAST,PW08,NA,1,33,5,18,31,15,30,12,23,27,24,8,18,16,9,10,20,20,22,3,15
sp|P38013,YEAST,PW08,NA,1,16,3,11,10,7,11,3,11,14,8,3,7,8,5,1,16,12,20,4,6
sp|P06208,YEAST,PW08,NA,1,56,9,37,44,23,38,12,35,37,41,9,34,27,22,33,55,30,50,7,20
sp|P53090,YEAST,PW08,NA,1,33,4,32,30,25,30,10,32,37,48,6,21,39,18,16,37,28,24,8,22
sp|P38707,YEAST,PW08,NA,1,41,9,37,44,22,37,10,28,43,54,11,12,22,24,27,35,36,35,4,23
sp|P23542,YEAST,PW08,NA,1,42,4,20,19,19,28,13,24,29,38,8,20,18,19,13,29,27,28,6,14
sp|P04802,YEAST,PW08,NA,1,43,3,33,57,28,32,12,28,48,56,11,16,26,23,36,28,25,33,1,18
sp|P36000,YEAST,PW08,NA,1,41,14,52,47,20,24,11,54,50,99,24,43,27,31,26,51,39,50,4,19
sp|P38891,YEAST,PW08,NA,1,30,4,15,23,14,34,6,21,28,40,7,19,26,15,17,17,32,22,8,15
sp|P07259,YEAST,PW08,NA,1,175,23,126,150,84,132,44,145,127,204,47,109,104,60,103,168,128,191,14,80
sp|P00890,YEAST,PW08,NA,1,41,1,19,39,18,35,13,25,39,57,5,13,23,15,21,36,26,27,6,20
sp|P05694,YEAST,PW08,NA,1,65,3,48,53,38,42,12,46,61,69,9,34,38,30,33,48,43,61,9,25
sp|Q03048,YEAST,PW08,NA,1,11,1,12,10,8,9,1,5,11,11,2,6,4,1,7,16,8,12,1,7
sp|P42943,YEAST,PW08,NA,1,54,9,27,44,20,42,7,43,40,51,15,29,16,23,20,34,29,38,3,6
sp|P00445,YEAST,PW08,NA,1,13,2,9,10,6,22,6,6,10,6,2,8,8,3,4,11,10,17,0,1
sp|P14832,YEAST,PW08,NA,1,10,2,10,7,12,23,4,7,12,8,3,7,10,4,5,9,8,15,1,5
sp|P32582,YEAST,PW08,NA,1,33,1,39,30,17,35,7,39,51,51,6,31,20,12,15,38,28,34,4,16
sp|P31373,YEAST,PW08,NA,1,41,0,21,21,14,28,14,24,22,40,3,22,17,15,13,29,28,30,2,10
sp|P06115,YEAST,PW08,NA,1,26,9,34,35,34,34,16,23,38,37,6,34,36,33,23,35,32,38,7,32
sp|P11484,YEAST,PW08,NA,1,62,3,38,50,26,42,5,35,47,51,10,22,20,24,29,43,45,51,1,9
sp|P54115,YEAST,PW08,NA,1,44,7,27,36,21,45,4,35,37,38,11,27,21,11,17,24,37,38,4,16
sp|P28272,YEAST,PW08,NA,1,20,3,13,24,20,26,3,23,25,29,8,22,17,7,9,19,17,17,0,12
