protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sum,GCA_013340765.1,NA,NA,1607,47877,3128,23737,32145,14609,42733,7562,24386,14478,47690,13227,10535,23929,8525,38080,33505,19728,41871,5794,16508
sum,GCA_009903795.1,NA,NA,1409,25351,2324,16933,27355,17107,25579,5036,32865,32432,37463,9191,16656,14964,8330,15524,25364,16902,27715,3583,16790
sum,GCA_011605775.1,NA,NA,1846,40353,6036,22103,35491,17730,35064,7801,33257,31494,53148,9719,13880,21434,11467,29276,29270,23884,39308,5329,17014
sum,GCA_013388925.1,NA,NA,1436,25558,4166,19670,26457,15038,27390,6490,29864,26137,37541,10262,12240,15528,7888,22079,24648,17249,27898,3723,12177
sum,GCA_016206275.1,NA,NA,1612,32537,3501,19527,25923,14897,29916,7360,25273,24623,39476,9609,12294,17653,11449,23849,26619,20780,31334,4232,11775
sum,GCA_016184315.1,NA,NA,2166,48027,5101,27681,36757,22031,43558,10340,36494,34869,57412,13916,17697,25603,16630,34144,39576,31831,46031,6335,17495
sum,GCA_016190055.1,NA,NA,2224,49279,5755,30994,39066,23136,45753,10771,42595,36694,59564,14462,23176,27432,19850,34313,43422,38985,48154,6982,20219
sum,GCA_016871995.1,NA,NA,1625,37577,3948,22095,28470,18722,33819,7501,34550,31924,43387,11148,17326,19580,13496,24013,30824,23842,34943,4698,14327
sum,GCA_016180375.1,NA,NA,1754,33903,3523,20003,26337,16659,30540,6733,30244,27763,39456,9960,14046,17736,11829,22435,27297,21176,31482,4243,12407
sum,GCA_002713205.1,NA,NA,971,15005,2589,14748,17398,12945,17660,4905,29944,22940,26415,6312,17596,10265,8267,10433,21465,15077,16347,2579,9183
sum,GCA_013306035.1,NA,NA,942,14086,2396,14786,16845,10842,16628,4307,26693,20247,23942,5989,15687,9295,7059,10096,21108,13743,15630,2173,8361
sum,GCA_016193005.1,NA,NA,1970,40104,4032,22051,30804,19418,37632,8210,29255,26475,48297,11654,14373,20795,12927,32039,34355,25338,39478,5221,14365
sum,GCA_005877225.1,NA,NA,2112,48510,4385,24638,35575,22359,46268,9183,31132,27872,57272,12328,15944,25521,14561,37889,39925,30417,45977,6309,16719
sum,GCA_016200045.1,NA,NA,1642,41191,3780,21408,27359,18281,38796,7277,22450,22409,44475,10510,12513,21024,11792,29246,33886,25460,39176,5057,13350
sum,GCA_016200025.1,NA,NA,1195,30196,2562,14732,19086,12170,26973,4982,14374,15813,31301,7385,7819,14003,8004,20204,22567,16534,27392,3344,8893
sum,GCA_003695185.1,NA,NA,1440,23574,3184,22110,24482,12556,20618,5918,34850,26959,32273,9006,17730,12186,6455,16708,19629,14488,21318,2945,13734
