protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|Q6B345,RAT,XCJ+16,S10AB,1,5,3,6,7,7,6,2,5,8,12,4,5,2,6,3,8,6,2,0,1
tr|Q6AYB6,RAT,XCJ+16,Q6AYB6,1,27,2,19,40,15,14,3,12,28,30,5,8,18,24,11,26,15,19,3,7
sp|Q641X3,RAT,XCJ+16,HEXA,1,34,10,23,30,34,32,11,22,23,53,10,21,29,20,29,39,33,34,16,25
sp|P82808,RAT,XCJ+16,GFPT1,1,40,14,45,47,24,46,23,47,44,64,21,20,20,28,41,38,41,54,3,21
sp|Q5XI72,RAT,XCJ+16,IF4H,1,14,1,26,15,14,36,1,5,11,14,4,6,17,8,30,18,9,11,1,7
sp|Q5XIF6,RAT,XCJ+16,TBA4A,1,36,13,29,35,20,34,13,27,19,31,11,16,22,16,21,23,27,32,4,19
sp|P49432,RAT,XCJ+16,ODPB,1,44,6,15,25,14,30,7,28,19,24,13,12,20,13,18,17,12,30,4,8
tr|Q6AY18,RAT,XCJ+16,Q6AY18,1,8,2,10,13,11,18,5,12,12,26,7,9,5,6,9,11,14,11,3,6
sp|Q5XIP9,RAT,XCJ+16,TMM43,1,30,2,19,25,22,27,11,18,20,46,9,14,19,7,23,33,24,31,7,13
sp|Q5RJR8,RAT,XCJ+16,LRC59,1,22,8,18,23,3,13,6,2,37,49,2,15,14,23,22,15,10,20,3,2
sp|Q5SGE0,RAT,XCJ+16,LPPRC,1,121,22,80,106,54,63,26,75,102,182,33,51,55,58,72,96,58,86,9,43
sp|P13803,RAT,XCJ+16,ETFA,1,46,6,17,16,11,27,5,19,26,31,4,8,14,12,11,25,17,31,1,6
tr|Q6AYS3,RAT,XCJ+16,Q6AYS3,1,24,12,29,21,16,34,8,11,20,59,10,32,29,18,16,40,14,26,10,27
tr|Q5M918,RAT,XCJ+16,Q5M918,1,29,14,32,19,18,38,9,21,28,61,12,31,38,18,20,38,33,26,8,26
sp|Q6AYZ1,RAT,XCJ+16,TBA1C,1,38,12,29,34,20,35,13,27,18,32,10,16,20,16,22,21,31,32,4,19
tr|Q66H41,RAT,XCJ+16,Q66H41,1,21,5,29,41,20,13,6,22,28,36,14,14,16,13,22,25,27,18,6,11
sp|Q641Y0,RAT,XCJ+16,OST48,1,30,4,29,20,30,33,10,21,19,47,6,17,23,13,21,37,21,39,3,18
tr|Q6AYR1,RAT,XCJ+16,Q6AYR1,1,33,1,20,16,10,32,2,17,12,23,9,13,49,53,16,39,23,11,0,19
sp|Q5XI07,RAT,XCJ+16,LPP,1,43,28,27,30,21,51,17,23,32,31,14,16,86,31,28,53,38,37,2,24
sp|Q66H71,RAT,XCJ+16,CPPED,1,25,6,26,18,17,24,10,10,16,31,4,10,9,21,17,15,15,23,7,8
sp|Q5FVQ4,RAT,XCJ+16,MLEC,1,20,3,16,26,12,25,7,12,17,33,5,9,18,9,16,13,10,27,1,12
sp|Q4V7C6,RAT,XCJ+16,GUAA,1,38,14,36,54,29,51,16,55,49,58,14,27,39,21,34,42,42,58,3,13
tr|Q4QQV4,RAT,XCJ+16,Q4QQV4,1,31,8,33,47,16,39,5,29,42,60,11,9,17,26,33,24,18,41,2,17
sp|Q4KM74,RAT,XCJ+16,SC22B,1,21,3,10,14,11,7,3,11,14,25,7,7,5,15,13,15,9,13,2,10
tr|Q4KLL7,RAT,XCJ+16,Q4KLL7,1,37,4,28,36,15,29,6,23,42,42,9,17,23,21,21,32,19,25,6,9
sp|Q4V8C3,RAT,XCJ+16,EMAL1,1,40,17,51,40,31,71,28,38,44,62,10,34,33,28,41,84,59,64,16,23
