protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|P31000,RAT,NA,NA,1,31,1,29,55,10,14,6,15,22,56,11,24,8,33,43,46,24,24,1,13
sp|P21263,RAT,NA,NA,1,140,15,91,343,22,148,23,42,78,208,16,44,121,147,99,163,67,91,23,12
tr|C0JPT7,RAT,NA,NA,1,180,48,148,159,76,296,66,121,160,134,30,80,207,94,91,189,183,275,17,85
tr|Q6P6U3,RAT,NA,NA,1,37,1,25,52,6,21,10,10,27,48,10,13,10,33,48,42,22,17,4,6
tr|Q6IRK8,RAT,NA,NA,1,246,14,177,281,85,94,71,89,196,268,49,97,28,191,146,146,88,105,40,41
sp|P38650,RAT,NA,NA,1,310,48,255,383,180,214,90,244,296,518,122,189,186,257,290,271,236,350,77,128
sp|Q3KRE8,RAT,NA,NA,1,27,8,26,36,23,35,10,19,15,32,19,23,20,22,22,29,30,29,4,16
sp|P06761,RAT,NA,NA,1,44,3,47,64,25,51,6,42,61,50,10,28,28,24,28,26,50,53,2,12
sp|P02454,RAT,NA,NA,1,130,18,61,74,26,389,9,26,57,50,15,32,275,49,67,68,44,43,6,14
tr|Q6IMZ3,RAT,NA,NA,1,62,7,56,55,25,43,11,48,55,65,21,18,10,29,39,42,35,27,2,23
tr|Q5EB49,RAT,NA,NA,1,47,6,27,29,16,36,6,28,36,37,9,21,15,13,17,26,18,32,3,12
sp|P46462,RAT,NA,NA,1,65,12,62,68,31,63,10,59,47,69,20,33,43,26,58,39,32,53,3,13
sp|P13383,RAT,NA,NA,1,66,1,61,111,27,76,2,17,88,30,7,20,37,14,28,40,38,42,2,6
sp|P12785,RAT,NA,NA,1,216,46,115,149,85,202,71,102,102,316,46,78,135,123,120,199,127,188,30,55
sp|O35814,RAT,NA,NA,1,54,11,38,55,11,20,9,19,62,53,17,29,29,30,28,17,18,14,1,28
sp|P48721,RAT,NA,NA,1,68,5,42,53,20,55,8,38,53,47,18,27,23,35,36,41,44,53,2,11
sp|Q6P502,RAT,NA,NA,1,39,10,33,42,5,35,9,48,35,46,22,22,18,25,36,29,37,41,4,9
sp|P15999,RAT,NA,NA,1,53,2,30,30,15,52,6,39,31,54,12,16,19,25,38,42,27,46,0,16
sp|Q63610,RAT,NA,NA,1,28,4,16,52,1,4,2,12,23,27,7,4,0,16,23,7,10,9,0,3
sp|P29457,RAT,NA,NA,1,36,2,23,28,15,25,14,10,35,55,13,12,14,12,21,34,24,29,5,10
sp|Q9EPH8,RAT,NA,NA,1,66,4,25,40,27,40,10,23,41,39,28,27,47,41,43,40,30,44,2,19
sp|Q5U300,RAT,NA,NA,1,77,21,64,66,50,68,22,38,53,106,25,45,59,61,49,76,52,84,10,32
sp|O88600,RAT,NA,NA,1,64,14,51,87,31,39,10,32,80,63,23,34,45,40,30,61,44,65,4,23
sp|Q4G061,RAT,NA,NA,1,59,7,62,75,38,46,15,40,55,48,16,24,45,40,44,54,36,52,21,20
sp|Q5XIM9,RAT,NA,NA,1,66,6,33,39,13,42,16,40,38,56,16,14,13,12,25,33,27,39,2,5
sp|Q5M7W5,RAT,NA,NA,1,100,9,61,98,14,64,10,29,78,76,20,26,115,37,20,116,109,69,2,4
sp|P02401,RAT,NA,NA,1,20,0,10,11,2,12,0,6,10,8,2,5,5,1,2,11,0,8,0,2
tr|B2GUZ3,RAT,NA,NA,1,86,16,58,53,30,83,21,59,57,109,20,33,56,43,54,57,47,77,6,12
