protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
tr|F1M4Q3,RAT,LRS+14,NA,1,370,180,264,310,122,448,123,337,250,437,81,266,388,235,267,477,380,470,74,156
tr|F1LM84,RAT,LRS+14,NA,1,75,49,76,71,52,113,43,56,32,84,16,48,88,58,64,91,85,83,16,46
sp|Q7TP54,RAT,LRS+14,NA,1,94,24,69,112,50,79,30,40,78,159,17,45,57,64,61,138,80,73,6,34
tr|Q9JI04,RAT,LRS+14,NA,1,94,13,71,102,43,421,24,42,86,124,19,26,284,79,76,78,67,69,9,10
tr|D3ZC07,RAT,LRS+14,NA,1,68,27,40,71,46,60,16,30,50,114,19,18,69,51,67,75,41,66,12,18
sp|P04961,RAT,LRS+14,NA,1,19,6,18,23,8,15,3,15,16,29,10,12,8,8,8,24,11,20,1,7
sp|P48500,RAT,LRS+14,NA,1,26,9,11,18,8,25,4,16,21,17,3,9,10,10,8,9,14,22,5,4
sp|P24368,RAT,LRS+14,NA,1,10,1,15,10,17,25,3,10,26,13,5,8,9,3,8,9,13,25,2,4
sp|P38062,RAT,LRS+14,NA,1,34,15,39,41,12,43,11,26,45,30,9,17,22,13,25,21,28,28,4,15
sp|P50137,RAT,LRS+14,NA,1,72,13,36,35,25,49,16,42,45,44,15,17,30,25,26,36,32,44,4,17
sp|P35053,RAT,LRS+14,NA,1,58,18,35,33,16,42,12,17,23,65,12,18,28,26,44,38,24,26,9,14
sp|O35276,RAT,LRS+14,NA,1,45,24,61,61,38,76,22,54,44,74,19,36,58,38,44,78,54,41,21,37
sp|Q99J86,RAT,LRS+14,NA,1,103,89,60,70,58,100,46,52,66,106,28,81,78,53,61,128,86,83,32,52
sp|P31232,RAT,LRS+14,NA,1,11,1,10,15,7,20,3,6,17,13,11,7,10,14,11,12,7,17,3,6
tr|Q9WU10,RAT,LRS+14,NA,1,287,60,338,311,176,280,130,270,201,333,60,219,262,155,194,399,310,421,21,162
tr|M0R5R0,RAT,LRS+14,NA,1,41,36,41,43,28,50,6,38,45,61,9,44,29,24,27,50,30,44,6,23
sp|P38650,RAT,LRS+14,NA,1,310,48,255,383,180,214,90,244,296,518,122,189,186,257,290,271,236,350,77,128
tr|D4ACB8,RAT,LRS+14,NA,1,53,10,32,42,15,41,10,32,43,50,18,24,18,15,17,31,30,50,3,14
tr|D4A8D5,RAT,LRS+14,NA,1,181,42,156,161,85,272,63,143,176,136,33,86,201,72,73,178,163,255,16,86
tr|A0A0G2K6P4,RAT,LRS+14,NA,1,18,3,19,35,9,11,3,4,43,4,6,5,14,2,8,11,5,5,2,7
tr|D3ZPR0,RAT,LRS+14,NA,1,75,14,43,71,55,33,23,70,56,127,20,54,46,46,34,58,53,55,8,30
tr|D4AC70,RAT,LRS+14,NA,1,28,2,10,28,18,190,12,28,47,54,24,7,169,36,13,13,7,35,1,22
tr|G3V9K0,RAT,LRS+14,NA,1,53,10,47,70,31,41,17,25,65,72,20,29,34,31,43,51,31,42,11,25
tr|D3ZAF5,RAT,LRS+14,NA,1,41,12,39,57,23,65,19,73,62,82,19,41,31,32,34,41,57,55,3,24
tr|D3ZUM4,RAT,LRS+14,NA,1,37,8,34,26,38,51,12,33,29,75,13,36,45,22,31,33,40,37,13,34
sp|P51868,RAT,LRS+14,NA,1,19,1,61,47,25,17,5,20,30,43,6,18,18,12,12,18,11,31,5,14
tr|G3V722,RAT,LRS+14,NA,1,23,7,23,11,17,33,9,19,18,42,11,18,35,17,28,28,15,25,3,17
sp|Q9ES53,RAT,LRS+14,NA,1,15,5,17,24,18,25,5,17,22,22,11,17,21,10,17,21,10,20,1,9
sp|O35244,RAT,LRS+14,NA,1,18,1,17,14,13,15,4,12,18,25,4,7,20,3,9,10,14,13,3,4
sp|Q63692,RAT,LRS+14,NA,1,24,9,26,56,12,17,9,11,41,28,14,8,12,21,24,17,10,24,7,9
sp|P30120,RAT,LRS+14,NA,1,22,12,6,9,11,13,6,10,11,23,7,7,12,8,8,21,13,8,3,7
sp|Q63321,RAT,LRS+14,NA,1,48,10,44,47,39,50,24,29,39,82,12,31,33,32,44,34,33,49,13,35
sp|P38659,RAT,LRS+14,NA,1,51,6,59,56,31,32,11,26,66,50,10,20,37,20,20,33,30,52,7,26
