Protein.name,Average.T.N.ratio,Accession.No.
"Alpha1 acid glycoprotein",2.5,P02763
"Alpha 1 acid glycoprotein type 2",Inf,P19652
Alpha-tubulin,2,Q9UQM3
Beta-tubulin,2.1,Q9H4B7
"Apurinic endonuclease",2,P27695
Calumenin,2.7,O43852
Chaperonin1,2.3,P10809
"Clathrin heavy polypeptide",1.7,Q00610
"Clathrin light polypeptide A",3.2,P09496
"Complement factor H",2.1,P08603
"Cysteine rich intestinal protein 1",1.7,P50238
"Cytokeratin 18",2.8,P05783
"Enolase 1",2.1,P06733
Ezrin,2.3,P15311
"F-box protein 40",2.5,Q9UH90
"Fibrinogen gamma",2.2,P02679
"Fk506 Binding Protein 1A",2.2,P62942
"Galectin 1",2.1,P09382
"Glutathione peroxidase 1",1.8,P07203
"Glycyl tRNA synthetase",Inf,P41250
"Glyceraldehyde-3-phosphate dehydrogenase",2,P04406
"Golgi complex-associated protein 1",2.2,Q9H3P7
"Heat shock 70kD protein 9B",2.8,P38646
"Heat shock protein 27",2.1,P04792
"Heparan sulfate proteoglycan 2",2.5,P34741
"Heterogeneous nuclear ribonucleoprotein H2",Inf,P55795
"High density lipoprotein binding protein",2.1,Q6P3T2
HLA-C,2.1,Q95604
"Hypothetical protein FLJ38663",2.2,Q9H3J6
"Inorganic pyrophosphatase",2.5,Q15181
"Membrane-bound C2 domain-containing protein",2,Q9BSJ8
"Mitogen inducible gene 2 protein",1.9,Q96AC1
6-Phosphogluconolactonase,2,O95336
"Plastin 2",2.4,P13796
"Plectin 1",2,Q15149
"Proteasome subunit p58",2.1,O43242
"Protein tyrosine phosphatase, receptor type c",Inf,Q9P2E9
"Protein tyrosine phosphatase, receptor type, a",Inf,P18433
"Pyruvate kinase 3",1.9,P14618
"RAB18, member RAS oncogene family",2.7,Q9NP72
RAB22A,1.9,Q9UL26
RACK1,2,P63244
Radixin,1.8,P35241
"RAN, member RAS oncogene family",2,P62826
"Reticulocalbin 1",3.4,Q15293
"Rhodanese; thiosulfate sulfurtransferase",1.9,Q16762
"Ribonuclease RNase A family 3",Inf,P12724
"Ribosomal protein L13",3.4,P26373
"Ribosomal protein L27a",2.1,P46776
"Ribosomal protein L4",2,P36578
"Ribosomal protein S18",2.8,P62269
"Ribosomal protein S29",2,P62273
