"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM1617.down","PS_LMM1617.up","PS_LMM16.diff"
KPF+07,"T/N gene expression",transcriptome,39,55,-0.1429,-0.1266,0.0163,-0.0108,0.0058,0.0166,-1.6469,-1.6651,-0.0182,0.2655,0.3007,0.0352,378,481,103,5.4062,3.8776,-1.5287,5.4359,4.8545,-0.5814
WTK+08,"T / N",,57,70,-0.1276,-0.127,6e-04,-0.016,-0.007,0.0089,-1.6404,-1.6494,-0.009,0.2854,0.2865,0.0012,417,353.5,-63.5,3.1,3.5484,0.4484,3.8214,4.1884,0.367
XZC+10_I,"stage I / normal",,48,166,-0.1485,-0.1513,-0.0028,0.033,0.0414,0.0084,-1.6948,-1.7243,-0.0295,0.324,0.372,0.048,420.5,320.5,-100,4.2857,3.041,-1.2447,4.1163,3.6324,-0.4839
XZC+10_II,"stage II / normal",,77,321,-0.1525,-0.1414,0.0111,0.0182,0.0291,0.0109,-1.7193,-1.689,0.0303,0.3373,0.3499,0.0126,325,329,4,4.1231,2.8984,-1.2247,4.1594,3.7675,-0.3919
ZYS+10,"microdissected T / N",,60,57,-0.151,-0.1328,0.0181,0.0096,0.0327,0.0231,-1.6854,-1.6865,-0.0011,0.3151,0.3656,0.0505,305,298,-7,3.96,3.4667,-0.4933,4.2593,3.9216,-0.3377
BPV+11_stage.I,"stage I / normal",,109,72,-0.1354,-0.1325,0.0029,0.013,0.0025,-0.0105,-1.649,-1.6756,-0.0266,0.3077,0.3195,0.0118,406,448,42,4.0792,3.4853,-0.5939,4.6019,3.7083,-0.8935
BPV+11_stage.II,"stage II / normal",,164,140,-0.1454,-0.1263,0.0191,0.0119,0.0143,0.0024,-1.6872,-1.6317,0.0555,0.3559,0.2959,-0.06,412.5,505.5,93,3.2945,3.9154,0.6209,4,4.4604,0.4604
BPV+11_stage.III,"stage III / normal",,63,131,-0.1452,-0.1227,0.0225,-0.0022,-4e-04,0.0018,-1.6673,-1.6416,0.0257,0.3085,0.3036,-0.0049,470,434,-36,3.9298,4.1092,0.1794,4.5,4.2344,-0.2656
BPV+11_stage.IV,"stage IV / normal",,42,26,-0.1118,-0.1199,-0.0081,0.0385,0.0385,1e-04,-1.6143,-1.6323,-0.018,0.2803,0.3067,0.0264,466.5,439,-27.5,4.575,3,-1.575,4.619,3.7308,-0.8883
JCF+11,"T / N",,72,45,-0.159,-0.1431,0.016,0.0374,0.0413,0.0039,-1.7058,-1.6901,0.0156,0.3527,0.33,-0.0227,375,339,-36,3.5152,4.95,1.4348,3.9,4.5227,0.6227
