"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff"
GTR+08,"PCa / BPH",,35,29,-0.1163,-0.1479,-0.0316,0.0299,0.0283,-0.0015,-1.6457,-1.731,-0.0852,0.2967,0.3851,0.0885,432,282,-150,5.1212,2.625,-2.4962,4.8235,3.8846,-0.9389
KPB+10_localized,"PCa / adjacent benign",,68,69,-0.1163,-0.1338,-0.0175,0.023,0.0338,0.0109,-1.6079,-1.6511,-0.0432,0.2855,0.2999,0.0144,425.5,301,-124.5,4.2419,3.8333,-0.4086,4.3881,4.4783,0.0902
HZH+12_Protein,"PCa / adjacent benign Protein",,22,37,-0.1369,-0.1517,-0.0147,-0.018,0.0178,0.0358,-1.6916,-1.6841,0.0075,0.3183,0.298,-0.0203,377,427,50,3.1053,2.4839,-0.6214,3.7619,3.0588,-0.7031
JHZ+13,"PCa / adjacent benign",,23,36,-0.1246,-0.147,-0.0225,-0.0186,0.0078,0.0263,-1.6459,-1.6788,-0.0329,0.3088,0.2907,-0.0181,386,458,72,3.25,2.2812,-0.9688,3.9545,2.8235,-1.131
LCS+14,"glycoproteins PCa / normal",,82,138,-0.1259,-0.1339,-0.0081,-0.0352,-0.0219,0.0134,-1.6331,-1.6307,0.0024,0.2814,0.2778,-0.0036,684,578.5,-105.5,5.625,4.4331,-1.1919,5.3902,4.8768,-0.5134
CZL+16,"protein expression bioinformatics",,74,157,-0.1018,-0.1429,-0.0411,0.0314,0.0199,-0.0115,-1.6007,-1.7044,-0.1037,0.2851,0.347,0.062,449.5,394,-55.5,5.2754,3.7703,-1.5051,4.9565,4.109,-0.8475
IWT+16,"FFPE tumor / adjacent benign",,223,426,-0.1152,-0.1422,-0.0269,0.014,0.0302,0.0162,-1.6163,-1.7158,-0.0996,0.2614,0.333,0.0716,340,562,222,3.4125,2.2235,-1.189,4.1667,3.6489,-0.5177
GLZ+18_acinar,"acinar prostate cancer",,87,114,-0.1167,-0.1499,-0.0332,0.0049,0.022,0.0171,-1.5778,-1.7075,-0.1297,0.294,0.3617,0.0677,482,423,-59,6.3373,2.486,-3.8514,5.3333,3.7632,-1.5702
GLZ+18_ductal,"ductal prostate cancer",,347,303,-0.1167,-0.1496,-0.0328,0.0136,0.0161,0.0025,-1.6182,-1.7071,-0.0889,0.281,0.3365,0.0555,507,444,-63,4.4551,2.4655,-1.9897,4.8617,3.7715,-1.0901
LAJ+18_PC,"PC / BPH",,273,220,-0.1163,-0.1517,-0.0354,0.0158,0.0245,0.0087,-1.6117,-1.7179,-0.1062,0.2789,0.3584,0.0795,323,433,110,5.5316,2.6418,-2.8899,5.3787,3.8318,-1.5469
LAJ+18_CRPC,"CRPC / BPH",,313,193,-0.1212,-0.1466,-0.0255,0.0154,0.0324,0.017,-1.6212,-1.7044,-0.0831,0.296,0.3374,0.0414,375,382,7,4.6978,2.7029,-1.995,4.984,3.7772,-1.2068
MAN+18,"PCa / BPH",,44,33,-0.141,-0.1375,0.0034,0.0361,0.0091,-0.027,-1.7131,-1.6817,0.0313,0.355,0.33,-0.0249,291.5,327,35.5,4.575,4.8966,0.3216,4.3902,4.6333,0.2431
KRN+19_G1,"PCa G1 / BPH",,32,43,-0.122,-0.1457,-0.0237,0.0392,0.0623,0.0231,-1.5968,-1.7527,-0.1559,0.2913,0.3967,0.1054,337,404,67,3.9259,2.475,-1.4509,4.5806,3.4884,-1.0923
KRN+19_G2,"PCa G2 / BPH",,30,22,-0.122,-0.1605,-0.0385,0.0152,0.0287,0.0135,-1.5846,-1.7643,-0.1797,0.2668,0.3498,0.0831,331.5,543.5,212,4.4167,2.5714,-1.8452,4.5862,3.6364,-0.9498
KRN+19_G3,"PCa G3 / BPH",,43,24,-0.1224,-0.1584,-0.036,0.0131,0.039,0.0259,-1.609,-1.7599,-0.1509,0.2816,0.3406,0.0591,345,534,189,4.5526,1.8636,-2.689,4.881,3.375,-1.506
KRN+19_G4,"PCa G4 / BPH",,44,51,-0.1283,-0.1475,-0.0192,0.0397,0.0527,0.013,-1.6353,-1.7197,-0.0845,0.3047,0.3821,0.0774,337,394,57,4.6053,2.2083,-2.3969,4.7907,3.3333,-1.4574
KRN+19_G5,"PCa G5 / BPH",,22,24,-0.1306,-0.1457,-0.0151,0.0047,0.0581,0.0534,-1.6593,-1.7251,-0.0658,0.2668,0.3989,0.1321,279,326,47,5.7143,3.0952,-2.619,4.9524,3.5417,-1.4107
MMF+19_GS6,"FFPE PCa / adjacent benign GS6",,40,136,-0.1243,-0.14,-0.0156,0.0517,0.0089,-0.0429,-1.6458,-1.6719,-0.0261,0.3086,0.2998,-0.0088,463,322,-141,4.6757,2.8571,-1.8185,4.5128,3.5448,-0.968
MMF+19,"FFPE PCa / adjacent benign ",,37,143,-0.1358,-0.1364,-6e-04,0.0506,0.0263,-0.0243,-1.6662,-1.6701,-0.0039,0.3351,0.3055,-0.0296,354,372,18,3.9118,3.1562,-0.7555,4.25,3.6596,-0.5904
TOT+19,"FFPE TMA PCa / normal",,36,86,-0.1089,-0.1405,-0.0316,0.0029,0.0422,0.0392,-1.5839,-1.6839,-0.1,0.263,0.329,0.066,583.5,357.5,-226,4.5312,2.3684,-2.1628,5.1389,3.5412,-1.5977
ZYW+19_LG,"OCT LG PCa / adjacent normal",,143,54,-0.0992,-0.1423,-0.043,0.0016,-0.0054,-0.007,-1.5693,-1.7045,-0.1352,0.2459,0.3277,0.0819,610,469,-141,5.3733,2.1071,-3.2662,5.1625,3.5938,-1.5687
ZYW+19_HG,"OCT HG PCa / adjacent normal",,215,94,-0.1205,-0.1379,-0.0173,0.0049,0.0478,0.0429,-1.646,-1.7303,-0.0843,0.2986,0.323,0.0244,540,331.5,-208.5,4.9626,2.7292,-2.2335,4.693,3.8824,-0.8106
SHC+20,"FFPE PCa / BPH",,58,308,-0.1083,-0.1421,-0.0338,0.0203,0.0481,0.0278,-1.5318,-1.6921,-0.1603,0.2467,0.3538,0.1071,606,360.5,-245.5,4.75,2.9638,-1.7862,5.3621,3.7443,-1.6178
