GeneID,Entrez,Entry,Phylostrata
A1BG,1,P04217,12
A1CF,29974,Q9NQ94,4
A2M,2,P01023,5
A2ML1,144568,A8K2U0,5
A4GALT,53947,Q9NPC4,2
A4GNT,51146,Q9UNA3,9
AAAS,8086,Q9NRG9,2
AACS,65985,Q86V21,1
AADAC,13,P22760,1
AADACL2,344752,Q6P093,1
AADACL3,126767,Q5VUY0,6
AADACL4,343066,Q5VUY2,8
AAED1,195827,Q7RTV5,2
AAGAB,79719,Q6PD74,5
AAK1,22848,Q2M2I8,2
AAMP,14,Q13685,2
AANAT,15,Q16613,1
AAR2,25980,Q9Y312,2
AARD,441376,Q4LEZ3,13
AARS2,57505,Q5JTZ9,1
AASDH,132949,Q4L235,1
AASDHPPT,60496,Q9NRN7,1
AASS,10157,Q9UDR5,1
AATF,26574,Q9NY61,2
AATK,9625,Q6ZMQ8,8
ABAT,18,P80404,1
ABCA1,19,O95477,1
ABCA10,10349,Q8WWZ4,1
ABCA13,154664,Q86UQ4,1
ABCA3,21,Q99758,1
ABCA4,24,P78363,1
ABCA5,23461,Q8WWZ7,1
ABCA6,23460,Q8N139,1
ABCA7,10347,Q8IZY2,1
ABCA8,10351,O94911,1
ABCA9,10350,Q8IUA7,1
ABCB1,5243,P08183,1
ABCB10,23456,Q9NRK6,1
ABCB11,8647,O95342,1
ABCB4,5244,P21439,1
ABCB5,340273,Q2M3G0,1
ABCB6,10058,Q9NP58,1
ABCB7,22,O75027,1
ABCB8,11194,Q9NUT2,1
ABCB9,23457,Q9NP78,1
ABCC1,4363,P33527,1
ABCC10,89845,Q5T3U5,1
ABCC11,85320,Q96J66,1
ABCC12,94160,Q96J65,1
ABCC2,1244,Q92887,1
ABCC3,8714,O15438,1
ABCC4,10257,O15439,1
ABCC5,10057,O15440,1
ABCC6,368,O95255,1
ABCC8,6833,Q09428,1
ABCC9,10060,O60706,1
ABCD1,215,P33897,1
ABCD2,225,Q9UBJ2,1
ABCD3,5825,P28288,1
ABCD4,5826,O14678,1
ABCF1,23,Q8NE71,1
ABCF2,10061,Q9UG63,2
ABCF3,55324,Q9NUQ8,1
ABCG1,9619,P45844,1
ABCG2,9429,Q9UNQ0,1
ABCG4,64137,Q9H172,1
ABCG5,64240,Q9H222,6
ABCG8,64241,Q9H221,1
ABHD1,84696,Q96SE0,1
ABHD10,55347,Q9NUJ1,1
ABHD11,83451,Q8NFV4,1
ABHD12,26090,Q8N2K0,3
ABHD12B,145447,Q7Z5M8,9
ABHD13,84945,Q7L211,1
ABHD14A-ACY1,95,Q03154,1
ABHD14B,84836,Q96IU4,1
ABHD15,116236,Q6UXT9,2
ABHD16A,7920,O95870,4
ABHD16B,140701,Q9H3Z7,10
ABHD17B,51104,Q5VST6,2
ABHD17C,58489,Q6PCB6,2
ABHD2,11057,P08910,4
ABHD3,171586,Q8WU67,1
ABHD4,63874,Q8TB40,2
ABHD5,51099,Q8WTS1,2
ABHD6,57406,Q9BV23,1
ABHD8,79575,Q96I13,1
ABI1,10006,Q8IZP0,4
ABI2,10152,Q9NYB9,4
ABI3,51225,Q9P2A4,9
ABI3BP,25890,Q7Z7G0,8
ABL1,25,P00519,5
ABL2,27,P42684,5
ABLIM2,84448,Q6H8Q1,4
ABLIM3,22885,O94929,4
ABR,29,Q12979,5
ABRA,137735,Q8N0Z2,5
ABRACL,58527,Q9P1F3,2
ABT1,29777,Q9ULW3,2
ABTB1,80325,Q969K4,2
ABTB2,25841,Q8N961,5
AC002321.1,100996390,NA,8
AC002321.2,0,NA,8
AC002365.1,100288814,H7C241,8
AC002472.13,400891,Q6ZQY2,2
AC003102.1,0,NA,15
AC004381.6,81691,Q96IC2,5
AC005082.1,0,NA,14
AC005493.1,0,NA,15
AC005544.1,101929306,NA,15
AC005841.1,101929469,NA,4
AC006156.1,0,NA,16
AC006455.1,0,NA,16
AC006486.1,0,NA,15
AC006547.14,388849,NA,14
AC007401.2,0,NA,15
AC007952.1,0,NA,15
AC007952.6,0,NA,15
AC007956.1,0,NA,15
AC008060.7,0,NA,15
AC008132.13,0,NA,12
AC008686.1,0,NA,15
AC009065.1,0,NA,15
AC009365.3,286023,NA,15
AC009403.2,100506302,NA,15
AC011043.1,389831,NA,15
AC011484.1,0,NA,15
AC011500.1,0,NA,15
AC012123.1,0,NA,13
AC016745.1,0,NA,15
AC016757.3,151174,NA,14
AC017028.1,0,NA,15
AC018755.1,0,NA,15
AC018867.1,0,NA,15
AC022498.1,0,NA,15
AC024940.1,0,NA,14
AC025278.1,0,NA,15
AC025287.1,0,NA,12
AC026703.1,0,NA,15
AC027763.2,0,NA,15
AC040160.1,0,NA,6
AC073343.1,0,NA,15
AC074091.13,0,NA,15
AC074212.3,0,NA,14
AC074389.6,0,NA,15
AC079612.1,0,NA,15
AC083862.1,0,NA,14
AC090616.2,0,NA,15
AC091801.1,0,NA,15
AC092964.1,0,NA,16
AC093802.1,0,NA,15
AC097381.1,0,NA,10
AC099552.4,0,NA,15
AC104472.1,0,NA,7
AC104809.3,728763,NA,2
AC109135.1,0,NA,2
AC110619.2,0,NA,15
AC110781.3,100128374,NA,15
AC112715.2,0,NA,14
AC114546.1,0,NA,15
AC115618.1,0,NA,15
AC124890.1,0,NA,5
AC129492.6,0,NA,15
AC131097.4,285095,NA,9
AC131971.1,0,NA,15
