GI,Entry,Ref,Description,Peptide.counts..all.,p.Value..6..vs..10..,p.Value..10..vs..17.5..,ratio_10_over_6,ratio_17.5_over_10
516143786,UPI00034749F8,WP_017574366.1,"MULTISPECIES: cold-shock protein",4,0.006,0.006,2.43,0.288
516144345,UPI00034DDA43,WP_017574925.1,"MULTISPECIES: hypothetical protein",2,0.012,0.117,2.225,2.902
516145379,UPI00034BDE91,WP_017575959.1,"MULTISPECIES: 50S ribosomal protein L29",5,0.095,0.031,1.578,0.371
516145382,UPI00034CA0A7,WP_017575962.1,"MULTISPECIES: 50S ribosomal protein L24",5,0.026,0.137,1.996,0.593
516145395,UPI00034D5F10,WP_017575975.1,"MULTISPECIES: translation initiation factor IF-1",4,0.135,0.022,1.372,0.384
516145398,UPI000380B287,WP_017575978.1,"MULTISPECIES: 30S ribosomal protein S11",6,0.009,0.479,2.025,0.885
516145477,UPI00037FD17E,WP_017576057.1,"MULTISPECIES: hypothetical protein",2,0.341,0.026,1.199,0.399
516146182,UPI00034D44B3,WP_017576762.1,"MULTISPECIES: 50S ribosomal protein L35",4,0,0.064,3.741,0.458
516147462,UPI00034D6B2F,WP_017578042.1,"MULTISPECIES: hypothetical protein",2,0.007,0.335,2.418,1.564
516200011,UPI00034C6D1D,WP_017607066.1,"hypothetical protein",2,0.119,0.033,0.743,0.434
516200012,UPI000347A7EB,WP_017607067.1,"hypothetical protein",5,0.025,0.038,0.595,0.392
516200014,UPI000347C850,WP_017607069.1,"hypothetical protein",3,0.048,0.478,0.699,1.201
516200043,UPI00034B665C,WP_017607098.1,"hypothetical protein",34,0.379,0.002,0.914,10.223
516200045,UPI000363F53E,WP_017607100.1,"hypothetical protein",25,0.408,0.002,1.01,8.716
516200046,UPI000374A925,WP_017607101.1,"hypothetical protein",26,0.457,0,0.98,9.181
516200055,UPI0003457B44,WP_017607110.1,"acetate permease",3,0.221,0.04,1.276,4.173
516200063,UPI00034C7F99,WP_017607118.1,"hypothetical protein",4,0.04,0.484,0.588,1.236
516200075,UPI0003467DD0,WP_017607130.1,"lysine 2,3-aminomutase",25,0.019,0.177,2.155,0.514
516200078,UPI00036386B7,WP_017607133.1,"hypothetical protein",6,0.028,0.231,0.635,0.749
516200150,UPI00034A5D3C,WP_017607196.1,"hypothetical protein",2,0.033,0.043,2.005,3.393
516200164,UPI00037044BA,WP_017607203.1,"hypothetical protein",3,0.037,0.149,0.653,0.673
516200224,UPI00034B168F,WP_017607230.1,"hypothetical protein",5,0.029,0.374,0.61,0.891
516200284,UPI000348488B,WP_017607258.1,"hypothetical protein",7,0.01,0.256,0.573,0.783
516200292,UPI00034D05D0,WP_017607263.1,"MarR family transcriptional regulator",5,0.038,0.338,0.53,0.873
516200305,UPI00034D0232,WP_017607269.1,"hypothetical protein",2,0.036,0.202,1.662,1.97
516200344,UPI0003802714,WP_017607288.1,"type II citrate synthase",19,0.326,0.031,1.121,0.304
516200360,UPI00036F3523,WP_017607295.1,"hypothetical protein",9,0.018,0.182,2.162,2.243
516200365,UPI0003495824,WP_017607299.1,"GCN5 family acetyltransferase",2,0,0.402,0.215,0.964
516200393,UPI000346400F,WP_017607311.1,"hypothetical protein",7,0.14,0.016,1.441,5.007
516200400,UPI0003495C71,WP_017607314.1,"hypothetical protein",6,0,0.159,0.477,0.616
516200401,UPI00034C7222,WP_017607315.1,"hypothetical protein",2,0.003,0.483,2.436,1.205
516200537,UPI0003464351,WP_017607367.1,"carboxylate transporter",4,0.01,0.442,2.179,1.138
516200574,UPI00034D08D7,WP_017607382.1,"hypothetical protein",9,0.004,0.248,2.178,0.674
516200591,UPI0003749B9F,WP_017607389.1,"peptide ABC transporter ATP-binding protein",19,0.419,0.026,1.102,4.609
516200593,UPI00034C7784,WP_017607390.1,"ABC transporter permease",4,0.299,0.011,1.266,6.453
516200595,UPI000348472F,WP_017607391.1,"ABC transporter permease",2,0.077,0.018,1.636,5.545
516200604,UPI0003779586,WP_017607395.1,"hypothetical protein",7,0.017,0.014,1.843,6.372
516200608,UPI000374DD26,WP_017607396.1,"glycine/betaine ABC transporter substrate-binding protein",3,0,0.096,2.912,2.836
516200610,UPI0003472480,WP_017607397.1,"phosphate ABC transporter permease",4,0.004,0.083,2.074,2.944
516200632,UPI00034DF233,WP_017607407.1,"hypothetical protein",2,0.039,0.04,1.76,0.463
516200700,UPI00034A412B,WP_017607440.1,ATPase,2,0.005,0.459,0.604,1.049
