precursor,"amino acid"
a-ketoglutarate-2,"glutamic acid"
a-ketoglutarate-2,glutamine
a-ketoglutarate-2,proline
a-ketoglutarate-2,arginine
oxaloacetate-2,"aspartic acid"
oxaloacetate-2,asparagine
oxaloacetate-2,methionine
oxaloacetate-2,threonine
oxaloacetate-2,lysine
oxaloacetate-2,isoleucine
pyruvate,alanine
pyruvate,valine
pyruvate,leucine
chorismate,phenylalanine
chorismate,tyrosine
chorismate,tryptophan
"ribose 5-phosphate",histidine
3-phosphoglycerate,serine
3-phosphoglycerate,glycine
3-phosphoglycerate,cysteine
