protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|P05064,MOUSE,DCH+14,ALDOA,1,41,8,14,24,8,30,9,20,26,34,4,15,20,16,15,21,22,22,3,12
sp|P12382,MOUSE,DCH+14,PFKAL,1,68,14,34,53,25,79,21,45,36,71,25,31,20,21,48,46,47,64,10,22
sp|P17751,MOUSE,DCH+14,TPIS,1,30,9,12,25,10,33,4,17,22,19,5,10,12,14,10,11,19,26,6,5
sp|P09411,MOUSE,DCH+14,PGK1,1,41,7,24,26,15,41,5,18,41,38,14,24,16,6,11,24,18,39,4,5
sp|Q9DBJ1,MOUSE,DCH+14,PGAM1,1,24,2,14,22,6,17,7,15,18,24,6,9,15,8,17,11,10,14,7,8
sp|P06151,MOUSE,DCH+14,LDHA,1,21,6,17,19,7,25,7,24,27,37,9,15,11,12,10,25,12,35,6,7
sp|Q6IRU2,MOUSE,DCH+14,TPM4,1,29,2,16,51,1,8,2,9,25,32,5,10,0,14,17,8,8,8,0,3
sp|P16858,MOUSE,DCH+14,G3P,1,31,5,18,15,12,32,6,22,26,18,10,21,13,6,10,20,21,33,3,11
sp|P35700,MOUSE,DCH+14,PRDX1,1,12,4,16,7,15,16,3,18,19,11,3,7,13,8,6,13,8,12,2,6
sp|P17182,MOUSE,DCH+14,ENOA,1,45,6,25,29,16,36,6,27,34,34,9,22,17,14,18,28,18,35,3,12
sp|P16045,MOUSE,DCH+14,LEG1,1,12,6,9,9,10,10,4,6,9,11,3,12,7,2,4,5,7,7,1,1
sp|P07356,MOUSE,DCH+14,ANXA2,1,19,5,28,24,7,19,4,22,33,34,9,10,8,13,20,26,18,20,1,19
sp|Q6ZQ38,MOUSE,DCH+14,CAND1,1,85,30,83,73,35,49,25,77,77,168,31,43,57,47,52,111,65,88,3,31
sp|P97429,MOUSE,DCH+14,ANXA4,1,23,5,25,25,10,24,2,21,21,33,10,8,3,14,24,27,17,13,1,13
sp|P52480,MOUSE,DCH+14,KPYM,1,58,10,30,38,16,41,12,39,37,40,17,17,23,13,31,26,26,45,3,9
sp|P48036,MOUSE,DCH+14,ANXA5,1,25,1,28,27,13,23,3,18,21,36,8,7,5,11,19,20,23,18,1,12
sp|P21107,MOUSE,DCH+14,TPM3,1,36,1,20,60,1,3,2,12,38,34,8,7,0,15,14,11,9,8,0,6
sp|O35381,MOUSE,DCH+14,AN32A,1,5,3,30,58,4,14,1,8,19,29,3,16,7,3,8,13,6,12,0,8
sp|P10107,MOUSE,DCH+14,ANXA1,1,33,5,24,26,11,21,5,20,29,35,9,12,7,16,21,18,22,20,0,12
sp|Q9Z2X1,MOUSE,DCH+14,HNRPF,1,26,6,23,33,19,50,13,16,16,25,13,11,16,15,24,38,18,28,2,23
tr|A2AL12,MOUSE,DCH+14,A2AL12,1,8,4,18,22,18,66,7,7,21,8,7,14,13,11,27,21,12,19,1,14
sp|Q9Z1Q5,MOUSE,DCH+14,CLIC1,1,19,6,12,23,12,13,3,8,17,30,3,13,14,8,10,11,15,15,1,8
sp|Q8VDD5,MOUSE,DCH+14,MYH9,1,178,21,109,266,50,69,28,81,205,226,51,77,32,151,126,84,83,80,10,33
sp|P18760,MOUSE,DCH+14,COF1,1,12,4,12,15,5,9,1,9,25,14,4,4,6,2,4,11,8,14,1,6
tr|Q99LB4,MOUSE,DCH+14,Q99LB4,1,31,5,18,25,15,28,8,21,22,29,5,15,20,20,19,24,13,17,6,8
sp|Q62465,MOUSE,DCH+14,VAT1,1,47,4,16,25,10,41,8,8,19,37,17,13,31,14,17,17,25,43,4,10
sp|P68372,MOUSE,DCH+14,TBB4B,1,30,8,24,38,23,35,10,16,15,33,18,22,20,21,22,26,31,33,4,16
sp|O88844,MOUSE,DCH+14,IDHC,1,31,7,27,28,16,33,8,30,38,27,15,15,12,18,16,20,25,24,6,18
tr|Q8VCQ8,MOUSE,DCH+14,Q8VCQ8,1,39,2,24,89,10,32,3,11,62,32,6,17,22,31,51,46,20,25,3,5
sp|Q9DCD0,MOUSE,DCH+14,6PGD,1,42,9,28,29,21,49,10,31,34,45,15,17,14,18,22,27,21,29,8,14
tr|A1BN54,MOUSE,DCH+14,A1BN54,1,73,11,62,83,30,38,26,60,54,82,30,44,28,51,56,35,49,34,16,25
sp|Q9WVA4,MOUSE,DCH+14,TAGL2,1,12,3,10,11,7,19,0,11,13,16,8,12,9,22,10,10,9,8,4,5
sp|P68254,MOUSE,DCH+14,1433T,1,24,5,17,27,6,9,1,12,19,27,6,12,4,10,11,16,16,10,2,11
sp|Q61598,MOUSE,DCH+14,GDIB,1,20,9,30,32,20,31,5,35,37,35,13,16,21,15,21,27,22,31,1,24
sp|P17742,MOUSE,DCH+14,PPIA,1,8,3,8,11,15,22,4,10,13,7,5,9,6,3,7,10,12,8,1,2
sp|Q9CQ60,MOUSE,DCH+14,6PGL,1,36,4,14,13,10,17,5,9,8,38,2,2,24,10,14,19,11,16,2,3
sp|Q99PT1,MOUSE,DCH+14,GDIR1,1,13,1,14,23,5,10,3,11,19,16,5,7,10,8,10,13,11,13,3,9
