protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|P15947,MOUSE,MZH+14,KLK1,1,16,10,20,13,7,21,6,13,15,28,6,16,20,9,7,13,13,15,6,7
sp|P02340,MOUSE,MZH+14,P53,1,24,12,17,32,13,24,11,9,24,35,11,8,38,14,24,35,24,20,3,12
sp|Q80YX1,MOUSE,MZH+14,TENA,1,124,99,140,162,67,186,36,103,73,158,26,89,106,74,120,143,181,131,26,66
sp|P09803,MOUSE,MZH+14,CADH1,1,61,9,72,67,30,51,21,44,35,75,13,43,60,32,46,53,65,73,8,26
sp|Q3TYD6,MOUSE,MZH+14,LMTK2,1,97,25,125,131,52,79,34,38,62,163,15,44,123,64,48,177,77,78,12,27
sp|P11276,MOUSE,MZH+14,FINC,1,111,64,123,145,54,203,47,129,78,146,23,110,192,133,132,191,264,191,40,101
sp|P09021,MOUSE,MZH+14,HXA5,1,31,3,9,14,8,27,12,8,10,11,7,11,21,10,21,38,8,5,3,13
sp|P28028,MOUSE,MZH+14,BRAF,1,50,14,40,48,38,69,20,42,44,70,18,26,57,46,45,73,38,40,8,18
sp|P97929,MOUSE,MZH+14,BRCA2,1,173,76,185,265,121,144,86,140,275,268,52,159,196,165,139,407,213,184,21,60
sp|Q0VBL3,MOUSE,MZH+14,RBM15,1,70,4,68,49,21,90,18,21,48,86,8,22,72,29,116,124,39,42,9,26
sp|P42227,MOUSE,MZH+14,STAT3,1,44,14,33,58,30,39,13,41,47,82,27,38,34,60,35,51,47,41,15,21
sp|Q9JI11,MOUSE,MZH+14,STK4,1,28,4,32,48,15,28,8,33,37,36,22,18,23,30,24,28,28,27,6,12
sp|P11404,MOUSE,MZH+14,FABPH,1,6,0,10,8,6,10,2,8,13,11,3,5,1,5,4,7,19,11,2,2
sp|P70217,MOUSE,MZH+14,HXD13,1,52,5,11,13,11,30,7,8,18,14,7,11,22,13,19,43,14,20,5,16
sp|P54227,MOUSE,MZH+14,STMN1,1,15,0,7,29,3,1,4,4,23,13,4,6,6,6,9,11,2,6,0,0
sp|Q64364,MOUSE,MZH+14,ARF,1,18,4,4,4,10,17,4,3,1,16,2,2,12,4,37,11,3,12,3,2
