protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|Q8BH95,MOUSE,LAR+12,NA,1,37,7,11,21,13,23,3,17,22,27,9,12,8,12,15,17,14,16,1,5
sp|P51174,MOUSE,LAR+12,NA,1,41,7,13,36,16,35,13,27,28,36,12,13,15,17,25,30,20,26,8,12
sp|P45952,MOUSE,LAR+12,NA,1,52,8,16,33,19,38,7,26,30,29,11,13,16,20,24,16,22,21,4,16
sp|Q61425,MOUSE,LAR+12,NA,1,27,3,15,20,17,20,8,15,30,30,11,11,13,9,9,23,24,23,1,5
sp|Q99J39,MOUSE,LAR+12,NA,1,38,10,10,36,18,44,12,15,21,65,10,18,28,26,36,36,15,32,8,14
sp|O35459,MOUSE,LAR+12,NA,1,33,6,23,14,11,16,5,19,21,28,16,10,7,19,17,35,14,23,3,7
sp|P47934,MOUSE,LAR+12,NA,1,45,8,34,31,29,32,19,31,42,63,22,25,36,35,29,44,26,46,7,22
sp|P52825,MOUSE,LAR+12,NA,1,59,10,40,30,39,33,23,21,39,71,15,22,37,27,37,52,36,39,7,21
sp|Q99JY0,MOUSE,LAR+12,NA,1,55,5,24,17,19,33,11,20,33,47,20,17,23,15,22,41,30,29,3,11
sp|Q8BMS1,MOUSE,LAR+12,NA,1,64,12,33,46,32,72,6,40,66,73,19,24,31,36,34,49,40,67,1,18
tr|Q924X3,MOUSE,LAR+12,NA,1,2,1,1,2,1,2,0,3,0,3,0,0,5,0,0,1,0,3,0,0
sp|P41216,MOUSE,LAR+12,NA,1,49,18,37,46,33,54,10,49,50,75,15,24,35,23,32,36,34,48,9,22
sp|P50544,MOUSE,LAR+12,NA,1,65,7,25,42,30,64,9,35,40,64,20,22,23,32,35,51,30,47,3,12
sp|P06745,MOUSE,LAR+12,NA,1,42,4,24,35,28,40,21,34,41,56,15,30,24,24,20,34,32,29,12,13
tr|Q5NCI4,MOUSE,LAR+12,NA,1,23,3,12,23,6,16,7,15,20,21,8,9,13,7,18,9,17,13,7,6
sp|P52480,MOUSE,LAR+12,NA,1,58,10,30,38,16,41,12,39,37,40,17,17,23,13,31,26,26,45,3,9
sp|Q9D051,MOUSE,LAR+12,NA,1,44,6,14,25,14,30,7,25,19,24,13,13,20,13,18,17,11,34,4,8
sp|Q60597,MOUSE,LAR+12,NA,1,72,21,56,68,52,55,38,49,51,94,28,43,60,48,61,58,55,69,14,31
tr|Q3UFJ3,MOUSE,LAR+12,NA,1,39,12,19,27,13,36,8,20,23,31,14,13,16,12,28,19,17,23,2,18
sp|P17751,MOUSE,LAR+12,NA,1,30,9,12,25,10,33,4,17,22,19,5,10,12,14,10,11,19,26,6,5
sp|P47857,MOUSE,LAR+12,NA,1,62,15,41,48,28,82,20,49,43,63,22,31,22,23,50,40,55,62,10,14
sp|P09411,MOUSE,LAR+12,NA,1,41,7,24,26,15,41,5,18,41,38,14,24,16,6,11,24,18,39,4,5
tr|Q8CF78,MOUSE,LAR+12,NA,1,30,4,10,16,7,23,7,17,20,27,11,13,17,7,20,32,24,22,9,5
sp|Q8BMF4,MOUSE,LAR+12,NA,1,84,10,25,38,16,48,7,42,40,47,14,13,63,20,31,45,31,51,7,10
sp|P17710,MOUSE,LAR+12,NA,1,50,23,63,69,38,86,21,52,63,93,37,32,32,31,62,64,59,74,5,20
sp|P54071,MOUSE,LAR+12,NA,1,32,8,30,22,20,34,13,28,37,33,9,16,19,18,23,25,32,29,10,14
sp|P14152,MOUSE,LAR+12,NA,1,29,3,22,20,12,23,4,22,30,32,9,13,13,10,10,25,16,30,4,7
tr|Q0QEL9,MOUSE,LAR+12,NA,1,16,1,11,9,7,19,9,7,10,30,6,11,11,9,9,16,10,16,5,11
sp|P08249,MOUSE,LAR+12,NA,1,39,8,12,17,12,29,5,21,25,31,7,15,21,9,11,18,24,29,0,5
sp|Q99KI0,MOUSE,LAR+12,NA,1,60,13,47,41,22,74,24,57,54,67,11,36,44,30,37,38,47,47,9,22
sp|Q9D2G2,MOUSE,LAR+12,NA,1,54,6,21,28,17,29,6,22,26,30,14,17,39,13,31,26,25,43,1,6
sp|P97807,MOUSE,LAR+12,NA,1,63,4,16,29,17,41,13,24,32,44,21,28,25,18,21,28,31,41,2,9
tr|Q3TGZ3,MOUSE,LAR+12,NA,1,41,7,15,19,7,26,17,31,21,31,14,24,17,11,22,25,22,33,1,9
sp|Q9WUM5,MOUSE,LAR+12,NA,1,36,6,7,17,11,45,11,31,23,22,7,10,18,15,13,18,28,22,0,6
sp|Q9D6R2,MOUSE,LAR+12,NA,1,34,8,21,21,13,33,8,26,25,28,15,19,16,8,14,20,20,27,3,7
tr|Q05BC6,MOUSE,LAR+12,NA,1,23,4,23,10,8,16,3,21,18,20,9,9,4,9,6,8,8,21,1,3
tr|Q6IWE1,MOUSE,LAR+12,NA,1,5,3,3,4,3,9,3,1,3,6,2,1,2,4,6,5,5,3,0,4
tr|Q0QEZ4,MOUSE,LAR+12,NA,1,17,14,18,11,5,13,2,14,20,19,7,9,13,11,14,14,13,8,4,13
sp|Q9Z2I8,MOUSE,LAR+12,NA,1,51,5,21,32,17,36,5,29,35,43,8,23,15,21,17,18,14,35,1,7
sp|Q99LC5,MOUSE,LAR+12,NA,1,44,6,17,16,11,27,5,19,26,31,4,8,14,12,11,25,18,32,1,6
tr|Q923F9,MOUSE,LAR+12,NA,1,13,1,8,10,6,6,1,6,16,9,6,10,7,3,12,13,16,11,6,2
sp|Q9DCW4,MOUSE,LAR+12,NA,1,25,4,15,22,4,18,2,14,26,26,5,4,11,10,13,10,13,31,1,1
sp|Q9D6J6,MOUSE,LAR+12,NA,1,22,6,11,16,8,20,6,11,14,22,6,12,21,9,13,6,17,18,2,8
sp|Q8R1I1,MOUSE,LAR+12,NA,1,6,0,2,5,5,3,3,5,5,6,1,2,2,1,4,5,4,1,1,3
sp|Q03265,MOUSE,LAR+12,NA,1,54,2,29,31,15,52,6,38,31,54,12,17,19,25,38,41,27,46,0,16
tr|Q6IWE1,MOUSE,LAR+12,NA,1,5,3,3,4,3,9,3,1,3,6,2,1,2,4,6,5,5,3,0,4
sp|Q9DB77,MOUSE,LAR+12,NA,1,59,1,14,23,18,38,10,20,27,47,9,24,14,19,18,45,20,32,1,14
tr|Q792A4,MOUSE,LAR+12,NA,1,6,2,3,2,3,6,3,0,5,12,3,3,2,3,6,7,5,5,1,3
tr|Q812D0,MOUSE,LAR+12,NA,1,3,0,2,2,3,1,1,3,6,6,1,2,1,2,6,5,1,8,0,1
sp|Q9CR61,MOUSE,LAR+12,NA,1,10,4,9,14,5,6,5,2,10,14,5,1,8,9,15,3,3,7,2,5
sp|Q9CR68,MOUSE,LAR+12,NA,1,31,5,15,13,10,19,6,8,16,21,4,5,19,6,17,27,11,32,2,7
tr|Q0QEZ4,MOUSE,LAR+12,NA,1,17,14,18,11,5,13,2,14,20,19,7,9,13,11,14,14,13,8,4,13
sp|Q9DC70,MOUSE,LAR+12,NA,1,24,5,8,6,3,15,4,8,9,20,10,3,17,9,20,19,8,22,3,11
sp|Q9CQ75,MOUSE,LAR+12,NA,1,13,2,2,6,2,6,2,4,6,10,2,4,4,6,9,7,2,9,1,2
sp|Q9DCT2,MOUSE,LAR+12,NA,1,24,3,17,19,15,12,7,10,12,23,2,7,17,9,23,13,12,24,5,9
tr|Q9DCW5,MOUSE,LAR+12,NA,1,9,0,2,7,5,10,7,1,3,11,5,4,12,0,10,9,4,8,2,3
tr|Q3TRR5,MOUSE,LAR+12,NA,1,32,6,12,9,44,24,12,62,19,81,36,36,24,10,9,50,50,15,12,11
sp|Q9D0M3,MOUSE,LAR+12,NA,1,35,4,13,16,7,30,10,4,14,38,13,5,28,7,23,28,11,20,3,16
sp|Q91WD5,MOUSE,LAR+12,NA,1,33,7,26,32,17,35,13,29,22,40,19,12,30,17,33,22,18,31,8,19
sp|Q9DC69,MOUSE,LAR+12,NA,1,27,2,17,18,23,25,14,23,20,30,8,11,21,7,29,28,19,38,6,11
tr|Q7JD04,MOUSE,LAR+12,NA,1,43,1,16,9,43,46,18,37,10,58,31,16,28,6,8,33,36,39,17,19
sp|P56480,MOUSE,LAR+12,NA,1,62,0,28,36,15,51,10,37,23,49,13,10,29,25,25,27,30,46,0,13
sp|P19783,MOUSE,LAR+12,NA,1,16,1,11,9,8,7,3,7,15,12,8,5,6,5,10,14,8,11,6,7
tr|Q3THG0,MOUSE,LAR+12,NA,1,16,1,7,11,5,11,1,12,21,25,8,7,11,7,12,21,13,19,0,5
tr|Q3UIQ2,MOUSE,LAR+12,NA,1,66,18,45,48,18,52,9,44,39,65,25,29,34,25,42,39,44,61,7,17
sp|Q921G7,MOUSE,LAR+12,NA,1,46,15,28,38,20,60,26,33,42,58,9,21,41,23,24,30,30,38,13,21
sp|Q9ERS2,MOUSE,LAR+12,NA,1,9,0,5,12,6,12,1,9,7,13,9,6,9,4,14,5,6,6,5,6
sp|Q9CQJ8,MOUSE,LAR+12,NA,1,11,5,8,20,7,4,7,4,11,14,7,2,16,9,18,7,7,4,8,10
tr|Q8R2L0,MOUSE,LAR+12,NA,1,10,2,2,3,4,9,11,2,3,11,3,5,9,0,5,4,5,4,3,2
sp|Q9CQ54,MOUSE,LAR+12,NA,1,5,1,6,7,8,8,5,2,8,16,8,4,12,2,9,2,3,6,0,8
sp|Q99LC3,MOUSE,LAR+12,NA,1,23,5,20,23,7,23,10,20,26,37,7,11,18,15,18,22,17,22,6,25
tr|Q80W36,MOUSE,LAR+12,NA,1,12,2,1,2,2,6,1,2,4,11,2,1,9,2,4,2,3,4,0,3
tr|Q3V406,MOUSE,LAR+12,NA,1,13,1,11,9,7,9,6,2,4,8,11,4,14,4,14,6,6,12,7,9
sp|Q9Z1P6,MOUSE,LAR+12,NA,1,13,1,3,5,0,4,1,4,11,9,4,3,11,8,8,11,5,6,2,4
tr|Q9D2Q7,MOUSE,LAR+12,NA,1,2,2,5,12,3,3,3,0,5,7,2,1,1,0,2,1,3,2,0,0
tr|Q9D6H6,MOUSE,LAR+12,NA,1,11,0,4,6,6,15,9,3,9,7,3,3,4,3,5,2,3,4,4,3
sp|Q9CQH3,MOUSE,LAR+12,NA,1,15,1,6,15,9,12,5,13,11,19,5,4,14,4,16,11,8,9,3,9
sp|Q9CQZ5,MOUSE,LAR+12,NA,1,13,0,7,8,6,4,5,4,11,9,7,3,6,5,13,4,9,12,2,3
tr|Q7JD06,MOUSE,LAR+12,NA,1,25,1,3,12,20,13,4,26,6,58,21,13,22,6,8,24,22,11,9,14
sp|Q91YT0,MOUSE,LAR+12,NA,1,40,12,23,31,19,54,11,25,26,33,11,12,23,11,33,23,24,33,10,10
sp|P56391,MOUSE,LAR+12,NA,1,6,4,6,4,4,4,1,4,9,2,2,5,4,3,5,5,5,5,4,4
tr|A3R455,MUSMC,LAR+12,NA,1,9,3,11,14,7,8,6,19,5,31,16,9,14,6,6,18,16,14,5,10
sp|Q62425,MOUSE,LAR+12,NA,1,5,0,4,3,5,7,1,3,8,9,2,6,7,3,3,4,1,5,2,4
