protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|P29391,MOUSE,PDT+19,FRIL1,1,17,1,11,17,9,13,7,2,9,26,4,8,5,11,13,8,8,8,1,5
tr|D3YWI1,MOUSE,PDT+19,D3YWI1,1,20,5,14,15,4,20,7,15,17,22,3,8,15,10,11,9,14,18,1,8
tr|Q5FWB7,MOUSE,PDT+19,Q5FWB7,1,41,8,14,24,8,30,9,20,26,34,4,15,20,16,15,21,22,22,3,12
tr|Q6NY00,MOUSE,PDT+19,Q6NY00,1,41,8,14,23,8,31,9,20,25,34,4,15,20,16,16,21,22,22,3,12
sp|P06745,MOUSE,PDT+19,G6PI,1,42,4,24,35,28,40,21,34,41,56,15,30,24,24,20,34,32,29,12,13
tr|A6ZI44,MOUSE,PDT+19,A6ZI44,1,46,8,15,28,11,34,10,20,27,39,6,17,24,20,18,28,29,23,3,12
tr|Q3TI99,MOUSE,PDT+19,Q3TI99,1,21,6,17,19,7,25,7,24,27,36,9,15,11,12,10,25,12,36,6,7
tr|A0A0U1RP97,MOUSE,PDT+19,A0A0U1RP97,1,14,1,5,13,7,6,6,5,13,23,6,12,7,7,8,6,5,6,1,1
tr|A0A1B0GRS2,MOUSE,PDT+19,A0A1B0GRS2,1,7,1,6,5,0,5,1,4,6,10,6,2,1,4,0,1,2,7,0,0
tr|Q3THE6,MOUSE,PDT+19,Q3THE6,1,17,1,13,16,9,13,6,2,9,26,4,8,5,11,12,9,7,9,1,5
tr|Q3TCI7,MOUSE,PDT+19,Q3TCI7,1,21,6,18,19,7,25,7,24,27,37,9,14,11,12,10,25,12,35,6,7
tr|Q3ULW5,MOUSE,PDT+19,Q3ULW5,1,17,1,11,17,10,13,7,2,9,27,3,8,5,11,13,8,8,8,1,4
