"protein","organism","ref","abbrv","chains","Ala","Cys","Asp","Glu","Phe","Gly","His","Ile","Lys","Leu","Met","Asn","Pro","Gln","Arg","Ser","Thr","Val","Trp","Tyr"
"sp|Q8VEK3","MOUSE",NA,NA,1,63,14,44,77,31,104,13,20,67,46,19,43,38,46,44,37,27,35,6,26
"sp|Q80YX1","MOUSE",NA,NA,1,124,99,140,162,67,186,36,103,73,158,26,89,106,74,120,143,181,131,26,66
"sp|Q9QXS1","MOUSE",NA,NA,1,496,34,194,596,90,226,81,165,264,543,72,70,145,388,442,258,223,266,33,105
"sp|Q6IRU2","MOUSE",NA,NA,1,29,2,16,51,1,8,2,9,25,32,5,10,0,14,17,8,8,8,0,3
"sp|Q62266","MOUSE",NA,NA,1,5,15,1,12,0,1,7,0,16,1,1,3,46,16,0,4,5,10,0,1
"sp|Q8BG05","MOUSE",NA,NA,1,8,4,20,22,19,104,7,7,21,8,7,17,15,12,29,25,12,19,1,22
"sp|P37889","MOUSE",NA,NA,1,98,107,65,104,32,103,25,35,23,82,17,44,94,62,63,77,75,73,7,35
"sp|P14069","MOUSE",NA,NA,1,9,1,7,8,3,5,2,6,10,14,2,3,1,5,2,3,2,3,0,3
"sp|O89053","MOUSE",NA,NA,1,29,12,30,31,14,35,11,18,22,43,8,11,32,12,33,33,27,43,8,9
"sp|P01869","MOUSE",NA,NA,1,20,12,16,22,18,16,9,17,27,26,6,16,34,17,6,38,37,39,8,9
"sp|Q07076","MOUSE",NA,NA,1,39,5,21,21,18,58,2,18,15,32,19,10,44,33,25,36,23,16,1,27
"sp|Q06890","MOUSE",NA,NA,1,22,11,27,39,23,15,11,14,29,48,15,20,19,32,24,39,19,27,4,10
"sp|Q80X90","MOUSE",NA,NA,1,184,43,156,163,86,276,63,144,174,138,33,87,205,73,76,179,165,254,17,86
"sp|P61089","MOUSE",NA,NA,1,17,1,8,11,5,6,2,11,9,16,4,7,14,6,9,5,7,7,3,4
"sp|Q8BTM8","MOUSE",NA,NA,1,182,50,148,159,76,299,66,124,160,136,31,82,207,94,91,190,177,273,17,85
"sp|P37804","MOUSE",NA,NA,1,11,1,11,14,6,20,2,7,17,14,10,8,10,14,11,12,6,17,3,7
"sp|Q91YR9","MOUSE",NA,NA,1,28,6,11,23,14,37,3,11,27,31,12,12,15,11,9,16,18,31,5,9
"sp|P49312","MOUSE",NA,NA,1,11,2,17,18,22,65,8,8,18,8,6,18,9,10,24,34,12,17,1,12
"sp|Q61233","MOUSE",NA,NA,1,45,11,42,48,19,41,8,41,47,70,17,47,24,18,26,31,27,40,8,17
"sp|Q9QZD9","MOUSE",NA,NA,1,18,7,22,21,21,28,11,15,17,20,8,15,11,12,14,25,22,22,5,11
"sp|P02798","MOUSE",NA,NA,1,6,20,3,1,0,4,0,1,8,0,1,1,2,2,0,10,1,1,0,0
"sp|O35682","MOUSE",NA,NA,1,32,13,6,6,21,16,3,22,3,40,5,7,17,10,15,22,34,27,8,13
