protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|Q8QZT1,MOUSE,WCM+09,NA,1,54,6,15,25,8,38,7,26,31,35,17,16,21,13,14,26,21,39,2,10
sp|P47754,MOUSE,WCM+09,NA,1,21,3,16,26,13,13,8,19,21,19,3,18,9,17,13,12,19,20,5,11
sp|P01326,MOUSE,WCM+09,NA,1,8,6,3,8,5,9,3,2,2,18,3,2,5,9,5,5,4,7,2,4
sp|Q9QXV0,MOUSE,WCM+09,NA,1,44,1,16,18,0,16,1,2,2,42,1,2,37,10,30,12,6,15,1,2
sp|Q9D1M0,MOUSE,WCM+09,NA,1,22,9,23,17,4,28,12,21,17,17,6,16,10,14,8,33,15,26,17,7
sp|O55143,MOUSE,WCM+09,NA,1,83,29,50,75,42,66,12,75,60,98,32,43,49,29,41,70,65,90,16,19
sp|Q64518,MOUSE,WCM+09,NA,1,96,25,48,74,37,73,12,54,40,105,28,32,53,31,68,65,70,95,14,18
sp|Q03517,MOUSE,WCM+09,NA,1,36,0,38,80,9,30,6,24,39,69,17,35,43,43,37,41,14,30,4,22
sp|O35609,MOUSE,WCM+09,NA,1,42,7,10,16,30,20,3,9,10,32,8,13,32,19,17,27,15,23,6,10
sp|P60041,MOUSE,WCM+09,NA,1,17,5,4,10,5,5,0,1,6,17,3,5,7,8,7,7,5,2,1,1
sp|Q9R0Q1,MOUSE,WCM+09,NA,1,28,12,37,57,16,53,15,27,62,65,17,18,24,31,46,67,31,40,11,16
sp|P63044,MOUSE,WCM+09,NA,1,15,1,7,5,2,5,0,10,7,10,4,4,8,7,6,6,6,9,2,2
sp|O70404,MOUSE,WCM+09,NA,1,5,1,3,9,3,5,2,12,7,8,3,7,1,3,6,6,8,10,2,0
sp|Q60597,MOUSE,WCM+09,NA,1,72,21,56,68,52,55,38,49,51,94,28,43,60,48,61,58,55,69,14,31
sp|P48962,MOUSE,WCM+09,NA,1,32,4,16,6,20,31,3,18,23,24,8,8,7,14,16,17,10,23,5,13
sp|P45376,MOUSE,WCM+09,NA,1,20,6,19,18,11,15,8,17,26,32,6,13,22,14,10,17,17,27,6,12
sp|Q7TPR4,MOUSE,WCM+09,NA,1,73,11,62,85,30,40,27,61,53,84,26,44,30,52,55,36,48,34,16,25
sp|P57780,MOUSE,WCM+09,NA,1,76,8,64,86,30,43,30,60,56,83,25,47,29,57,53,46,42,36,16,25
sp|P17182,MOUSE,WCM+09,NA,1,45,6,25,29,16,36,6,27,34,34,9,22,17,14,18,28,18,35,3,12
sp|Q06185,MOUSE,WCM+09,NA,1,8,0,3,9,1,3,0,6,7,7,2,0,4,2,8,4,0,3,0,4
sp|Q3U7R1,MOUSE,WCM+09,NA,1,65,4,70,76,32,75,27,37,53,149,15,25,73,48,68,89,53,91,19,23
sp|P13020,MOUSE,WCM+09,NA,1,72,7,46,52,32,71,14,24,41,63,14,26,40,43,46,56,37,58,15,23
sp|Q9Z1Z0,MOUSE,WCM+09,NA,1,57,19,50,90,24,50,18,57,58,129,15,48,31,81,33,75,51,54,5,14
sp|P63017,MOUSE,WCM+09,NA,1,50,4,46,49,24,53,7,44,54,44,13,33,25,26,28,36,47,46,2,15
sp|Q9CQN1,MOUSE,WCM+09,NA,1,58,6,37,61,28,33,17,40,48,79,18,16,25,37,43,51,36,44,5,24
sp|Q61425,MOUSE,WCM+09,NA,1,27,3,15,20,17,20,8,15,30,30,11,11,13,9,9,23,24,23,1,5
sp|P09055,MOUSE,WCM+09,NA,1,33,57,40,58,29,64,12,49,56,55,13,58,35,31,30,55,46,49,6,22
sp|Q7TMF3,MOUSE,WCM+09,NA,1,3,1,7,8,7,11,6,5,10,7,4,8,11,4,10,4,14,12,6,7
sp|Q91WD5,MOUSE,WCM+09,NA,1,33,7,26,32,17,35,13,29,22,40,19,12,30,17,33,22,18,31,8,19
sp|Q9DCT2,MOUSE,WCM+09,NA,1,24,3,17,19,15,12,7,10,12,23,2,7,17,9,23,13,12,24,5,9
sp|Q8VEM8,MOUSE,WCM+09,NA,1,36,8,7,20,21,27,6,13,23,35,11,8,24,11,18,23,16,28,5,17
sp|Q8BH04,MOUSE,WCM+09,NA,1,54,15,31,38,26,65,14,30,24,56,20,19,49,24,44,35,27,40,18,11
sp|P09411,MOUSE,WCM+09,NA,1,41,7,24,26,15,41,5,18,41,38,14,24,16,6,11,24,18,39,4,5
sp|Q9CQS8,MOUSE,WCM+09,NA,1,10,1,1,1,3,13,1,2,4,5,4,2,7,1,8,12,9,8,2,2
