protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|Q00623,MOUSE,NA,APOA1,1,18,0,17,25,6,8,6,1,19,35,6,8,9,25,16,18,15,20,7,5
sp|O88792,MOUSE,NA,JAM1,1,19,5,11,16,16,28,3,14,16,20,7,8,13,10,10,37,26,25,3,13
sp|Q03247,BOVIN,NA,APOE,1,34,1,12,37,4,18,4,3,14,42,10,4,13,33,29,16,11,20,7,4
sp|Q91XV3,MOUSE,NA,BASP1,1,66,0,10,40,0,16,0,0,28,1,1,2,26,5,0,19,7,4,0,1
sp|Q9CQW9,MOUSE,NA,IFM3,1,13,3,3,6,5,7,4,11,4,9,6,8,5,4,5,12,10,16,1,5
sp|Q8CHY3,MOUSE,NA,DYM,1,36,10,25,46,31,21,18,42,27,101,11,33,34,34,26,68,36,39,6,25
sp|P01942,MOUSE,NA,HBA,1,20,1,9,4,7,11,11,2,11,17,2,2,6,1,3,14,7,10,1,3
sp|P10630,MOUSE,NA,IF4A2,1,24,4,27,32,16,27,6,35,22,36,15,17,12,20,27,16,27,28,4,12
sp|Q8BFZ3,MOUSE,NA,ACTBL,1,27,6,23,26,14,29,8,28,18,27,17,10,20,12,20,21,25,26,4,15
sp|Q91YM2,MOUSE,NA,RHG35,1,78,27,89,116,63,63,42,84,106,147,33,67,89,71,80,133,71,87,10,43
sp|P63321,MOUSE,NA,RALA,1,17,3,16,20,10,11,1,9,21,14,6,10,3,7,15,12,7,17,1,6
sp|P02769,BOVIN,NA,ALBU,1,48,35,40,59,30,17,17,15,60,65,5,14,28,20,26,32,34,38,3,21
sp|Q8CJ53,MOUSE,NA,CIP4,1,43,4,37,65,22,36,11,14,42,54,11,16,35,42,48,55,21,28,6,13
sp|Q8K2T1,MOUSE,NA,NMRL1,1,30,3,20,19,13,26,10,6,20,37,7,8,12,19,16,12,16,22,3,10
sp|Q9ERF3,MOUSE,NA,WDR61,1,20,3,28,12,10,23,13,22,18,25,4,10,8,12,6,30,18,24,10,9
sp|Q9D8V0,MOUSE,NA,HM13,1,33,5,12,23,31,27,7,26,19,51,9,17,19,6,10,29,19,19,3,13
sp|Q3UHD6,MOUSE,NA,SNX27,1,34,11,26,47,26,46,17,23,30,38,11,25,20,25,33,28,25,46,6,22
sp|P09671,MOUSE,NA,SODM,1,21,4,7,13,6,23,11,10,16,22,2,13,10,10,8,9,11,11,6,9
sp|P18608,MOUSE,NA,HMGN1,1,18,0,7,9,0,6,0,1,19,2,1,2,7,5,5,7,3,4,0,0
sp|Q8BQM4,MOUSE,NA,HEAT3,1,66,23,42,56,19,31,9,35,37,87,20,25,30,26,33,56,33,42,4,5
sp|O54941,MOUSE,NA,SMCE1,1,32,1,20,61,5,18,7,14,30,21,15,17,30,22,24,36,21,19,3,15
sp|P01900,MOUSE,NA,HA12,1,35,6,18,30,9,32,7,7,13,33,9,10,20,13,32,15,26,24,11,15
sp|Q60676,MOUSE,NA,PPP5,1,35,11,32,39,22,34,12,23,38,43,15,22,21,22,24,23,25,28,3,27
