protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
tr|A0A087WQH8,MOUSE,LPK+19,A0A087WQH8,1,11,1,6,4,6,10,0,1,9,13,1,4,4,5,5,7,3,9,0,4
tr|A0A087WRE7,MOUSE,LPK+19,A0A087WRE7,1,48,8,26,16,16,34,16,20,25,43,13,15,30,15,15,35,28,35,1,17
tr|A0A087WRN1,MOUSE,LPK+19,A0A087WRN1,1,24,1,48,68,23,32,22,19,73,25,4,12,27,18,56,68,26,19,3,15
tr|A0A0A6YWC8,MOUSE,LPK+19,A0A0A6YWC8,1,31,1,26,50,10,14,3,13,20,50,10,21,7,32,41,43,19,22,1,13
tr|A0A0A6YXC8,MOUSE,LPK+19,A0A0A6YXC8,1,40,2,16,58,8,35,8,17,22,44,10,20,63,34,53,40,22,22,4,6
tr|A0A0A6YXE3,MOUSE,LPK+19,A0A0A6YXE3,1,41,13,8,11,9,12,10,12,15,18,12,17,23,24,15,13,24,17,1,7
tr|A0A0A6YY47,MOUSE,LPK+19,A0A0A6YY47,1,61,14,48,76,25,54,11,56,58,53,13,42,48,34,26,67,59,65,13,25
tr|A0A0G2JGD2,MOUSE,LPK+19,A0A0G2JGD2,1,4,1,6,9,6,3,1,1,8,9,2,4,2,2,4,5,4,5,0,2
tr|A0A0G2JGQ6,MOUSE,LPK+19,A0A0G2JGQ6,1,39,10,45,46,27,50,13,40,52,58,11,27,41,23,49,80,46,53,4,25
tr|A0A0N4SV32,MOUSE,LPK+19,A0A0N4SV32,1,26,1,28,39,13,51,7,9,30,16,4,14,24,14,39,19,9,17,2,0
tr|A0A0N4SV66,MOUSE,LPK+19,A0A0N4SV66,1,15,0,2,7,1,14,2,6,11,16,1,6,5,6,13,5,4,9,0,3
tr|A0A0N4SVT3,MOUSE,LPK+19,A0A0N4SVT3,1,7,1,3,5,1,1,1,4,4,5,3,2,3,3,5,10,4,2,0,1
tr|A0A0R3P9C8,MOUSE,LPK+19,A0A0R3P9C8,1,23,6,17,19,23,26,15,23,20,30,7,11,21,7,25,27,19,36,7,11
tr|A0A0R4IZX2,MOUSE,LPK+19,A0A0R4IZX2,1,24,6,17,32,7,31,13,7,14,28,3,13,25,16,35,22,13,24,4,3
tr|A0A0R4J0K1,MOUSE,LPK+19,A0A0R4J0K1,1,16,8,7,13,9,14,0,5,9,27,1,5,6,8,9,11,3,7,2,2
tr|A0A0R4J0Z1,MOUSE,LPK+19,A0A0R4J0Z1,1,52,6,57,55,32,33,12,28,67,50,7,21,37,19,19,33,32,48,7,26
tr|A0A0R4J104,MOUSE,LPK+19,A0A0R4J104,1,49,3,48,33,37,55,9,25,52,47,13,43,95,50,20,86,42,45,6,8
tr|A0A0R4J1E3,MOUSE,LPK+19,A0A0R4J1E3,1,79,10,33,100,17,31,10,18,23,46,8,16,60,41,36,49,34,35,6,9
tr|A0A0R4J1G9,MOUSE,LPK+19,A0A0R4J1G9,1,40,8,16,24,26,27,11,17,23,73,11,14,26,16,30,39,24,39,9,15
tr|A0A0R4J1Z3,MOUSE,LPK+19,A0A0R4J1Z3,1,22,6,5,5,19,7,6,11,7,44,8,11,13,11,15,21,13,11,1,10
tr|A0A0U1RNK7,MOUSE,LPK+19,A0A0U1RNK7,1,123,33,116,149,95,90,61,100,118,235,54,85,112,92,126,188,108,135,13,65
tr|A0A0U1RNS3,MOUSE,LPK+19,A0A0U1RNS3,1,17,4,8,16,11,11,2,11,10,17,2,20,4,9,11,17,13,10,7,7
tr|A0A0U1RPM9,MOUSE,LPK+19,A0A0U1RPM9,1,46,10,38,79,30,42,18,34,62,72,19,22,27,42,43,54,31,44,7,22
tr|A0A140T8T4,MOUSE,LPK+19,A0A140T8T4,1,8,2,8,12,5,13,3,16,17,16,4,12,3,10,15,10,12,20,2,4
tr|A0A1B0GQU8,MOUSE,LPK+19,A0A1B0GQU8,1,9,1,3,5,6,13,3,4,15,16,4,5,9,2,25,12,10,13,0,4
tr|A0A1B0GRW4,MOUSE,LPK+19,A0A1B0GRW4,1,19,4,9,6,13,11,7,10,10,10,9,11,9,13,12,13,8,12,3,6
tr|A0A1B0GSQ6,MOUSE,LPK+19,A0A1B0GSQ6,1,15,1,3,5,5,12,4,5,16,20,4,5,12,4,20,3,8,17,2,6
tr|A0A1D5RLW5,MOUSE,LPK+19,A0A1D5RLW5,1,10,3,4,5,10,7,7,7,14,6,5,4,7,6,18,9,7,10,2,6
tr|A0A1D5RLX9,MOUSE,LPK+19,A0A1D5RLX9,1,42,11,16,16,23,35,2,35,12,36,11,6,20,11,16,30,23,43,9,12
tr|A0A1L1SQA8,MOUSE,LPK+19,A0A1L1SQA8,1,10,1,5,4,1,6,1,4,13,12,1,4,3,2,6,5,4,7,1,3
tr|A0A1L1SU24,MOUSE,LPK+19,A0A1L1SU24,1,16,1,5,11,4,12,5,11,5,14,1,2,10,9,23,14,3,9,4,1
tr|A0A1L1SUX8,MOUSE,LPK+19,A0A1L1SUX8,1,5,3,4,6,3,5,4,5,7,15,2,10,4,6,8,14,10,10,0,4
tr|A0A1L1SVG6,MOUSE,LPK+19,A0A1L1SVG6,1,43,20,23,21,34,34,10,40,23,69,15,15,26,21,29,23,28,46,8,26
tr|A0A1W2P7G2,MOUSE,LPK+19,A0A1W2P7G2,1,11,0,5,11,5,8,0,6,18,6,3,3,4,3,13,14,9,8,0,0
tr|A0A1W2P8C6,MOUSE,LPK+19,A0A1W2P8C6,1,19,9,5,7,10,11,1,11,11,18,6,8,2,8,2,5,7,18,1,5
tr|A0A1Y7VJ48,MOUSE,LPK+19,A0A1Y7VJ48,1,9,1,5,18,0,1,0,5,10,7,4,1,1,7,4,3,1,3,0,4
tr|A0A1Y7VK19,MOUSE,LPK+19,A0A1Y7VK19,1,10,4,7,10,8,13,0,6,3,13,0,3,4,11,12,18,7,14,1,1
tr|A0A286YDC5,MOUSE,LPK+19,A0A286YDC5,1,43,16,27,39,27,35,17,19,27,71,20,19,28,24,39,36,28,30,6,17
