protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
tr|Q6MZV6,HUMAN,AKP+10,NA,1,32,18,21,23,16,37,11,9,15,49,4,14,40,20,18,46,44,40,11,11
tr|Q6MZU6,HUMAN,AKP+10,NA,1,20,14,16,26,19,33,8,6,28,36,8,20,32,17,16,55,33,49,10,18
tr|Q6PK50,HUMAN,JKMF10,NA,1,20,0,28,49,15,21,8,26,41,26,5,10,11,11,12,19,19,16,3,11
tr|Q6MZX9,HUMAN,JKMF10,NA,1,32,18,21,27,15,37,10,7,15,52,5,14,38,21,18,44,43,43,11,12
tr|B7Z7V0,HUMAN,YLZ+12,NA,1,15,5,19,13,19,23,7,3,12,25,6,4,27,10,19,18,14,21,5,11
TrEMBL|Q7Z6I7,HUMAN,WTK+08,NA,1,14,1,4,23,1,10,4,5,17,19,6,19,6,49,20,24,11,8,6,0
tr|Q9UQM3,HUMAN,WTK+08,NA,1,29,9,18,28,15,24,8,16,14,25,8,12,15,10,14,17,22,26,3,15
tr|Q9UQC1,HUMAN,XZC+10;ZYS+10,NA,1,14,0,12,9,7,15,2,12,10,9,3,7,6,5,5,5,11,12,1,6
tr|Q6GMW3,HUMAN,ZYS+10,NA,1,20,6,6,12,4,19,5,6,12,17,2,6,16,10,3,31,23,22,5,9
tr|Q8TE09,HUMAN,ZYS+10,NA,1,5,7,4,5,1,10,5,3,8,16,2,2,7,5,5,6,6,1,0,2
Swiss-Prot|Q99867,HUMAN,MRK+11,NA,1,33,9,24,31,21,33,12,17,13,34,17,21,20,21,24,27,31,28,5,13
tr|B4E0F2,HUMAN,WOD+12,NA,1,27,8,17,19,12,22,11,5,11,42,6,8,33,18,26,42,23,29,5,3
tr|A8K008,HUMAN,WOD+12,NA,1,22,12,20,22,15,35,9,9,36,37,6,19,36,16,11,52,39,46,10,20
tr|Q8TCD0,HUMAN,WOD+12,NA,1,10,5,11,10,9,18,3,5,12,22,4,8,14,15,11,32,18,20,4,8
tr|B4DNA3,HUMAN,WOD+12,NA,1,33,4,20,29,11,30,9,22,41,30,9,19,33,15,11,39,23,38,6,11
tr|Q96QF2,HUMAN,WOD+12,NA,1,0,0,1,0,0,5,0,0,2,2,1,0,1,0,4,6,2,0,0,1
tr|B9VP24,HUMAN,WOD+12,NA,1,17,2,8,15,5,13,2,17,19,14,1,4,7,6,5,16,10,21,0,3
tr|B7ZB56,HUMAN,WOD+12,NA,1,9,1,15,14,7,15,7,8,14,8,8,10,13,17,16,16,15,20,1,16
TrEMBL|C9IZR5,HUMAN,WOD+12,NA,1,21,3,12,27,5,6,8,16,15,32,10,7,0,18,10,11,16,9,1,4
TrEMBL|C9J062,HUMAN,WOD+12,NA,1,11,4,13,30,12,9,5,8,23,20,7,6,12,10,7,19,7,6,2,5
TrEMBL|C9J8D9,HUMAN,WOD+12,NA,1,10,0,3,8,5,7,1,4,26,5,1,3,5,13,1,4,2,6,0,1
TrEMBL|A6NHW2,HUMAN,WOD+12,NA,1,8,3,4,5,5,13,2,3,3,11,2,6,2,5,7,14,5,11,4,4
TrEMBL|C9JJ77,HUMAN,WOD+12,NA,1,7,3,5,5,5,13,1,5,4,9,3,7,4,5,5,13,4,9,3,7
TrEMBL|A6NE94,HUMAN,WOD+12,NA,1,20,7,8,20,9,18,6,4,9,37,3,6,25,10,13,21,32,14,7,6
tr|B4DH52,HUMAN,WDO+15,NA,1,55,9,40,106,47,52,10,57,85,64,17,40,85,34,54,70,53,83,8,24
tr|Q5EP54,HUMAN,WDO+15,NA,1,13,5,10,18,11,20,6,8,7,23,8,10,11,17,21,15,17,26,4,8
TrEMBL|F8W7K7,HUMAN,WDO+15,NA,1,57,16,42,90,35,41,23,50,65,112,15,29,41,31,60,64,49,51,6,27
TrEMBL|F8W7Z5,HUMAN,WDO+15,NA,1,90,18,48,80,22,98,27,50,67,112,16,24,101,54,60,159,66,54,6,11
TrEMBL|E7EUV1,HUMAN,WDO+15,NA,1,118,205,127,131,73,183,76,90,104,158,30,99,286,88,85,222,450,178,29,85
TrEMBL|F5H0B0,HUMAN,WDO+15,NA,1,18,3,13,27,10,15,4,10,22,22,4,8,12,11,9,25,13,15,1,6
tr|B4DHM5,HUMAN,WDO+15,NA,1,25,4,12,17,10,28,1,14,23,20,9,12,8,4,4,11,14,20,4,2
gi|119587704,HUMAN,MCZ+13,NA,1,11,1,11,15,9,21,3,8,17,16,11,7,11,14,11,14,6,16,3,6
gi|109096492,MACMU,MCZ+13,NA,1,34,9,26,34,20,31,11,23,19,30,9,15,19,12,20,22,29,32,3,18
gi|13650074,HUMAN,MCZ+13,NA,1,20,1,9,4,7,7,10,0,11,18,3,4,7,1,3,11,9,13,1,3
gi|119575932,HUMAN,MCZ+13,NA,1,9,0,3,5,7,18,2,10,13,10,3,2,2,3,15,5,8,10,0,4
gi|119625338,HUMAN,MCZ+13,NA,1,20,11,25,29,11,39,7,16,32,33,16,32,21,26,26,32,22,25,13,21
gi|119617057,HUMAN,MCZ+13,NA,1,37,1,23,50,14,40,4,26,32,50,18,25,9,29,32,66,24,24,3,15
gi|119578757,HUMAN,MCZ+13,NA,1,402,38,120,182,43,153,40,98,162,244,60,81,95,181,105,180,155,164,9,29
gi|119625314,HUMAN,MCZ+13,NA,1,26,10,32,20,20,35,11,25,31,30,9,23,12,20,11,29,29,13,11,22
gi|119577213,HUMAN,MCZ+13,NA,1,76,9,63,87,30,42,31,60,58,85,24,45,29,56,51,46,41,37,16,25
gi|297663020,PONAB,MCZ+13,NA,1,17,3,10,11,8,20,0,12,12,19,9,13,14,22,11,11,10,9,4,5
gi|119597759,HUMAN,MCZ+13,NA,1,96,360,172,201,84,307,48,149,111,141,52,188,175,100,131,173,166,107,13,95
gi|119604232,HUMAN,MCZ+13,NA,1,63,1,36,172,13,28,5,24,104,35,12,21,24,47,87,43,39,33,6,5
gi|119617856,HUMAN,MCZ+13,NA,1,12,4,15,14,9,16,4,17,22,37,5,17,17,11,9,14,12,13,2,2
gi|114656687,PANTR,MCZ+13,NA,1,38,7,31,41,28,28,10,26,50,37,7,27,26,10,19,27,22,27,4,20
gi|12054070,HUMAN,MCZ+13,NA,1,24,15,13,16,11,22,8,3,13,37,2,8,37,14,12,39,40,27,6,6
gi|119582950,HUMAN,MCZ+13,NA,1,33,5,27,27,12,20,5,21,33,34,11,13,9,13,20,22,23,19,1,11
gi|149673887,HUMAN,MCZ+13,NA,1,14,5,8,12,8,15,2,7,10,18,0,5,12,14,10,33,17,13,2,10
gi|114601828,PANTR,MCZ+13,NA,1,37,4,21,28,11,30,10,25,21,56,9,24,18,11,24,26,25,27,0,9
gi|114555797,PANTR,MCZ+13,NA,1,28,5,16,27,10,25,8,21,40,31,7,19,32,16,8,36,24,34,6,8
gi|119621875,HUMAN,MCZ+13,NA,1,18,0,11,14,4,28,3,17,9,20,5,9,8,5,20,15,10,24,1,0
gi|119595384,HUMAN,MCZ+13,NA,1,26,1,24,23,14,22,14,12,30,43,13,11,12,12,19,28,17,27,4,9
gi|119609127,HUMAN,MCZ+13,NA,1,13,2,6,7,3,10,3,5,8,13,0,4,7,6,3,8,8,13,3,3
gi|109111058,MACMU,MCZ+13,NA,1,35,1,20,62,1,3,1,10,36,29,10,5,0,17,17,13,8,10,0,6
gi|119602173,HUMAN,MCZ+13,NA,1,21,3,37,67,21,23,7,35,56,39,11,22,13,18,20,27,29,25,4,18
gi|119573148,HUMAN,MCZ+13,NA,1,14,3,10,11,7,19,0,10,12,15,8,13,9,20,10,7,10,8,4,5
gi|119598292,HUMAN,MCZ+13,NA,1,58,10,29,38,20,42,12,41,37,38,17,18,25,16,32,30,31,45,3,10
gi|119602226,HUMAN,MCZ+13,NA,1,23,5,31,26,17,32,13,15,20,42,10,16,20,12,21,23,17,25,4,9
gi|119612404,HUMAN,MCZ+13,NA,1,42,16,45,48,31,127,16,43,43,49,18,19,100,40,34,65,49,56,5,19
gi|119622488,HUMAN,MCZ+13,NA,1,27,8,33,20,20,33,12,29,36,31,12,15,15,16,20,19,29,27,8,12
gi|1082553,HUMAN,MCZ+13,NA,1,7,3,6,9,6,7,2,2,10,11,1,6,5,9,5,16,11,12,3,4
gi|119602344,HUMAN,MCZ+13,NA,1,30,11,21,28,23,24,9,16,23,35,5,16,34,21,19,50,49,42,8,9
tr|D9YZU5,HUMAN,MCZ+13,NA,1,15,2,7,8,8,13,9,0,11,18,2,6,7,3,3,5,7,18,2,3
tr|A5Z217,HUMAN,MCZ+13,NA,1,44,1,23,57,13,21,6,18,22,49,10,20,10,32,43,35,25,26,1,14
tr|A3R0T7,HUMAN,MCZ+13,NA,1,58,0,1,6,1,14,0,2,62,8,1,3,22,1,4,16,11,8,0,1
tr|B4DI63,HUMAN,MCZ+13,NA,1,16,6,20,24,16,11,9,26,33,57,3,21,23,8,13,26,22,10,1,11
tr|Q29932,HUMAN,MCZ+13,NA,1,36,6,20,26,6,27,9,12,9,29,5,6,18,20,30,26,29,23,10,15
tr|B2R4M6,HUMAN,MCZ+13,NA,1,3,1,6,14,5,8,8,6,11,11,5,7,4,5,3,4,7,4,1,1
tr|C6H0M7,HUMAN,MCZ+13,NA,1,70,2,27,39,22,40,5,14,48,31,15,23,89,38,33,86,41,52,6,17
tr|A0A024R884,HUMAN,MCZ+13,NA,1,143,99,134,178,67,195,39,97,82,168,23,94,112,75,119,139,189,154,28,66
tr|V9HW65,HUMAN,MCZ+13,NA,1,23,4,30,22,7,19,4,23,32,34,9,10,7,13,21,26,18,17,1,19
tr|A8K3Q7,HUMAN,MCZ+13,NA,1,58,6,57,55,25,45,13,47,52,66,21,15,15,28,41,40,38,26,2,23
