protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
UPI00034749F8,124285,NA,NA,1,6,0,4,5,6,9,1,4,4,1,1,2,3,5,2,3,2,7,1,1
UPI00034DDA43,124285,NA,NA,1,20,0,3,7,4,12,0,1,4,8,1,0,4,0,8,5,6,7,2,0
UPI00034BDE91,124285,NA,NA,1,9,0,2,14,2,4,2,4,6,10,2,2,1,3,7,4,7,4,0,1
UPI00034CA0A7,124285,NA,NA,1,8,0,7,8,1,11,2,4,13,3,2,3,3,3,9,5,4,17,0,1
UPI00034D5F10,124285,NA,NA,1,4,0,6,6,1,5,2,6,5,6,4,3,3,1,6,4,1,9,0,4
UPI000380B287,124285,NA,NA,1,13,1,3,5,3,14,5,6,11,2,2,5,9,6,14,11,8,14,1,1
UPI00037FD17E,124285,NA,NA,1,5,3,9,6,0,5,2,3,9,3,3,1,7,3,4,2,5,7,1,4
UPI00034D44B3,124285,NA,NA,1,4,0,3,3,1,4,3,3,11,5,2,3,2,0,9,6,2,3,0,0
UPI00034D6B2F,124285,NA,NA,1,9,0,2,3,1,2,0,3,3,5,1,0,0,1,2,1,2,3,1,1
UPI00034C6D1D,124285,NA,NA,1,14,0,11,11,2,7,0,4,2,8,2,3,0,4,12,5,3,6,3,3
UPI000347A7EB,124285,NA,NA,1,11,1,10,7,1,9,3,4,2,8,9,8,1,4,7,5,10,5,3,2
UPI000347C850,124285,NA,NA,1,83,5,18,19,15,54,9,13,0,77,11,3,28,8,21,23,26,39,8,5
UPI00034B665C,124285,NA,NA,1,86,7,52,60,37,48,18,11,8,73,22,20,46,23,70,30,41,41,19,16
UPI000363F53E,124285,NA,NA,1,40,5,25,35,9,40,14,13,4,44,6,10,29,13,46,17,26,40,4,10
UPI000374A925,124285,NA,NA,1,30,4,25,34,10,42,14,16,6,44,9,13,26,19,40,24,22,39,5,12
UPI0003457B44,124285,NA,NA,1,85,1,14,16,33,59,6,30,11,76,16,18,15,14,17,40,33,54,7,14
UPI00034C7F99,124285,NA,NA,1,51,7,26,22,9,59,17,14,6,34,6,7,59,12,49,33,41,30,17,8
UPI0003467DD0,124285,NA,NA,1,38,4,29,29,21,27,11,20,13,32,13,12,31,16,26,14,21,35,7,14
UPI00036386B7,124285,NA,NA,1,15,0,15,10,10,23,6,8,2,18,4,5,12,7,14,18,13,20,3,4
UPI00034A5D3C,124285,NA,NA,1,51,0,27,31,3,45,6,10,3,29,5,4,26,20,19,13,17,34,5,4
UPI00037044BA,124285,NA,NA,1,25,2,6,19,3,23,6,7,3,19,2,3,10,2,18,18,9,21,2,5
UPI00034B168F,124285,NA,NA,1,20,2,15,14,3,31,6,6,3,36,7,4,11,3,26,12,17,19,3,2
UPI000348488B,124285,NA,NA,1,47,1,15,22,12,29,11,4,7,30,2,2,18,9,20,17,15,27,8,1
UPI00034D05D0,124285,NA,NA,1,17,0,5,21,3,9,7,6,2,15,7,3,5,7,19,8,11,11,1,1
UPI00034D0232,124285,NA,NA,1,18,1,6,13,4,10,3,9,2,23,2,2,4,7,12,3,7,15,1,1
UPI0003802714,124285,NA,NA,1,34,2,31,34,19,38,8,20,13,45,11,15,24,11,30,25,24,26,1,18
UPI00036F3523,124285,NA,NA,1,50,4,27,29,13,25,10,11,5,41,10,12,31,8,40,32,29,35,9,7
UPI0003495824,124285,NA,NA,1,24,5,10,15,6,18,4,4,3,16,2,3,12,2,27,12,11,14,5,6
UPI000346400F,124285,NA,NA,1,60,2,14,12,17,46,5,32,4,57,14,10,30,9,23,22,26,42,9,7
UPI0003495C71,124285,NA,NA,1,27,0,13,21,8,20,3,3,4,21,3,3,6,5,20,7,16,16,2,3
UPI00034C7222,124285,NA,NA,1,11,0,15,6,6,11,2,3,7,6,3,1,13,8,12,9,9,14,2,5
UPI0003464351,124285,NA,NA,1,63,1,13,17,24,57,4,33,12,73,24,11,26,11,10,27,33,58,16,7
