protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
tr|Q9AA14,CAUCR,KLB+15,NA,1,116,5,50,29,32,98,9,34,50,63,13,26,48,33,31,49,44,64,14,15
tr|Q9A9L2,CAUCR,KLB+15,NA,1,115,2,47,27,24,70,8,27,41,69,15,20,45,24,31,56,41,61,13,22
tr|Q9A9D1,CAUCR,KLB+15,NA,1,54,3,19,19,7,28,9,13,3,28,6,5,16,5,25,16,12,26,3,11
tr|Q9A959,CAUCR,KLB+15,NA,1,100,7,47,27,22,52,8,15,9,67,8,16,37,15,46,18,20,34,15,21
tr|Q9A7Z6,CAUCR,KLB+15,NA,1,43,3,15,14,8,28,3,15,14,18,10,7,8,5,14,13,11,18,2,6
tr|Q9A7U0,CAUCR,KLB+15,NA,1,54,3,24,18,11,45,11,16,9,30,7,7,17,9,28,20,16,36,6,9
tr|Q9A7T8,CAUCR,KLB+15,NA,1,21,2,3,2,3,12,1,2,9,9,4,1,8,5,3,8,5,7,1,4
tr|Q9A7T5,CAUCR,KLB+15,NA,1,33,2,10,8,7,16,2,7,4,17,2,4,11,7,9,4,16,14,4,5
tr|Q9A7M5,CAUCR,KLB+15,NA,1,29,4,9,7,6,9,4,6,6,14,8,1,10,6,11,11,9,13,2,6
tr|Q9A6N2,CAUCR,KLB+15,NA,1,89,5,32,31,21,58,16,25,22,56,21,22,36,12,31,35,25,52,3,10
tr|Q9A6N0,CAUCR,KLB+15,NA,1,50,3,31,31,18,37,9,20,19,53,8,13,24,17,37,20,25,37,9,12
tr|Q9A613,CAUCR,KLB+15,NA,1,112,2,51,41,22,79,13,20,46,65,14,15,36,21,35,38,60,53,18,30
tr|Q9A3Z6,CAUCR,KLB+15,NA,1,105,2,49,52,27,62,16,37,49,77,15,24,45,26,47,33,53,59,10,18
sp|Q9A3N5,CAUCR,KLB+15,NA,1,50,5,23,17,11,33,8,14,6,41,4,5,15,6,22,18,11,19,2,5
sp|Q9AC20,CAUCR,KLB+15,NA,1,14,1,15,11,6,13,5,17,10,11,6,4,15,3,6,7,11,12,2,8
sp|Q9AB66,CAUCR,KLB+15,NA,1,44,0,9,18,6,8,1,5,13,21,4,1,2,12,8,3,2,10,1,1
tr|Q9AB65,CAUCR,KLB+15,NA,1,47,0,6,20,2,10,4,8,13,13,3,0,3,9,9,8,9,10,2,1
tr|Q9AB63,CAUCR,KLB+15,NA,1,28,1,6,5,23,24,5,16,9,41,10,5,10,7,3,11,12,31,2,4
tr|Q9AAX0,CAUCR,KLB+15,NA,1,19,4,14,7,8,20,5,8,12,11,4,3,13,5,8,8,13,10,4,2
