protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|P28015,BACSU,NA,SP5G,1,7,0,9,8,4,7,4,7,2,6,3,5,3,1,10,5,7,8,0,1
sp|P94558,BACSU,NA,IXTPA,1,20,1,11,27,6,16,4,17,21,12,5,6,6,3,8,9,9,11,0,6
sp|O31705,BACSU,NA,MOAE,1,17,0,5,23,2,11,3,18,11,5,3,5,6,6,8,4,11,9,5,5
sp|P94568,BACSU,NA,LEUD,1,11,2,13,16,12,13,5,16,9,17,5,13,10,14,8,12,5,6,5,7
sp|P25995,BACSU,NA,PYRC,1,44,8,24,35,13,36,13,31,28,33,10,17,19,8,15,17,35,27,4,11
sp|P50736,BACSU,NA,YPDA,1,21,3,10,32,19,27,10,31,22,13,6,21,13,6,14,13,19,29,1,14
sp|P31102,BACSU,NA,AROB,1,24,3,19,26,16,28,11,22,25,38,14,12,9,14,19,23,20,24,4,11
sp|P19669,BACSU,NA,TAL,1,24,0,13,14,7,14,8,21,13,23,4,10,7,5,8,9,15,15,1,1
sp|O32174,BACSU,NA,GCSH,1,8,0,8,23,4,7,2,8,7,6,4,3,7,3,2,10,5,14,2,4
sp|P39594,BACSU,NA,THIE,1,29,1,13,18,5,22,2,20,14,11,7,6,7,10,12,11,12,17,0,5
sp|P12041,BACSU,NA,PURQ,1,18,5,13,18,10,23,6,14,11,20,6,13,9,6,7,10,10,19,2,7
sp|O31790,BACSU,NA,YMAD,1,13,3,8,13,2,13,5,11,11,13,7,7,5,4,4,11,7,9,1,3
sp|P46336,BACSU,NA,IOLS,1,21,0,22,28,17,20,8,23,27,31,3,21,13,7,14,12,14,18,1,10
sp|O32264,BACSU,NA,TKRA,1,24,2,18,32,15,23,9,21,19,34,8,11,12,13,18,14,21,21,3,7
sp|O32075,BACSU,NA,YUAI,1,13,0,9,17,10,13,3,11,11,17,2,5,5,7,10,12,4,12,4,8
sp|P21472,BACSU,NA,RS12,1,8,1,2,5,1,14,4,7,16,8,2,9,8,4,13,9,9,13,0,5
sp|P19582,BACSU,NA,DHOM,1,25,2,30,34,13,35,10,29,33,37,14,13,14,15,13,30,23,50,1,12
sp|O31760,BACSU,NA,RNJ2,1,39,2,28,37,16,43,12,57,41,51,10,25,17,23,27,35,27,49,1,15
sp|P80244,BACSU,NA,CLPP,1,20,1,12,16,4,14,2,21,13,21,7,8,7,7,10,11,10,7,0,6
sp|Q9KWU4,BACSU,NA,PYC,1,87,5,64,97,45,89,25,80,85,80,29,46,49,52,48,62,61,94,8,42
sp|P37487,BACSU,NA,PPAC,1,34,3,19,33,8,13,4,22,26,33,5,19,7,11,7,13,16,29,0,7
