gene.symbol,accession..UniProtKB.Swiss.Prot.,protein.name,T1,T1.signif,T2,T2.signif
AKR1B1,P15121,"aldose reductase",1.47,TRUE,2.06,TRUE
ANXA1,P04083,"annexin A1",1.27,FALSE,1.85,TRUE
ATP1A1,P05023,"sodium/potassium-transporting ATPase subunit alpha-1",1.25,FALSE,1.6,TRUE
ATP5C1,P36542,"ATP synthase subunit gamma, mitochondrial",1.31,FALSE,1.46,TRUE
BZW1,Q7L1Q6,"basic leucine zipper and W2 domain-containing protein 1",1.71,TRUE,1.95,TRUE
CANX,P27824,calnexin,1.26,FALSE,1.53,TRUE
CCT7,Q99832,"T-complex protein 1 subunit eta",0.64,TRUE,0.82,FALSE
CPNE3,O75131,copine-3,0.54,TRUE,0.45,FALSE
CPS1,P31327,"carbamoyl-phosphate synthase [ammonia], mitochondrial",1.3,FALSE,1.49,TRUE
DDOST,P39656,"dolichyl-diphosphooligosaccharide–protein glycosyltransferase 48 kDa subunit",1.57,TRUE,1.56,TRUE
DDX3X,O00571,"ATP-dependent RNA helicase DDX3X",1.36,FALSE,1.56,TRUE
DDX5,P17844,"probable ATP-dependent RNA helicase DDX5",0.91,FALSE,1.67,TRUE
DNAJA2,O60884,"DnaJ homologue subfamily A member 2",0.67,TRUE,0.99,FALSE
DPH5,Q9H2P9,"diphthine synthase",0.48,TRUE,0.9,FALSE
DYNC1H1,Q14204,"cytoplasmic dynein 1 heavy chain 1",0.7,TRUE,0.79,FALSE
EEF1A2,Q05639,"elongation factor 1-alpha 2",0.94,FALSE,0.65,TRUE
EEF2,P13639,"elongation factor 2",1.14,FALSE,1.54,TRUE
EIF3D,O15371,"eukaryotic translation initiation factor 3 subunit D",0.68,TRUE,0.68,FALSE
EIF4A1,P60842,"eukaryotic initiation factor 4A-I",1.28,FALSE,1.67,TRUE
EIF4A3,P38919,"eukaryotic initiation factor 4A-III",0.99,FALSE,1.66,TRUE
EIF5,P55010,"eukaryotic translation initiation factor 5",1.05,FALSE,1.65,TRUE
EIF6,P56537,"eukaryotic translation initiation factor 6",0.64,TRUE,0.98,FALSE
EPRS,P07814,"bifunctional aminoacyl-tRNA synthetase",0.7,TRUE,0.79,FALSE
ERP29,P30040,"endoplasmic reticulum resident protein 29",1.31,FALSE,1.41,TRUE
GNB1,P62873,"guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1",0.19,TRUE,0.72,FALSE
GRWD1,Q9BQ67,"glutamate-rich WD repeat-containing protein 1",1.79,TRUE,0.77,FALSE
HIST1H4A,P62805,"histone H4",1.58,TRUE,1.75,TRUE
HSPA5,P11021,"78 kDa glucose-regulated protein (heat shock 70 kDa protein 5)",1.13,FALSE,1.58,TRUE
HYOU1,Q9Y4L1,"hypoxia up-regulated protein 1",0.79,FALSE,0.6,TRUE
KRT10,P13645,"keratin, type I cytoskeletal 10",0.87,FALSE,1.56,TRUE
KRT7,P08729,"keratin, type II cytoskeletal 7",0.65,TRUE,0.72,FALSE
KRT8,P05787,"keratin, type II cytoskeletal 8",1.23,FALSE,1.56,TRUE
LCP1,P13796,plastin-2,0.76,FALSE,0.63,TRUE
LDHA,P00338,"L-lactate dehydrogenase A chain",1.31,FALSE,1.6,TRUE
LSM7,Q9UK45,"U6 snRNA-associated Sm-like protein LSm7",1.21,FALSE,2.09,TRUE
MAP2K3,P46734,"dual specificity mitogen-activated protein kinase kinase 3",0.87,FALSE,1.62,TRUE
MYO1G,B0I1T2,myosin-Ig,0.65,TRUE,0.87,FALSE
NAP1L1,P55209,"nucleosome assembly protein 1-like 1",0.9,FALSE,1.58,TRUE
NCL,P19338,nucleolin,1.37,FALSE,1.72,TRUE
NSUN2,Q08J23,"tRNA (cytosine-5-)-methyltransferase NSUN2",0.52,TRUE,0.98,FALSE
NUP155,O75694,"nuclear pore complex protein Nup155",0.65,TRUE,0.67,TRUE
OGDH,Q02218,"2-oxoglutarate dehydrogenase, mitochondrial",1.22,FALSE,1.48,TRUE
PDHB,P11177,"pyruvate dehydrogenase E1 component subunit beta, mitochondrial",1.49,TRUE,0.96,FALSE
PKM2,P14618,"pyruvate kinase isozymes M1/M2",1.13,FALSE,1.53,TRUE
PLEC,Q15149,plectin,1.42,TRUE,2.17,TRUE
PPIB,P23284,"peptidyl-prolyl cis−trans isomerase B",1.19,FALSE,1.41,TRUE
PRDX1,Q06830,peroxiredoxin-1,1.23,FALSE,1.77,TRUE
PRDX2,P32119,peroxiredoxin-2,0.82,FALSE,0.64,TRUE
PRPS1,P60891,"ribose-phosphate pyrophosphokinase 1",0.71,FALSE,0.66,TRUE
PSMD1,Q99460,"26S proteasome non-ATPase regulatory subunit 1",0.65,TRUE,0.66,TRUE
PSMD2,Q13200,"26S proteasome non-ATPase regulatory subunit 2",0.68,TRUE,0.82,FALSE
PTGS2,P35354,"prostaglandin G/H synthase 2",1.75,TRUE,3.35,TRUE
PTMA,P06454,"prothymosin alpha",0.68,FALSE,1.56,TRUE
PXN,P49023,paxillin,0.91,FALSE,0.7,TRUE
PYGB,P11216,"glycogen phosphorylase, brain form",1.45,FALSE,1.46,TRUE
RHOC,P08134,"rho-related GTP-binding protein RhoC",1.52,TRUE,1.45,FALSE
RPL21,P46778,"60S ribosomal protein L21",0.98,FALSE,1.61,TRUE
RPN2,P04844,"dolichyl-diphosphooligosaccharide–protein glycosyltransferase subunit 2",1.64,TRUE,1.75,TRUE
SEC23A,Q15436,"protein transport protein Sec23A",1.62,TRUE,1.09,FALSE
SERBP1,Q8NC51,"plasminogen activator inhibitor 1 RNA-binding protein",1.45,TRUE,1.43,FALSE
SERPINB3,P29508,"serpin B3",1.02,FALSE,0.6,TRUE
SLPI,P03973,antileukoproteinase,1.16,FALSE,1.74,TRUE
STOM,P27105,"erythrocyte band 7 integral membrane protein",1.5,TRUE,1.14,FALSE
TGM2,P21980,"protein-glutamine gamma-glutamyltransferase 2",0.68,TRUE,0.57,TRUE
TIMP1,P01033,"metalloproteinase inhibitor 1",0.88,FALSE,1.53,TRUE
TOMM34,Q15785,"mitochondrial import receptor subunit T",0.44,TRUE,0.79,FALSE
TOMM6,Q96B49,"mitochondrial import receptor subunit T",1.43,TRUE,1.03,FALSE
TPBG,Q13641,"trophoblast glycoprotein",1.34,FALSE,1.48,TRUE
TUBB2C,P68371,"tubulin beta-2C chain",1.17,FALSE,1.65,TRUE
UAP1,Q16222,"UDP-N-acetylhexosamine pyrophosphorylase",1.79,TRUE,2.87,TRUE
UBXN1,Q04323,"UBX domain-containing protein 1",1,FALSE,0.7,TRUE
VDAC1,P21796,"voltage-dependent anion-selective channel protein 1",1.49,TRUE,1.48,TRUE
VIM,P08670,vimentin,1.32,FALSE,1.54,TRUE
WARS,P23381,"tryptophanyl-tRNA synthetase, cytoplasmic",0.9,FALSE,0.59,TRUE
XRCC5,P13010,"X-ray repair cross-complementing protein 5",0.77,FALSE,0.71,TRUE
XRN2,Q9H0D6,"5′-3′ exoribonuclease 2",1.55,FALSE,0.59,TRUE
