"Accession..","Name","X115.113","PVal.115.113","X116.114","PVal.116.114","X114.113","PVal.114.113"
gi|10383757,"Apa1p [Saccharomyces cerevisiae S288c]",NA,NA,NA,NA,0.1765,0.0024
gi|10383781,"Pgk1p [Saccharomyces cerevisiae S288c]",0.2852,0,0.4899,0,0.2126,0
gi|116006499,"Mdh2p [Saccharomyces cerevisiae S288c]",0.2593,0.0238,0.4096,0.0489,0.0949,0.0071
gi|14318479,"Act1p [Saccharomyces cerevisiae S288c]",0.2567,0,0.3701,0,0.2082,0.001
gi|14318481,"Tub2p [Saccharomyces cerevisiae S288c]",0.4608,0.0047,0.4986,0.0255,NA,NA
gi|14318506,"Hsp12p [Saccharomyces cerevisiae S288c]",0.6736,0.0027,1.4867,4e-04,0.4163,3e-04
gi|14318569,"Dug1p [Saccharomyces cerevisiae S288c]",0.3268,1e-04,0.5579,0.001,0.2116,0
gi|14318578,"Hxk1p [Saccharomyces cerevisiae S288c]",0.3112,0.0037,0.5229,0.0052,NA,NA
gi|144228166,"Ssa1p [Saccharomyces cerevisiae S288c]",0.4678,0.0709,0.5891,0.0339,0.1348,0.0095
gi|154199621,"Rpl20ap [Saccharomyces cerevisiae S288c]",0.3266,0.0212,0.5051,0.1951,NA,NA
gi|330443362,"Bdh1p [Saccharomyces cerevisiae S288c]",0.2165,0.0209,0.3717,0.0211,NA,NA
gi|330443451,"Grs1p [Saccharomyces cerevisiae S288c]",0.2291,0.1454,0.47,0.0367,0.1813,0
gi|330443609,"Ura2p [Saccharomyces cerevisiae S288c]",0.5089,0.0284,0.6032,0.0769,0.2206,0
gi|330443644,"Ape2p [Saccharomyces cerevisiae S288c]",0.3584,0.0374,0.5143,0.0215,0.2376,0
gi|330443730,"Arg1p [Saccharomyces cerevisiae S288c]",0.1954,0.02,0.3363,0.0061,NA,NA
gi|37362649,"Gus1p [Saccharomyces cerevisiae S288c]",NA,NA,NA,NA,0.165,0.0112
gi|6319264,"Acs1p [Saccharomyces cerevisiae S288c]",0.4556,0.0042,0.7104,0.0116,0.1414,5e-04
gi|6319267,"Aim2p [Saccharomyces cerevisiae S288c]",NA,NA,NA,NA,0.2434,0.0145
gi|6319279,"Cdc19p [Saccharomyces cerevisiae S288c]",0.254,0,0.3976,0,0.1265,0
gi|6319307,"Cys3p [Saccharomyces cerevisiae S288c]",0.2667,0,0.4073,0,0.2455,0.0019
gi|6319326,"Ade1p [Saccharomyces cerevisiae S288c]",NA,NA,NA,NA,0.4046,0
gi|6319395,"Ils1p [Saccharomyces cerevisiae S288c]",0.2981,0.0041,0.46,0.0142,0.3136,0
gi|6319396,"Ssa3p [Saccharomyces cerevisiae S288c]",NA,NA,NA,NA,0.1691,0.0115
gi|6319435,"hypothetical protein YBL036C [Saccharomyces cerevisiae S288c]",NA,NA,NA,NA,0.365,0.0197
gi|6319456,"Ach1p [Saccharomyces cerevisiae S288c]",NA,NA,NA,NA,0.4164,0.0379
gi|6319483,"Ipp1p [Saccharomyces cerevisiae S288c]",0.3878,0,0.6747,7e-04,0.2798,0
